"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Alaska"	"02"	"2014"	"2014"	Suppressed	11157	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2015"	"2015"	Suppressed	11383	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2016"	"2016"	Suppressed	10938	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2017"	"2017"	Suppressed	11099	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"2018"	"2018"	Suppressed	10665	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2007"	"2007"	Suppressed	96177	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2008"	"2008"	Suppressed	95576	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2009"	"2009"	Suppressed	86485	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2010"	"2010"	Suppressed	87557	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2011"	"2011"	Suppressed	87061	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2012"	"2012"	Suppressed	86400	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2013"	"2013"	Suppressed	84900	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2014"	"2014"	Suppressed	85876	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2015"	"2015"	Suppressed	86440	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2016"	"2016"	Suppressed	87702	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2017"	"2017"	Suppressed	85596	Suppressed
	"< 1 year"	"1"	"Arizona"	"04"	"2018"	"2018"	Suppressed	83553	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2007"	"2007"	Suppressed	40530	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2008"	"2008"	Suppressed	40784	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2009"	"2009"	Suppressed	38962	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2010"	"2010"	Suppressed	38402	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2011"	"2011"	Suppressed	38025	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2012"	"2012"	Suppressed	37863	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2013"	"2013"	Suppressed	38310	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2014"	"2014"	Suppressed	37936	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2015"	"2015"	Suppressed	37698	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2016"	"2016"	Suppressed	37737	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2017"	"2017"	Suppressed	37966	Suppressed
	"< 1 year"	"1"	"Arkansas"	"05"	"2018"	"2018"	Suppressed	36901	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2007"	"2007"	Suppressed	527233	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2008"	"2008"	Suppressed	529416	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2009"	"2009"	Suppressed	499021	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2010"	"2010"	Suppressed	494058	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2011"	"2011"	Suppressed	506265	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2012"	"2012"	Suppressed	510414	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2013"	"2013"	Suppressed	500877	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2014"	"2014"	Suppressed	502993	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2015"	"2015"	Suppressed	501336	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2016"	"2016"	Suppressed	498832	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2017"	"2017"	Suppressed	488479	Suppressed
	"< 1 year"	"1"	"California"	"06"	"2018"	"2018"	Suppressed	477320	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2007"	"2007"	Suppressed	68795	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2008"	"2008"	Suppressed	67363	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2009"	"2009"	Suppressed	66225	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2010"	"2010"	Suppressed	66594	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2011"	"2011"	Suppressed	66477	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2012"	"2012"	Suppressed	66093	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2013"	"2013"	Suppressed	65958	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2014"	"2014"	Suppressed	66471	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2015"	"2015"	Suppressed	67322	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2016"	"2016"	Suppressed	67691	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2017"	"2017"	Suppressed	67468	Suppressed
	"< 1 year"	"1"	"Colorado"	"08"	"2018"	"2018"	Suppressed	66125	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2007"	"2007"	Suppressed	40579	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2008"	"2008"	Suppressed	39499	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2009"	"2009"	Suppressed	38407	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2010"	"2010"	Suppressed	38012	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2011"	"2011"	Suppressed	37318	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2012"	"2012"	Suppressed	36714	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2013"	"2013"	Suppressed	37395	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2014"	"2014"	Suppressed	36771	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2015"	"2015"	Suppressed	36486	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2016"	"2016"	Suppressed	36202	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2017"	"2017"	Suppressed	35287	Suppressed
	"< 1 year"	"1"	"Connecticut"	"09"	"2018"	"2018"	Suppressed	35113	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2007"	"2007"	Suppressed	11619	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2008"	"2008"	Suppressed	11520	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2009"	"2009"	Suppressed	11116	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2010"	"2010"	Suppressed	10858	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2011"	"2011"	Suppressed	11186	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2012"	"2012"	Suppressed	11189	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2013"	"2013"	Suppressed	11264	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2014"	"2014"	Suppressed	11122	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2015"	"2015"	Suppressed	11020	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2016"	"2016"	Suppressed	10817	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2017"	"2017"	Suppressed	10956	Suppressed
	"< 1 year"	"1"	"Delaware"	"10"	"2018"	"2018"	Suppressed	10645	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2007"	"2007"	Suppressed	7735	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2008"	"2008"	Suppressed	7888	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2009"	"2009"	Suppressed	7515	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2010"	"2010"	Suppressed	7156	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2011"	"2011"	Suppressed	8923	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2012"	"2012"	Suppressed	8757	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2013"	"2013"	Suppressed	9111	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2014"	"2014"	Suppressed	9147	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2015"	"2015"	Suppressed	9153	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2016"	"2016"	Suppressed	9399	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2017"	"2017"	Suppressed	9832	Suppressed
	"< 1 year"	"1"	"District of Columbia"	"11"	"2018"	"2018"	Suppressed	9870	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2007"	"2007"	Suppressed	224817	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2008"	"2008"	Suppressed	222151	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2009"	"2009"	Suppressed	211370	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2010"	"2010"	Suppressed	208724	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2011"	"2011"	Suppressed	213621	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2012"	"2012"	Suppressed	212315	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2013"	"2013"	Suppressed	215702	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2014"	"2014"	Suppressed	215254	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2015"	"2015"	Suppressed	221492	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2016"	"2016"	Suppressed	224910	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2017"	"2017"	Suppressed	225700	Suppressed
	"< 1 year"	"1"	"Florida"	"12"	"2018"	"2018"	Suppressed	222040	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2007"	"2007"	Suppressed	144910	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2008"	"2008"	Suppressed	142686	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2009"	"2009"	Suppressed	134125	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2010"	"2010"	Suppressed	133178	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2011"	"2011"	Suppressed	133611	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2012"	"2012"	Suppressed	132458	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2013"	"2013"	Suppressed	131584	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2014"	"2014"	Suppressed	129104	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2015"	"2015"	Suppressed	130327	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2016"	"2016"	Suppressed	130675	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2017"	"2017"	Suppressed	130163	Suppressed
	"< 1 year"	"1"	"Georgia"	"13"	"2018"	"2018"	Suppressed	126952	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2007"	"2007"	Suppressed	18620	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2008"	"2008"	Suppressed	18536	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2009"	"2009"	Suppressed	18735	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2010"	"2010"	Suppressed	17764	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2011"	"2011"	Suppressed	18127	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2012"	"2012"	Suppressed	18106	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2013"	"2013"	Suppressed	18735	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2014"	"2014"	Suppressed	18853	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2015"	"2015"	Suppressed	19028	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2016"	"2016"	Suppressed	18376	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2017"	"2017"	Suppressed	17950	Suppressed
	"< 1 year"	"1"	"Hawaii"	"15"	"2018"	"2018"	Suppressed	17224	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2007"	"2007"	Suppressed	24821	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2008"	"2008"	Suppressed	24737	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2009"	"2009"	Suppressed	23793	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2010"	"2010"	Suppressed	23610	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2011"	"2011"	Suppressed	22761	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2012"	"2012"	Suppressed	22190	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2013"	"2013"	Suppressed	22089	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2014"	"2014"	Suppressed	22805	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2015"	"2015"	Suppressed	22649	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2016"	"2016"	Suppressed	22986	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2017"	"2017"	Suppressed	22911	Suppressed
	"< 1 year"	"1"	"Idaho"	"16"	"2018"	"2018"	Suppressed	22348	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2007"	"2007"	Suppressed	171292	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2008"	"2008"	Suppressed	167968	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2009"	"2009"	Suppressed	164646	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2010"	"2010"	Suppressed	162506	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2011"	"2011"	Suppressed	165302	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2012"	"2012"	Suppressed	160697	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2013"	"2013"	Suppressed	157563	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2014"	"2014"	Suppressed	156134	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2015"	"2015"	Suppressed	155304	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2016"	"2016"	Suppressed	153482	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2017"	"2017"	Suppressed	153473	Suppressed
	"< 1 year"	"1"	"Illinois"	"17"	"2018"	"2018"	Suppressed	147623	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2007"	"2007"	Suppressed	88218	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2008"	"2008"	Suppressed	87494	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2009"	"2009"	Suppressed	85566	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2010"	"2010"	Suppressed	84277	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2011"	"2011"	Suppressed	84220	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2012"	"2012"	Suppressed	82933	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2013"	"2013"	Suppressed	82927	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2014"	"2014"	Suppressed	82993	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2015"	"2015"	Suppressed	83603	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2016"	"2016"	Suppressed	83679	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2017"	"2017"	Suppressed	82498	Suppressed
	"< 1 year"	"1"	"Indiana"	"18"	"2018"	"2018"	Suppressed	80539	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2007"	"2007"	Suppressed	41057	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2008"	"2008"	Suppressed	40863	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2009"	"2009"	Suppressed	39835	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2010"	"2010"	Suppressed	39155	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2011"	"2011"	Suppressed	38365	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2012"	"2012"	Suppressed	37948	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2013"	"2013"	Suppressed	38178	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2014"	"2014"	Suppressed	38771	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2015"	"2015"	Suppressed	39518	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2016"	"2016"	Suppressed	39600	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2017"	"2017"	Suppressed	38976	Suppressed
	"< 1 year"	"1"	"Iowa"	"19"	"2018"	"2018"	Suppressed	38291	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2007"	"2007"	Suppressed	41071	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2008"	"2008"	Suppressed	41248	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2009"	"2009"	Suppressed	41149	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2010"	"2010"	Suppressed	40786	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2011"	"2011"	Suppressed	39992	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2012"	"2012"	Suppressed	39830	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2013"	"2013"	Suppressed	39597	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2014"	"2014"	Suppressed	39922	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2015"	"2015"	Suppressed	38972	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2016"	"2016"	Suppressed	38202	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2017"	"2017"	Suppressed	38059	Suppressed
	"< 1 year"	"1"	"Kansas"	"20"	"2018"	"2018"	Suppressed	36439	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2007"	"2007"	Suppressed	58021	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2008"	"2008"	Suppressed	58101	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2009"	"2009"	Suppressed	56089	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2010"	"2010"	Suppressed	55189	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2011"	"2011"	Suppressed	56065	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2012"	"2012"	Suppressed	55280	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2013"	"2013"	Suppressed	54403	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2014"	"2014"	Suppressed	55075	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2015"	"2015"	Suppressed	55564	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2016"	"2016"	Suppressed	54810	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2017"	"2017"	Suppressed	54637	Suppressed
	"< 1 year"	"1"	"Kentucky"	"21"	"2018"	"2018"	Suppressed	53557	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2007"	"2007"	Suppressed	64614	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2008"	"2008"	Suppressed	66929	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2009"	"2009"	Suppressed	63570	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2010"	"2010"	Suppressed	61882	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2011"	"2011"	Suppressed	63289	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2012"	"2012"	Suppressed	62491	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2013"	"2013"	Suppressed	60988	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2014"	"2014"	Suppressed	61601	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2015"	"2015"	Suppressed	62686	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2016"	"2016"	Suppressed	62380	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2017"	"2017"	Suppressed	62458	Suppressed
	"< 1 year"	"1"	"Louisiana"	"22"	"2018"	"2018"	Suppressed	59755	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2007"	"2007"	Suppressed	14385	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2008"	"2008"	Suppressed	13965	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2009"	"2009"	Suppressed	13419	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2010"	"2010"	Suppressed	13180	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2011"	"2011"	Suppressed	12875	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2012"	"2012"	Suppressed	12803	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2013"	"2013"	Suppressed	12617	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2014"	"2014"	Suppressed	12709	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2015"	"2015"	Suppressed	12863	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2016"	"2016"	Suppressed	12751	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2017"	"2017"	Suppressed	12477	Suppressed
	"< 1 year"	"1"	"Maine"	"23"	"2018"	"2018"	Suppressed	12409	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2007"	"2007"	Suppressed	75872	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2008"	"2008"	Suppressed	75041	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2009"	"2009"	Suppressed	73276	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2010"	"2010"	Suppressed	71523	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2011"	"2011"	Suppressed	73059	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2012"	"2012"	Suppressed	71976	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2013"	"2013"	Suppressed	73267	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2014"	"2014"	Suppressed	73284	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2015"	"2015"	Suppressed	72907	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2016"	"2016"	Suppressed	72580	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2017"	"2017"	Suppressed	72259	Suppressed
	"< 1 year"	"1"	"Maryland"	"24"	"2018"	"2018"	Suppressed	70843	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2007"	"2007"	Suppressed	74969	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2008"	"2008"	Suppressed	74335	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2009"	"2009"	Suppressed	72805	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2010"	"2010"	Suppressed	71434	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2011"	"2011"	Suppressed	73343	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2012"	"2012"	Suppressed	72250	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2013"	"2013"	Suppressed	73511	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2014"	"2014"	Suppressed	73200	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2015"	"2015"	Suppressed	73100	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2016"	"2016"	Suppressed	71857	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2017"	"2017"	Suppressed	71523	Suppressed
	"< 1 year"	"1"	"Massachusetts"	"25"	"2018"	"2018"	Suppressed	70787	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2007"	"2007"	Suppressed	123680	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2008"	"2008"	Suppressed	119845	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2009"	"2009"	Suppressed	115508	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2010"	"2010"	Suppressed	114751	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2011"	"2011"	Suppressed	113146	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2012"	"2012"	Suppressed	110762	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2013"	"2013"	Suppressed	112871	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2014"	"2014"	Suppressed	112448	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2015"	"2015"	Suppressed	114061	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2016"	"2016"	Suppressed	113865	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2017"	"2017"	Suppressed	111691	Suppressed
	"< 1 year"	"1"	"Michigan"	"26"	"2018"	"2018"	Suppressed	110301	Suppressed
	"< 1 year"	"1"	"Minnesota"	"27"	"2007"	"2007"	Suppressed	73014	Suppressed
	"< 1 year"	"1"	"Minnesota"	"27"	"2008"	"2008"	Suppressed	71839	Suppressed
	"< 1 year"	"1"	"Minnesota"	"27"	"2009"	"2009"	Suppressed	69935	Suppressed
	"< 1 year"	"1"	"Minnesota"	"27"	"2010"	"2010"	Suppressed	69009	Suppressed
	"< 1 year"	"1"	"Minnesota"	"27"	"2011"	"2011"	Suppressed	68312	Suppressed
