"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"California"	"06"	"< 1 year"	"1"	Suppressed	1488647	Suppressed
	"California"	"06"	"1-4 years"	"1-4"	Suppressed	5978990	Suppressed
	"California"	"06"	"5-14 years"	"5-14"	Suppressed	15181605	Suppressed
	"California"	"06"	"15-24 years"	"15-24"	604	16207514	3.7
	"California"	"06"	"25-34 years"	"25-34"	1370	17777258	7.7
	"California"	"06"	"35-44 years"	"35-44"	1107	15570670	7.1
	"California"	"06"	"45-54 years"	"45-54"	1332	15604798	8.5
	"California"	"06"	"55-64 years"	"55-64"	1565	14081259	11.1
	"California"	"06"	"65-74 years"	"65-74"	483	9262205	5.2
	"California"	"06"	"75-84 years"	"75-84"	102	4615639	2.2
	"California"	"06"	"85+ years"	"85+"	42	2162903	1.9
	"California"	"06"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"California"	"06"			6617	117931488	5.6
	"Colorado"	"08"	"< 1 year"	"1"	Suppressed	202481	Suppressed
	"Colorado"	"08"	"1-4 years"	"1-4"	Suppressed	806797	Suppressed
	"Colorado"	"08"	"5-14 years"	"5-14"	Suppressed	2139706	Suppressed
	"Colorado"	"08"	"15-24 years"	"15-24"	171	2217729	7.7
	"Colorado"	"08"	"25-34 years"	"25-34"	478	2536403	18.8
	"Colorado"	"08"	"35-44 years"	"35-44"	359	2235396	16.1
	"Colorado"	"08"	"45-54 years"	"45-54"	303	2147220	14.1
	"Colorado"	"08"	"55-64 years"	"55-64"	263	2091350	12.6
	"Colorado"	"08"	"65-74 years"	"65-74"	68	1370698	5.0
	"Colorado"	"08"	"75-84 years"	"75-84"	17	600475	Unreliable
	"Colorado"	"08"	"85+ years"	"85+"	Suppressed	256018	Suppressed
	"Colorado"	"08"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"			1672	16604273	10.1
	"Connecticut"	"09"	"< 1 year"	"1"	Suppressed	107975	Suppressed
	"Connecticut"	"09"	"1-4 years"	"1-4"	Suppressed	448287	Suppressed
	"Connecticut"	"09"	"5-14 years"	"5-14"	Suppressed	1275743	Suppressed
	"Connecticut"	"09"	"15-24 years"	"15-24"	213	1485596	14.3
	"Connecticut"	"09"	"25-34 years"	"25-34"	654	1327769	49.3
	"Connecticut"	"09"	"35-44 years"	"35-44"	576	1277059	45.1
	"Connecticut"	"09"	"45-54 years"	"45-54"	613	1574434	38.9
	"Connecticut"	"09"	"55-64 years"	"55-64"	405	1512040	26.8
	"Connecticut"	"09"	"65-74 years"	"65-74"	55	976961	5.6
	"Connecticut"	"09"	"75-84 years"	"75-84"	Suppressed	496951	Suppressed
	"Connecticut"	"09"	"85+ years"	"85+"	Suppressed	272707	Suppressed
	"Connecticut"	"09"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"			2527	10755522	23.5
	"Delaware"	"10"	"< 1 year"	"1"	Suppressed	32793	Suppressed
	"Delaware"	"10"	"1-4 years"	"1-4"	Suppressed	132871	Suppressed
	"Delaware"	"10"	"5-14 years"	"5-14"	Suppressed	341853	Suppressed
	"Delaware"	"10"	"15-24 years"	"15-24"	48	364085	13.2
	"Delaware"	"10"	"25-34 years"	"25-34"	165	382720	43.1
	"Delaware"	"10"	"35-44 years"	"35-44"	126	330337	38.1
	"Delaware"	"10"	"45-54 years"	"45-54"	134	382027	35.1
	"Delaware"	"10"	"55-64 years"	"55-64"	72	391659	18.4
	"Delaware"	"10"	"65-74 years"	"65-74"	Suppressed	299975	Suppressed
	"Delaware"	"10"	"75-84 years"	"75-84"	Suppressed	144363	Suppressed
	"Delaware"	"10"	"85+ years"	"85+"	Suppressed	57255	Suppressed
	"Delaware"	"10"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"			553	2859938	19.3
	"District of Columbia"	"11"	"< 1 year"	"1"	Suppressed	28384	Suppressed
	"District of Columbia"	"11"	"1-4 years"	"1-4"	Suppressed	103510	Suppressed
	"District of Columbia"	"11"	"5-14 years"	"5-14"	Suppressed	184829	Suppressed
	"District of Columbia"	"11"	"15-24 years"	"15-24"	10	283325	Unreliable
	"District of Columbia"	"11"	"25-34 years"	"25-34"	43	469928	9.2
	"District of Columbia"	"11"	"35-44 years"	"35-44"	65	296876	21.9
	"District of Columbia"	"11"	"45-54 years"	"45-54"	166	231229	71.8
	"District of Columbia"	"11"	"55-64 years"	"55-64"	210	209860	100.1
	"District of Columbia"	"11"	"65-74 years"	"65-74"	61	137915	44.2
	"District of Columbia"	"11"	"75-84 years"	"75-84"	Suppressed	66564	Suppressed
	"District of Columbia"	"11"	"85+ years"	"85+"	Suppressed	34950	Suppressed
	"District of Columbia"	"11"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"			559	2047370	27.3
	"Florida"	"12"	"< 1 year"	"1"	Suppressed	672102	Suppressed
	"Florida"	"12"	"1-4 years"	"1-4"	Suppressed	2693200	Suppressed
	"Florida"	"12"	"5-14 years"	"5-14"	Suppressed	6913450	Suppressed
	"Florida"	"12"	"15-24 years"	"15-24"	616	7415206	8.3
	"Florida"	"12"	"25-34 years"	"25-34"	2260	8040420	28.1
	"Florida"	"12"	"35-44 years"	"35-44"	2024	7430611	27.2
	"Florida"	"12"	"45-54 years"	"45-54"	1606	8272648	19.4
	"Florida"	"12"	"55-64 years"	"55-64"	1186	8178454	14.5
	"Florida"	"12"	"65-74 years"	"65-74"	256	6801302	3.8
	"Florida"	"12"	"75-84 years"	"75-84"	62	3798911	1.6
	"Florida"	"12"	"85+ years"	"85+"	19	1651807	Unreliable
	"Florida"	"12"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Florida"	"12"			8046	61868111	13.0
	"Georgia"	"13"	"< 1 year"	"1"	Suppressed	391165	Suppressed
	"Georgia"	"13"	"1-4 years"	"1-4"	Suppressed	1590032	Suppressed
	"Georgia"	"13"	"5-14 years"	"5-14"	Suppressed	4247260	Suppressed
	"Georgia"	"13"	"15-24 years"	"15-24"	268	4327781	6.2
	"Georgia"	"13"	"25-34 years"	"25-34"	788	4277783	18.4
	"Georgia"	"13"	"35-44 years"	"35-44"	635	4101155	15.5
	"Georgia"	"13"	"45-54 years"	"45-54"	620	4242493	14.6
	"Georgia"	"13"	"55-64 years"	"55-64"	443	3709545	11.9
	"Georgia"	"13"	"65-74 years"	"65-74"	93	2515191	3.7
	"Georgia"	"13"	"75-84 years"	"75-84"	17	1135526	Unreliable
	"Georgia"	"13"	"85+ years"	"85+"	Suppressed	416679	Suppressed
	"Georgia"	"13"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Georgia"	"13"			2877	30954610	9.3
	"Hawaii"	"15"	"< 1 year"	"1"	Suppressed	55354	Suppressed
	"Hawaii"	"15"	"1-4 years"	"1-4"	Suppressed	218702	Suppressed
	"Hawaii"	"15"	"5-14 years"	"5-14"	Suppressed	507807	Suppressed
	"Hawaii"	"15"	"15-24 years"	"15-24"	16	531862	Unreliable
	"Hawaii"	"15"	"25-34 years"	"25-34"	23	630374	3.6
	"Hawaii"	"15"	"35-44 years"	"35-44"	36	533345	6.7
	"Hawaii"	"15"	"45-54 years"	"45-54"	32	528897	6.1
	"Hawaii"	"15"	"55-64 years"	"55-64"	65	546921	11.9
	"Hawaii"	"15"	"65-74 years"	"65-74"	20	417218	4.8
	"Hawaii"	"15"	"75-84 years"	"75-84"	Suppressed	199622	Suppressed
	"Hawaii"	"15"	"85+ years"	"85+"	Suppressed	117596	Suppressed
	"Hawaii"	"15"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Hawaii"	"15"			202	4287698	4.7
	"Idaho"	"16"	"< 1 year"	"1"	Suppressed	68546	Suppressed
	"Idaho"	"16"	"1-4 years"	"1-4"	Suppressed	276703	Suppressed
	"Idaho"	"16"	"5-14 years"	"5-14"	Suppressed	746365	Suppressed
	"Idaho"	"16"	"15-24 years"	"15-24"	29	693469	4.2
	"Idaho"	"16"	"25-34 years"	"25-34"	75	664971	11.3
	"Idaho"	"16"	"35-44 years"	"35-44"	82	621245	13.2
	"Idaho"	"16"	"45-54 years"	"45-54"	69	596763	11.6
	"Idaho"	"16"	"55-64 years"	"55-64"	44	623567	7.1
	"Idaho"	"16"	"65-74 years"	"65-74"	17	460336	Unreliable
	"Idaho"	"16"	"75-84 years"	"75-84"	Suppressed	218072	Suppressed
	"Idaho"	"16"	"85+ years"	"85+"	Suppressed	84976	Suppressed
	"Idaho"	"16"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Idaho"	"16"			321	5055013	6.4
	"Illinois"	"17"	"< 1 year"	"1"	Suppressed	462259	Suppressed
	"Illinois"	"17"	"1-4 years"	"1-4"	Suppressed	1866963	Suppressed
	"Illinois"	"17"	"5-14 years"	"5-14"	Suppressed	4915264	Suppressed
	"Illinois"	"17"	"15-24 years"	"15-24"	523	5182943	10.1
	"Illinois"	"17"	"25-34 years"	"25-34"	1435	5324446	27.0
	"Illinois"	"17"	"35-44 years"	"35-44"	1305	4955740	26.3
	"Illinois"	"17"	"45-54 years"	"45-54"	1335	5142486	26.0
	"Illinois"	"17"	"55-64 years"	"55-64"	932	4966517	18.8
	"Illinois"	"17"	"65-74 years"	"65-74"	143	3228661	4.4
	"Illinois"	"17"	"75-84 years"	"75-84"	19	1634181	Unreliable
	"Illinois"	"17"	"85+ years"	"85+"	Suppressed	784097	Suppressed
	"Illinois"	"17"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Illinois"	"17"			5705	38463557	14.8
	"Indiana"	"18"	"< 1 year"	"1"	Suppressed	249780	Suppressed
	"Indiana"	"18"	"1-4 years"	"1-4"	Suppressed	1012873	Suppressed
	"Indiana"	"18"	"5-14 years"	"5-14"	Suppressed	2641675	Suppressed
	"Indiana"	"18"	"15-24 years"	"15-24"	254	2808861	9.0
	"Indiana"	"18"	"25-34 years"	"25-34"	813	2579035	31.5
	"Indiana"	"18"	"35-44 years"	"35-44"	633	2454733	25.8
	"Indiana"	"18"	"45-54 years"	"45-54"	526	2599176	20.2
	"Indiana"	"18"	"55-64 years"	"55-64"	308	2590838	11.9
	"Indiana"	"18"	"65-74 years"	"65-74"	53	1732014	3.1
	"Indiana"	"18"	"75-84 years"	"75-84"	Suppressed	864227	Suppressed
	"Indiana"	"18"	"85+ years"	"85+"	Suppressed	386339	Suppressed
	"Indiana"	"18"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Indiana"	"18"			2603	19919551	13.1
	"Iowa"	"19"	"< 1 year"	"1"	Suppressed	118094	Suppressed
	"Iowa"	"19"	"1-4 years"	"1-4"	Suppressed	477098	Suppressed
	"Iowa"	"19"	"5-14 years"	"5-14"	Suppressed	1225651	Suppressed
	"Iowa"	"19"	"15-24 years"	"15-24"	69	1335445	5.2
	"Iowa"	"19"	"25-34 years"	"25-34"	121	1181525	10.2
	"Iowa"	"19"	"35-44 years"	"35-44"	133	1107019	12.0
	"Iowa"	"19"	"45-54 years"	"45-54"	151	1169448	12.9
	"Iowa"	"19"	"55-64 years"	"55-64"	94	1246874	7.5
	"Iowa"	"19"	"65-74 years"	"65-74"	19	843013	Unreliable
	"Iowa"	"19"	"75-84 years"	"75-84"	Suppressed	462913	Suppressed
	"Iowa"	"19"	"85+ years"	"85+"	Suppressed	237223	Suppressed
	"Iowa"	"19"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Iowa"	"19"			592	9404303	6.3
	"Kansas"	"20"	"< 1 year"	"1"	Suppressed	115233	Suppressed
	"Kansas"	"20"	"1-4 years"	"1-4"	Suppressed	469693	Suppressed
	"Kansas"	"20"	"5-14 years"	"5-14"	Suppressed	1202852	Suppressed
	"Kansas"	"20"	"15-24 years"	"15-24"	38	1256907	3.0
	"Kansas"	"20"	"25-34 years"	"25-34"	97	1155622	8.4
	"Kansas"	"20"	"35-44 years"	"35-44"	105	1044969	10.0
	"Kansas"	"20"	"45-54 years"	"45-54"	111	1060770	10.5
	"Kansas"	"20"	"55-64 years"	"55-64"	109	1113041	9.8
	"Kansas"	"20"	"65-74 years"	"65-74"	22	735321	3.0
	"Kansas"	"20"	"75-84 years"	"75-84"	Suppressed	383274	Suppressed
	"Kansas"	"20"	"85+ years"	"85+"	Suppressed	194371	Suppressed
	"Kansas"	"20"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Kansas"	"20"			490	8732053	5.6
	"Kentucky"	"21"	"< 1 year"	"1"	Suppressed	165011	Suppressed
	"Kentucky"	"21"	"1-4 years"	"1-4"	Suppressed	665014	Suppressed
	"Kentucky"	"21"	"5-14 years"	"5-14"	Suppressed	1684098	Suppressed
	"Kentucky"	"21"	"15-24 years"	"15-24"	208	1780872	11.7
	"Kentucky"	"21"	"25-34 years"	"25-34"	769	1724695	44.6
	"Kentucky"	"21"	"35-44 years"	"35-44"	920	1662306	55.3
	"Kentucky"	"21"	"45-54 years"	"45-54"	774	1788854	43.3
	"Kentucky"	"21"	"55-64 years"	"55-64"	377	1770574	21.3
	"Kentucky"	"21"	"65-74 years"	"65-74"	51	1235946	4.1
	"Kentucky"	"21"	"75-84 years"	"75-84"	Suppressed	603822	Suppressed
	"Kentucky"	"21"	"85+ years"	"85+"	Suppressed	235063	Suppressed
	"Kentucky"	"21"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Kentucky"	"21"			3113	13316255	23.4
	"Louisiana"	"22"	"< 1 year"	"1"	Suppressed	187524	Suppressed
	"Louisiana"	"22"	"1-4 years"	"1-4"	Suppressed	745932	Suppressed
	"Louisiana"	"22"	"5-14 years"	"5-14"	Suppressed	1845716	Suppressed
	"Louisiana"	"22"	"15-24 years"	"15-24"	82	1891469	4.3
	"Louisiana"	"22"	"25-34 years"	"25-34"	289	2037422	14.2
	"Louisiana"	"22"	"35-44 years"	"35-44"	296	1723504	17.2
	"Louisiana"	"22"	"45-54 years"	"45-54"	238	1773494	13.4
	"Louisiana"	"22"	"55-64 years"	"55-64"	158	1806742	8.7
	"Louisiana"	"22"	"65-74 years"	"65-74"	21	1204299	1.7
	"Louisiana"	"22"	"75-84 years"	"75-84"	Suppressed	587253	Suppressed
	"Louisiana"	"22"	"85+ years"	"85+"	Suppressed	233368	Suppressed
	"Louisiana"	"22"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Louisiana"	"22"			1092	14036723	7.8
	"Maine"	"23"	"< 1 year"	"1"	Suppressed	38091	Suppressed
	"Maine"	"23"	"1-4 years"	"1-4"	Suppressed	156166	Suppressed
	"Maine"	"23"	"5-14 years"	"5-14"	Suppressed	428376	Suppressed
	"Maine"	"23"	"15-24 years"	"15-24"	65	471794	13.8
	"Maine"	"23"	"25-34 years"	"25-34"	274	469954	58.3
	"Maine"	"23"	"35-44 years"	"35-44"	245	454851	53.9
	"Maine"	"23"	"45-54 years"	"45-54"	212	572721	37.0
	"Maine"	"23"	"55-64 years"	"55-64"	99	630328	15.7
	"Maine"	"23"	"65-74 years"	"65-74"	14	457264	Unreliable
	"Maine"	"23"	"75-84 years"	"75-84"	Suppressed	220126	Suppressed
	"Maine"	"23"	"85+ years"	"85+"	Suppressed	97043	Suppressed
	"Maine"	"23"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Maine"	"23"			916	3996714	22.9
	"Maryland"	"24"	"< 1 year"	"1"	Suppressed	217746	Suppressed
	"Maryland"	"24"	"1-4 years"	"1-4"	Suppressed	884769	Suppressed
	"Maryland"	"24"	"5-14 years"	"5-14"	Suppressed	2249652	Suppressed
	"Maryland"	"24"	"15-24 years"	"15-24"	365	2333964	15.6
	"Maryland"	"24"	"25-34 years"	"25-34"	1278	2508985	50.9
	"Maryland"	"24"	"35-44 years"	"35-44"	1039	2298619	45.2
	"Maryland"	"24"	"45-54 years"	"45-54"	1257	2567035	49.0
	"Maryland"	"24"	"55-64 years"	"55-64"	877	2383803	36.8
	"Maryland"	"24"	"65-74 years"	"65-74"	127	1547493	8.2
	"Maryland"	"24"	"75-84 years"	"75-84"	Suppressed	738316	Suppressed
	"Maryland"	"24"	"85+ years"	"85+"	Suppressed	344643	Suppressed
	"Maryland"	"24"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Maryland"	"24"			4959	18075025	27.4
	"Massachusetts"	"25"	"< 1 year"	"1"	Suppressed	216480	Suppressed
	"Massachusetts"	"25"	"1-4 years"	"1-4"	Suppressed	872046	Suppressed
	"Massachusetts"	"25"	"5-14 years"	"5-14"	Suppressed	2296665	Suppressed
	"Massachusetts"	"25"	"15-24 years"	"15-24"	454	2855628	15.9
	"Massachusetts"	"25"	"25-34 years"	"25-34"	1728	2870108	60.2
	"Massachusetts"	"25"	"35-44 years"	"35-44"	1367	2489607	54.9
	"Massachusetts"	"25"	"45-54 years"	"45-54"	1214	2884390	42.1
	"Massachusetts"	"25"	"55-64 years"	"55-64"	682	2753301	24.8
	"Massachusetts"	"25"	"65-74 years"	"65-74"	92	1837842	5.0
	"Massachusetts"	"25"	"75-84 years"	"75-84"	Suppressed	912099	Suppressed
	"Massachusetts"	"25"	"85+ years"	"85+"	Suppressed	477854	Suppressed
	"Massachusetts"	"25"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Massachusetts"	"25"			5548	20466020	27.1
	"Michigan"	"26"	"< 1 year"	"1"	Suppressed	339617	Suppressed
	"Michigan"	"26"	"1-4 years"	"1-4"	Suppressed	1379864	Suppressed
	"Michigan"	"26"	"5-14 years"	"5-14"	Suppressed	3660070	Suppressed
	"Michigan"	"26"	"15-24 years"	"15-24"	432	4129329	10.5
	"Michigan"	"26"	"25-34 years"	"25-34"	1425	3744220	38.1
	"Michigan"	"26"	"35-44 years"	"35-44"	1165	3488557	33.4
	"Michigan"	"26"	"45-54 years"	"45-54"	1150	4045014	28.4
	"Michigan"	"26"	"55-64 years"	"55-64"	825	4176894	19.8
	"Michigan"	"26"	"65-74 years"	"65-74"	166	2827293	5.9
	"Michigan"	"26"	"75-84 years"	"75-84"	24	1382370	1.7
	"Michigan"	"26"	"85+ years"	"85+"	Suppressed	639959	Suppressed
	"Michigan"	"26"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Michigan"	"26"			5201	29813187	17.4
	"Minnesota"	"27"	"< 1 year"	"1"	Suppressed	209536	Suppressed
	"Minnesota"	"27"	"1-4 years"	"1-4"	Suppressed	848733	Suppressed
	"Minnesota"	"27"	"5-14 years"	"5-14"	Suppressed	2167285	Suppressed
	"Minnesota"	"27"	"15-24 years"	"15-24"	150	2165051	6.9
	"Minnesota"	"27"	"25-34 years"	"25-34"	312	2252730	13.8
	"Minnesota"	"27"	"35-44 years"	"35-44"	246	2044867	12.0
	"Minnesota"	"27"	"45-54 years"	"45-54"	256	2183558	11.7
	"Minnesota"	"27"	"55-64 years"	"55-64"	177	2216312	8.0
	"Minnesota"	"27"	"65-74 years"	"65-74"	33	1417258	2.3
	"Minnesota"	"27"	"75-84 years"	"75-84"	Suppressed	722679	Suppressed
	"Minnesota"	"27"	"85+ years"	"85+"	Suppressed	358143	Suppressed
	"Minnesota"	"27"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Minnesota"	"27"			1186	16586152	7.2
	"Mississippi"	"28"	"< 1 year"	"1"	Suppressed	112340	Suppressed
	"Mississippi"	"28"	"1-4 years"	"1-4"	Suppressed	456320	Suppressed
	"Mississippi"	"28"	"5-14 years"	"5-14"	Suppressed	1219668	Suppressed
	"Mississippi"	"28"	"15-24 years"	"15-24"	31	1265166	2.5
	"Mississippi"	"28"	"25-34 years"	"25-34"	137	1180831	11.6
	"Mississippi"	"28"	"35-44 years"	"35-44"	127	1097473	11.6
	"Mississippi"	"28"	"45-54 years"	"45-54"	129	1138629	11.3
	"Mississippi"	"28"	"55-64 years"	"55-64"	89	1142571	7.8
	"Mississippi"	"28"	"65-74 years"	"65-74"	19	798063	Unreliable
	"Mississippi"	"28"	"75-84 years"	"75-84"	Suppressed	401377	Suppressed
	"Mississippi"	"28"	"85+ years"	"85+"	Suppressed	152721	Suppressed
	"Mississippi"	"28"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"			532	8965159	5.9
	"Missouri"	"29"	"< 1 year"	"1"	Suppressed	222483	Suppressed
	"Missouri"	"29"	"1-4 years"	"1-4"	Suppressed	900314	Suppressed
	"Missouri"	"29"	"5-14 years"	"5-14"	Suppressed	2322868	Suppressed
	"Missouri"	"29"	"15-24 years"	"15-24"	301	2452687	12.3
	"Missouri"	"29"	"25-34 years"	"25-34"	739	2440498	30.3
	"Missouri"	"29"	"35-44 years"	"35-44"	651	2199287	29.6
	"Missouri"	"29"	"45-54 years"	"45-54"	501	2366934	21.2
	"Missouri"	"29"	"55-64 years"	"55-64"	365	2445157	14.9
	"Missouri"	"29"	"65-74 years"	"65-74"	63	1682267	3.7
	"Missouri"	"29"	"75-84 years"	"75-84"	Suppressed	872682	Suppressed
	"Missouri"	"29"	"85+ years"	"85+"	Suppressed	385027	Suppressed
	"Missouri"	"29"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Missouri"	"29"			2640	18290204	14.4
	"Montana"	"30"	"< 1 year"	"1"	Suppressed	37783	Suppressed
	"Montana"	"30"	"1-4 years"	"1-4"	Suppressed	150423	Suppressed
	"Montana"	"30"	"5-14 years"	"5-14"	Suppressed	381353	Suppressed
	"Montana"	"30"	"15-24 years"	"15-24"	Suppressed	411819	Suppressed
	"Montana"	"30"	"25-34 years"	"25-34"	33	399030	8.3
	"Montana"	"30"	"35-44 years"	"35-44"	31	359567	8.6
	"Montana"	"30"	"45-54 years"	"45-54"	23	376291	6.1
	"Montana"	"30"	"55-64 years"	"55-64"	25	456122	5.5
	"Montana"	"30"	"65-74 years"	"65-74"	Suppressed	329985	Suppressed
	"Montana"	"30"	"75-84 years"	"75-84"	Suppressed	156005	Suppressed
	"Montana"	"30"	"85+ years"	"85+"	Suppressed	67584	Suppressed
	"Montana"	"30"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Montana"	"30"			130	3125962	4.2
	"Nebraska"	"31"	"< 1 year"	"1"	Suppressed	79158	Suppressed
	"Nebraska"	"31"	"1-4 years"	"1-4"	Suppressed	317343	Suppressed
	"Nebraska"	"31"	"5-14 years"	"5-14"	Suppressed	792678	Suppressed
	"Nebraska"	"31"	"15-24 years"	"15-24"	12	806726	Unreliable
	"Nebraska"	"31"	"25-34 years"	"25-34"	43	760994	5.7
	"Nebraska"	"31"	"35-44 years"	"35-44"	38	693844	5.5
	"Nebraska"	"31"	"45-54 years"	"45-54"	33	689323	4.8
	"Nebraska"	"31"	"55-64 years"	"55-64"	32	722488	4.4
	"Nebraska"	"31"	"65-74 years"	"65-74"	Suppressed	479022	Suppressed
	"Nebraska"	"31"	"75-84 years"	"75-84"	Suppressed	253764	Suppressed
	"Nebraska"	"31"	"85+ years"	"85+"	Suppressed	128042	Suppressed
	"Nebraska"	"31"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"Nebraska"	"31"			168	5723382	2.9
	"Nevada"	"32"	"< 1 year"	"1"	Suppressed	109159	Suppressed
	"Nevada"	"32"	"1-4 years"	"1-4"	Suppressed	437757	Suppressed
	"Nevada"	"32"	"5-14 years"	"5-14"	Suppressed	1144795	Suppressed
