"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1-4 years"	"1-4"	"Massachusetts"	"25"	Suppressed	867958	Suppressed
	"1-4 years"	"1-4"	"Michigan"	"26"	Suppressed	1384011	Suppressed
	"1-4 years"	"1-4"	"Minnesota"	"27"	Suppressed	855172	Suppressed
	"1-4 years"	"1-4"	"Mississippi"	"28"	Suppressed	451310	Suppressed
	"1-4 years"	"1-4"	"Missouri"	"29"	Suppressed	901188	Suppressed
	"1-4 years"	"1-4"	"Montana"	"30"	Suppressed	151575	Suppressed
	"1-4 years"	"1-4"	"Nebraska"	"31"	Suppressed	320049	Suppressed
	"1-4 years"	"1-4"	"Nevada"	"32"	Suppressed	447091	Suppressed
	"1-4 years"	"1-4"	"New Hampshire"	"33"	Suppressed	155520	Suppressed
	"1-4 years"	"1-4"	"New Jersey"	"34"	Suppressed	1257145	Suppressed
	"1-4 years"	"1-4"	"New Mexico"	"35"	Suppressed	307538	Suppressed
	"1-4 years"	"1-4"	"New York"	"36"	Suppressed	2768672	Suppressed
	"1-4 years"	"1-4"	"North Carolina"	"37"	Suppressed	1466458	Suppressed
	"1-4 years"	"1-4"	"North Dakota"	"38"	Suppressed	130684	Suppressed
	"1-4 years"	"1-4"	"Ohio"	"39"	Suppressed	1682889	Suppressed
	"1-4 years"	"1-4"	"Oklahoma"	"40"	Suppressed	636440	Suppressed
	"1-4 years"	"1-4"	"Oregon"	"41"	Suppressed	567207	Suppressed
	"1-4 years"	"1-4"	"Pennsylvania"	"42"	Suppressed	1709296	Suppressed
	"1-4 years"	"1-4"	"Rhode Island"	"44"	Suppressed	131556	Suppressed
	"1-4 years"	"1-4"	"South Carolina"	"45"	Suppressed	707400	Suppressed
	"1-4 years"	"1-4"	"South Dakota"	"46"	Suppressed	148677	Suppressed
	"1-4 years"	"1-4"	"Tennessee"	"47"	Suppressed	981917	Suppressed
	"1-4 years"	"1-4"	"Texas"	"48"	Suppressed	4874998	Suppressed
	"1-4 years"	"1-4"	"Utah"	"49"	Suppressed	608931	Suppressed
	"1-4 years"	"1-4"	"Vermont"	"50"	Suppressed	72839	Suppressed
	"1-4 years"	"1-4"	"Virginia"	"51"	Suppressed	1231333	Suppressed
	"1-4 years"	"1-4"	"Washington"	"53"	Suppressed	1103888	Suppressed
	"1-4 years"	"1-4"	"West Virginia"	"54"	Suppressed	238286	Suppressed
	"1-4 years"	"1-4"	"Wisconsin"	"55"	Suppressed	810911	Suppressed
	"1-4 years"	"1-4"	"Wyoming"	"56"	Suppressed	89380	Suppressed
"Total"	"1-4 years"	"1-4"			94	47918524	0.2
	"5-14 years"	"5-14"	"Alabama"	"01"	Suppressed	1828137	Suppressed
	"5-14 years"	"5-14"	"Alaska"	"02"	Suppressed	306472	Suppressed
	"5-14 years"	"5-14"	"Arizona"	"04"	Suppressed	2758390	Suppressed
	"5-14 years"	"5-14"	"Arkansas"	"05"	Suppressed	1182432	Suppressed
	"5-14 years"	"5-14"	"California"	"06"	Suppressed	15156108	Suppressed
	"5-14 years"	"5-14"	"Colorado"	"08"	Suppressed	2139389	Suppressed
	"5-14 years"	"5-14"	"Connecticut"	"09"	Suppressed	1258132	Suppressed
	"5-14 years"	"5-14"	"Delaware"	"10"	Suppressed	342245	Suppressed
	"5-14 years"	"5-14"	"District of Columbia"	"11"	Suppressed	191739	Suppressed
	"5-14 years"	"5-14"	"Florida"	"12"	Suppressed	6993801	Suppressed
	"5-14 years"	"5-14"	"Georgia"	"13"	Suppressed	4244432	Suppressed
	"5-14 years"	"5-14"	"Hawaii"	"15"	Suppressed	506414	Suppressed
	"5-14 years"	"5-14"	"Idaho"	"16"	Suppressed	753058	Suppressed
	"5-14 years"	"5-14"	"Illinois"	"17"	Suppressed	4853906	Suppressed
	"5-14 years"	"5-14"	"Indiana"	"18"	Suppressed	2635431	Suppressed
	"5-14 years"	"5-14"	"Iowa"	"19"	Suppressed	1226587	Suppressed
	"5-14 years"	"5-14"	"Kansas"	"20"	Suppressed	1198902	Suppressed
	"5-14 years"	"5-14"	"Kentucky"	"21"	Suppressed	1685114	Suppressed
	"5-14 years"	"5-14"	"Louisiana"	"22"	Suppressed	1837086	Suppressed
	"5-14 years"	"5-14"	"Maine"	"23"	Suppressed	425224	Suppressed
	"5-14 years"	"5-14"	"Maryland"	"24"	Suppressed	2249475	Suppressed
	"5-14 years"	"5-14"	"Massachusetts"	"25"	Suppressed	2285840	Suppressed
	"5-14 years"	"5-14"	"Michigan"	"26"	Suppressed	3633286	Suppressed
	"5-14 years"	"5-14"	"Minnesota"	"27"	Suppressed	2179080	Suppressed
	"5-14 years"	"5-14"	"Mississippi"	"28"	Suppressed	1210012	Suppressed
	"5-14 years"	"5-14"	"Missouri"	"29"	Suppressed	2315430	Suppressed
	"5-14 years"	"5-14"	"Montana"	"30"	Suppressed	383423	Suppressed
	"5-14 years"	"5-14"	"Nebraska"	"31"	Suppressed	794868	Suppressed
	"5-14 years"	"5-14"	"Nevada"	"32"	Suppressed	1153261	Suppressed
	"5-14 years"	"5-14"	"New Hampshire"	"33"	Suppressed	438139	Suppressed
	"5-14 years"	"5-14"	"New Jersey"	"34"	Suppressed	3309229	Suppressed
	"5-14 years"	"5-14"	"New Mexico"	"35"	Suppressed	828682	Suppressed
	"5-14 years"	"5-14"	"New York"	"36"	Suppressed	6809809	Suppressed
	"5-14 years"	"5-14"	"North Carolina"	"37"	Suppressed	3876887	Suppressed
	"5-14 years"	"5-14"	"North Dakota"	"38"	Suppressed	289031	Suppressed
	"5-14 years"	"5-14"	"Ohio"	"39"	Suppressed	4343570	Suppressed
	"5-14 years"	"5-14"	"Oklahoma"	"40"	Suppressed	1611122	Suppressed
	"5-14 years"	"5-14"	"Oregon"	"41"	Suppressed	1465427	Suppressed
	"5-14 years"	"5-14"	"Pennsylvania"	"42"	Suppressed	4451073	Suppressed
	"5-14 years"	"5-14"	"Rhode Island"	"44"	Suppressed	344329	Suppressed
	"5-14 years"	"5-14"	"South Carolina"	"45"	Suppressed	1863971	Suppressed
	"5-14 years"	"5-14"	"South Dakota"	"46"	Suppressed	359638	Suppressed
	"5-14 years"	"5-14"	"Tennessee"	"47"	Suppressed	2517159	Suppressed
	"5-14 years"	"5-14"	"Texas"	"48"	Suppressed	12312964	Suppressed
	"5-14 years"	"5-14"	"Utah"	"49"	Suppressed	1567455	Suppressed
	"5-14 years"	"5-14"	"Vermont"	"50"	Suppressed	196423	Suppressed
	"5-14 years"	"5-14"	"Virginia"	"51"	Suppressed	3123749	Suppressed
	"5-14 years"	"5-14"	"Washington"	"53"	Suppressed	2749855	Suppressed
	"5-14 years"	"5-14"	"West Virginia"	"54"	Suppressed	620753	Suppressed
	"5-14 years"	"5-14"	"Wisconsin"	"55"	Suppressed	2165720	Suppressed
	"5-14 years"	"5-14"	"Wyoming"	"56"	Suppressed	233234	Suppressed
"Total"	"5-14 years"	"5-14"			91	123205893	0.1
	"15-24 years"	"15-24"	"Alabama"	"01"	93	1943180	4.8
	"15-24 years"	"15-24"	"Alaska"	"02"	24	306146	7.8
	"15-24 years"	"15-24"	"Arizona"	"04"	411	2868839	14.3
	"15-24 years"	"15-24"	"Arkansas"	"05"	52	1202950	4.3
	"15-24 years"	"15-24"	"California"	"06"	651	15979795	4.1
	"15-24 years"	"15-24"	"Colorado"	"08"	186	2220715	8.4
	"15-24 years"	"15-24"	"Connecticut"	"09"	218	1473481	14.8
	"15-24 years"	"15-24"	"Delaware"	"10"	52	359858	14.5
	"15-24 years"	"15-24"	"District of Columbia"	"11"	11	276028	Unreliable
	"15-24 years"	"15-24"	"Florida"	"12"	645	7412153	8.7
	"15-24 years"	"15-24"	"Georgia"	"13"	245	4328159	5.7
	"15-24 years"	"15-24"	"Hawaii"	"15"	15	515609	Unreliable
	"15-24 years"	"15-24"	"Idaho"	"16"	29	704339	4.1
	"15-24 years"	"15-24"	"Illinois"	"17"	537	5106399	10.5
	"15-24 years"	"15-24"	"Indiana"	"18"	286	2794958	10.2
	"15-24 years"	"15-24"	"Iowa"	"19"	70	1331894	5.3
	"15-24 years"	"15-24"	"Kansas"	"20"	44	1245904	3.5
	"15-24 years"	"15-24"	"Kentucky"	"21"	225	1772948	12.7
	"15-24 years"	"15-24"	"Louisiana"	"22"	88	1854553	4.7
	"15-24 years"	"15-24"	"Maine"	"23"	60	465745	12.9
	"15-24 years"	"15-24"	"Maryland"	"24"	396	2307832	17.2
	"15-24 years"	"15-24"	"Massachusetts"	"25"	410	2853528	14.4
	"15-24 years"	"15-24"	"Michigan"	"26"	438	4087611	10.7
	"15-24 years"	"15-24"	"Minnesota"	"27"	156	2162065	7.2
	"15-24 years"	"15-24"	"Mississippi"	"28"	34	1249850	2.7
	"15-24 years"	"15-24"	"Missouri"	"29"	352	2426112	14.5
	"15-24 years"	"15-24"	"Montana"	"30"	13	409748	Unreliable
	"15-24 years"	"15-24"	"Nebraska"	"31"	15	806637	Unreliable
	"15-24 years"	"15-24"	"Nevada"	"32"	97	1090373	8.9
	"15-24 years"	"15-24"	"New Hampshire"	"33"	125	527403	23.7
	"15-24 years"	"15-24"	"New Jersey"	"34"	540	3386473	15.9
	"15-24 years"	"15-24"	"New Mexico"	"35"	100	847846	11.8
	"15-24 years"	"15-24"	"New York"	"36"	807	7706203	10.5
	"15-24 years"	"15-24"	"North Carolina"	"37"	526	4121257	12.8
	"15-24 years"	"15-24"	"North Dakota"	"38"	21	340039	6.2
	"15-24 years"	"15-24"	"Ohio"	"39"	891	4592921	19.4
	"15-24 years"	"15-24"	"Oklahoma"	"40"	79	1617835	4.9
	"15-24 years"	"15-24"	"Oregon"	"41"	94	1538208	6.1
	"15-24 years"	"15-24"	"Pennsylvania"	"42"	732	4937826	14.8
	"15-24 years"	"15-24"	"Rhode Island"	"44"	55	451730	12.2
	"15-24 years"	"15-24"	"South Carolina"	"45"	194	1969638	9.8
	"15-24 years"	"15-24"	"South Dakota"	"46"	14	351688	Unreliable
	"15-24 years"	"15-24"	"Tennessee"	"47"	289	2619871	11.0
	"15-24 years"	"15-24"	"Texas"	"48"	519	12003067	4.3
	"15-24 years"	"15-24"	"Utah"	"49"	129	1497079	8.6
	"15-24 years"	"15-24"	"Vermont"	"50"	26	266361	9.8
	"15-24 years"	"15-24"	"Virginia"	"51"	305	3374432	9.0
	"15-24 years"	"15-24"	"Washington"	"53"	202	2784000	7.3
	"15-24 years"	"15-24"	"West Virginia"	"54"	148	670522	22.1
	"15-24 years"	"15-24"	"Wisconsin"	"55"	241	2344383	10.3
	"15-24 years"	"15-24"	"Wyoming"	"56"	11	225931	Unreliable
"Total"	"15-24 years"	"15-24"			11901	129732122	9.2
	"25-34 years"	"25-34"	"Alabama"	"01"	325	1921329	16.9
	"25-34 years"	"25-34"	"Alaska"	"02"	77	359533	21.4
	"25-34 years"	"25-34"	"Arizona"	"04"	724	2874867	25.2
	"25-34 years"	"25-34"	"Arkansas"	"05"	138	1184807	11.6
	"25-34 years"	"25-34"	"California"	"06"	1595	17985363	8.9
	"25-34 years"	"25-34"	"Colorado"	"08"	491	2607493	18.8
	"25-34 years"	"25-34"	"Connecticut"	"09"	707	1331609	53.1
	"25-34 years"	"25-34"	"Delaware"	"10"	224	385842	58.1
	"25-34 years"	"25-34"	"District of Columbia"	"11"	53	481680	11.0
	"25-34 years"	"25-34"	"Florida"	"12"	2694	8214360	32.8
	"25-34 years"	"25-34"	"Georgia"	"13"	759	4348872	17.5
	"25-34 years"	"25-34"	"Hawaii"	"15"	28	617469	4.5
	"25-34 years"	"25-34"	"Idaho"	"16"	97	678662	14.3
	"25-34 years"	"25-34"	"Illinois"	"17"	1638	5319886	30.8
	"25-34 years"	"25-34"	"Indiana"	"18"	973	2605914	37.3
	"25-34 years"	"25-34"	"Iowa"	"19"	137	1187731	11.5
	"25-34 years"	"25-34"	"Kansas"	"20"	93	1151277	8.1
	"25-34 years"	"25-34"	"Kentucky"	"21"	810	1741414	46.5
	"25-34 years"	"25-34"	"Louisiana"	"22"	339	2028527	16.7
	"25-34 years"	"25-34"	"Maine"	"23"	287	475747	60.3
	"25-34 years"	"25-34"	"Maryland"	"24"	1523	2506980	60.8
	"25-34 years"	"25-34"	"Massachusetts"	"25"	1859	2919173	63.7
	"25-34 years"	"25-34"	"Michigan"	"26"	1617	3817463	42.4
	"25-34 years"	"25-34"	"Minnesota"	"27"	333	2266512	14.7
	"25-34 years"	"25-34"	"Mississippi"	"28"	131	1182151	11.1
	"25-34 years"	"25-34"	"Missouri"	"29"	903	2457236	36.7
	"25-34 years"	"25-34"	"Montana"	"30"	37	405461	9.1
	"25-34 years"	"25-34"	"Nebraska"	"31"	48	764184	6.3
	"25-34 years"	"25-34"	"Nevada"	"32"	242	1313857	18.4
	"25-34 years"	"25-34"	"New Hampshire"	"33"	436	493098	88.4
	"25-34 years"	"25-34"	"New Jersey"	"34"	1731	3488976	49.6
	"25-34 years"	"25-34"	"New Mexico"	"35"	271	845667	32.0
	"25-34 years"	"25-34"	"New York"	"36"	2635	8706485	30.3
	"25-34 years"	"25-34"	"North Carolina"	"37"	1597	4098849	39.0
	"25-34 years"	"25-34"	"North Dakota"	"38"	35	342606	10.2
	"25-34 years"	"25-34"	"Ohio"	"39"	3341	4575951	73.0
	"25-34 years"	"25-34"	"Oklahoma"	"40"	245	1634274	15.0
	"25-34 years"	"25-34"	"Oregon"	"41"	232	1758359	13.2
	"25-34 years"	"25-34"	"Pennsylvania"	"42"	2464	5067406	48.6
	"25-34 years"	"25-34"	"Rhode Island"	"44"	212	434484	48.8
	"25-34 years"	"25-34"	"South Carolina"	"45"	548	1994428	27.5
	"25-34 years"	"25-34"	"South Dakota"	"46"	32	341966	9.4
	"25-34 years"	"25-34"	"Tennessee"	"47"	966	2739117	35.3
	"25-34 years"	"25-34"	"Texas"	"48"	1106	12484096	8.9
	"25-34 years"	"25-34"	"Utah"	"49"	348	1371176	25.4
	"25-34 years"	"25-34"	"Vermont"	"50"	114	219780	51.9
	"25-34 years"	"25-34"	"Virginia"	"51"	1055	3547636	29.7
	"25-34 years"	"25-34"	"Washington"	"53"	534	3351808	15.9
	"25-34 years"	"25-34"	"West Virginia"	"54"	607	650432	93.3
	"25-34 years"	"25-34"	"Wisconsin"	"55"	798	2196456	36.3
	"25-34 years"	"25-34"	"Wyoming"	"56"	27	239240	11.3
"Total"	"25-34 years"	"25-34"			38216	135717689	28.2
	"35-44 years"	"35-44"	"Alabama"	"01"	318	1779810	17.9
	"35-44 years"	"35-44"	"Alaska"	"02"	66	280007	23.6
	"35-44 years"	"35-44"	"Arizona"	"04"	590	2584331	22.8
	"35-44 years"	"35-44"	"Arkansas"	"05"	138	1099520	12.6
	"35-44 years"	"35-44"	"California"	"06"	1199	15638665	7.7
	"35-44 years"	"35-44"	"Colorado"	"08"	380	2281929	16.7
	"35-44 years"	"35-44"	"Connecticut"	"09"	677	1269072	53.3
	"35-44 years"	"35-44"	"Delaware"	"10"	202	331209	61.0
	"35-44 years"	"35-44"	"District of Columbia"	"11"	82	306601	26.7
	"35-44 years"	"35-44"	"Florida"	"12"	2431	7550904	32.2
	"35-44 years"	"35-44"	"Georgia"	"13"	680	4103038	16.6
	"35-44 years"	"35-44"	"Hawaii"	"15"	38	537140	7.1
	"35-44 years"	"35-44"	"Idaho"	"16"	75	638642	11.7
	"35-44 years"	"35-44"	"Illinois"	"17"	1483	4925649	30.1
	"35-44 years"	"35-44"	"Indiana"	"18"	818	2453879	33.3
	"35-44 years"	"35-44"	"Iowa"	"19"	118	1120558	10.5
	"35-44 years"	"35-44"	"Kansas"	"20"	108	1055178	10.2
	"35-44 years"	"35-44"	"Kentucky"	"21"	944	1655219	57.0
	"35-44 years"	"35-44"	"Louisiana"	"22"	354	1736219	20.4
	"35-44 years"	"35-44"	"Maine"	"23"	270	454484	59.4
	"35-44 years"	"35-44"	"Maryland"	"24"	1256	2304595	54.5
	"35-44 years"	"35-44"	"Massachusetts"	"25"	1501	2496166	60.1
	"35-44 years"	"35-44"	"Michigan"	"26"	1355	3476285	39.0
	"35-44 years"	"35-44"	"Minnesota"	"27"	239	2081434	11.5
	"35-44 years"	"35-44"	"Mississippi"	"28"	134	1094628	12.2
	"35-44 years"	"35-44"	"Missouri"	"29"	804	2211151	36.4
	"35-44 years"	"35-44"	"Montana"	"30"	34	368636	9.2
	"35-44 years"	"35-44"	"Nebraska"	"31"	37	704512	5.3
	"35-44 years"	"35-44"	"Nevada"	"32"	226	1187979	19.0
	"35-44 years"	"35-44"	"New Hampshire"	"33"	313	458887	68.2
	"35-44 years"	"35-44"	"New Jersey"	"34"	1368	3439191	39.8
	"35-44 years"	"35-44"	"New Mexico"	"35"	236	739431	31.9
	"35-44 years"	"35-44"	"New York"	"36"	2002	7360262	27.2
	"35-44 years"	"35-44"	"North Carolina"	"37"	1339	3876820	34.5
	"35-44 years"	"35-44"	"North Dakota"	"38"	35	264962	13.2
	"35-44 years"	"35-44"	"Ohio"	"39"	3013	4152530	72.6
	"35-44 years"	"35-44"	"Oklahoma"	"40"	264	1452380	18.2
	"35-44 years"	"35-44"	"Oregon"	"41"	231	1638840	14.1
	"35-44 years"	"35-44"	"Pennsylvania"	"42"	1911	4465153	42.8
	"35-44 years"	"35-44"	"Rhode Island"	"44"	205	370624	55.3
	"35-44 years"	"35-44"	"South Carolina"	"45"	540	1814960	29.8
	"35-44 years"	"35-44"	"South Dakota"	"46"	17	303495	Unreliable
	"35-44 years"	"35-44"	"Tennessee"	"47"	933	2506115	37.2
	"35-44 years"	"35-44"	"Texas"	"48"	892	11412808	7.8
	"35-44 years"	"35-44"	"Utah"	"49"	345	1268094	27.2
	"35-44 years"	"35-44"	"Vermont"	"50"	92	209756	43.9
	"35-44 years"	"35-44"	"Virginia"	"51"	912	3284540	27.8
	"35-44 years"	"35-44"	"Washington"	"53"	428	2917411	14.7
	"35-44 years"	"35-44"	"West Virginia"	"54"	681	658437	103.4
	"35-44 years"	"35-44"	"Wisconsin"	"55"	645	2085612	30.9
	"35-44 years"	"35-44"	"Wyoming"	"56"	32	215666	14.8
"Total"	"35-44 years"	"35-44"			32991	122623414	26.9
	"45-54 years"	"45-54"	"Alabama"	"01"	232	1908108	12.2
	"45-54 years"	"45-54"	"Alaska"	"02"	62	273569	22.7
	"45-54 years"	"45-54"	"Arizona"	"04"	520	2545451	20.4
	"45-54 years"	"45-54"	"Arkansas"	"05"	136	1122215	12.1
	"45-54 years"	"45-54"	"California"	"06"	1336	15429959	8.7
	"45-54 years"	"45-54"	"Colorado"	"08"	304	2143027	14.2
	"45-54 years"	"45-54"	"Connecticut"	"09"	671	1531418	43.8
	"45-54 years"	"45-54"	"Delaware"	"10"	168	375710	44.7
	"45-54 years"	"45-54"	"District of Columbia"	"11"	175	229189	76.4
	"45-54 years"	"45-54"	"Florida"	"12"	1871	8270517	22.6
	"45-54 years"	"45-54"	"Georgia"	"13"	620	4247222	14.6
	"45-54 years"	"45-54"	"Hawaii"	"15"	34	523912	6.5
	"45-54 years"	"45-54"	"Idaho"	"16"	70	597906	11.7
	"45-54 years"	"45-54"	"Illinois"	"17"	1517	5035912	30.1
	"45-54 years"	"45-54"	"Indiana"	"18"	613	2560026	23.9
	"45-54 years"	"45-54"	"Iowa"	"19"	131	1141954	11.5
	"45-54 years"	"45-54"	"Kansas"	"20"	107	1035815	10.3
	"45-54 years"	"45-54"	"Kentucky"	"21"	761	1761756	43.2
	"45-54 years"	"45-54"	"Louisiana"	"22"	265	1734197	15.3
	"45-54 years"	"45-54"	"Maine"	"23"	215	557139	38.6
	"45-54 years"	"45-54"	"Maryland"	"24"	1470	2517650	58.4
	"45-54 years"	"45-54"	"Massachusetts"	"25"	1281	2827619	45.3
	"45-54 years"	"45-54"	"Michigan"	"26"	1279	3960646	32.3
	"45-54 years"	"45-54"	"Minnesota"	"27"	253	2130595	11.9
	"45-54 years"	"45-54"	"Mississippi"	"28"	134	1123628	11.9
	"45-54 years"	"45-54"	"Missouri"	"29"	545	2313331	23.6
	"45-54 years"	"45-54"	"Montana"	"30"	18	368699	Unreliable
	"45-54 years"	"45-54"	"Nebraska"	"31"	27	674817	4.0
	"45-54 years"	"45-54"	"Nevada"	"32"	314	1184449	26.5
	"45-54 years"	"45-54"	"New Hampshire"	"33"	271	587259	46.1
	"45-54 years"	"45-54"	"New Jersey"	"34"	1413	3811398	37.1
	"45-54 years"	"45-54"	"New Mexico"	"35"	221	738263	29.9
	"45-54 years"	"45-54"	"New York"	"36"	2131	7918468	26.9
	"45-54 years"	"45-54"	"North Carolina"	"37"	1107	4149099	26.7
	"45-54 years"	"45-54"	"North Dakota"	"38"	17	247854	Unreliable
	"45-54 years"	"45-54"	"Ohio"	"39"	2312	4551981	50.8
	"45-54 years"	"45-54"	"Oklahoma"	"40"	262	1405692	18.6
	"45-54 years"	"45-54"	"Oregon"	"41"	191	1543698	12.4
	"45-54 years"	"45-54"	"Pennsylvania"	"42"	1458	5087061	28.7
	"45-54 years"	"45-54"	"Rhode Island"	"44"	194	429527	45.2
	"45-54 years"	"45-54"	"South Carolina"	"45"	537	1948879	27.6
	"45-54 years"	"45-54"	"South Dakota"	"46"	18	298810	Unreliable
	"45-54 years"	"45-54"	"Tennessee"	"47"	940	2668813	35.2
	"45-54 years"	"45-54"	"Texas"	"48"	885	10617835	8.3
	"45-54 years"	"45-54"	"Utah"	"49"	274	953765	28.7
	"45-54 years"	"45-54"	"Vermont"	"50"	68	250656	27.1
	"45-54 years"	"45-54"	"Virginia"	"51"	742	3436771	21.6
	"45-54 years"	"45-54"	"Washington"	"53"	472	2826136	16.7
	"45-54 years"	"45-54"	"West Virginia"	"54"	538	716517	75.1
	"45-54 years"	"45-54"	"Wisconsin"	"55"	520	2277781	22.8
