"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2009"	"2009"	"5-14 years"	"5-14"	26	40843063	0.1
	"2009"	"2009"	"15-24 years"	"15-24"	2287	43576932	5.2
	"2009"	"2009"	"25-34 years"	"25-34"	4474	40723342	11.0
	"2009"	"2009"	"35-44 years"	"35-44"	4881	41487811	11.8
	"2009"	"2009"	"45-54 years"	"45-54"	6308	44867088	14.1
	"2009"	"2009"	"55-64 years"	"55-64"	2656	35405600	7.5
	"2009"	"2009"	"65-74 years"	"65-74"	450	21233099	2.1
	"2009"	"2009"	"75-84 years"	"75-84"	142	13022775	1.1
	"2009"	"2009"	"85+ years"	"85+"	48	5367301	0.9
	"2009"	"2009"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"2009"	"2009"			21311	306771529	6.9
	"2010"	"2010"	"< 1 year"	"1"	14	3944153	Unreliable
	"2010"	"2010"	"1-4 years"	"1-4"	27	16257209	0.2
	"2010"	"2010"	"5-14 years"	"5-14"	43	41025851	0.1
	"2010"	"2010"	"15-24 years"	"15-24"	2441	43626342	5.6
	"2010"	"2010"	"25-34 years"	"25-34"	4805	41063948	11.7
	"2010"	"2010"	"35-44 years"	"35-44"	4935	41070606	12.0
	"2010"	"2010"	"45-54 years"	"45-54"	6256	45006716	13.9
	"2010"	"2010"	"55-64 years"	"55-64"	2911	36482729	8.0
	"2010"	"2010"	"65-74 years"	"65-74"	425	21713429	2.0
	"2010"	"2010"	"75-84 years"	"75-84"	118	13061122	0.9
	"2010"	"2010"	"85+ years"	"85+"	81	5493433	1.5
	"2010"	"2010"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
"Total"	"2010"	"2010"			22057	308745538	7.1
	"2011"	"2011"	"< 1 year"	"1"	13	3996537	Unreliable
	"2011"	"2011"	"1-4 years"	"1-4"	32	16165521	0.2
	"2011"	"2011"	"5-14 years"	"5-14"	28	41039048	0.1
	"2011"	"2011"	"15-24 years"	"15-24"	2600	43797875	5.9
	"2011"	"2011"	"25-34 years"	"25-34"	5431	41790498	13.0
	"2011"	"2011"	"35-44 years"	"35-44"	5234	40627954	12.9
	"2011"	"2011"	"45-54 years"	"45-54"	6555	44718203	14.7
	"2011"	"2011"	"55-64 years"	"55-64"	3168	38062140	8.3
	"2011"	"2011"	"65-74 years"	"65-74"	515	22481738	2.3
	"2011"	"2011"	"75-84 years"	"75-84"	123	13175230	0.9
	"2011"	"2011"	"85+ years"	"85+"	54	5737173	0.9
	"2011"	"2011"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
"Total"	"2011"	"2011"			23757	311591917	7.6
	"2012"	"2012"	"< 1 year"	"1"	19	3943077	Unreliable
	"2012"	"2012"	"1-4 years"	"1-4"	27	16056267	0.2
	"2012"	"2012"	"5-14 years"	"5-14"	23	41144754	0.1
	"2012"	"2012"	"15-24 years"	"15-24"	2383	43943905	5.4
	"2012"	"2012"	"25-34 years"	"25-34"	5542	42309321	13.1
	"2012"	"2012"	"35-44 years"	"35-44"	5274	40516420	13.0
	"2012"	"2012"	"45-54 years"	"45-54"	6585	44268738	14.9
	"2012"	"2012"	"55-64 years"	"55-64"	3439	38586202	8.9
	"2012"	"2012"	"65-74 years"	"65-74"	604	23985392	2.5
	"2012"	"2012"	"75-84 years"	"75-84"	147	13272634	1.1
	"2012"	"2012"	"85+ years"	"85+"	62	5887330	1.1
	"2012"	"2012"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"2012"	"2012"			24107	313914040	7.7
	"2013"	"2013"	"< 1 year"	"1"	10	3941783	Unreliable
	"2013"	"2013"	"1-4 years"	"1-4"	31	15926305	0.2
	"2013"	"2013"	"5-14 years"	"5-14"	21	41221035	0.1
	"2013"	"2013"	"15-24 years"	"15-24"	2523	43954402	5.7
	"2013"	"2013"	"25-34 years"	"25-34"	6031	42844587	14.1
	"2013"	"2013"	"35-44 years"	"35-44"	5567	40452690	13.8
	"2013"	"2013"	"45-54 years"	"45-54"	6761	43767532	15.4
	"2013"	"2013"	"55-64 years"	"55-64"	4120	39316431	10.5
	"2013"	"2013"	"65-74 years"	"65-74"	744	25216766	3.0
	"2013"	"2013"	"75-84 years"	"75-84"	135	13446519	1.0
	"2013"	"2013"	"85+ years"	"85+"	77	6040789	1.3
	"2013"	"2013"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
"Total"	"2013"	"2013"			26023	316128839	8.2
	"2014"	"2014"	"< 1 year"	"1"	9	3948350	Unreliable
	"2014"	"2014"	"1-4 years"	"1-4"	35	15928533	0.2
	"2014"	"2014"	"5-14 years"	"5-14"	23	41191072	0.1
	"2014"	"2014"	"15-24 years"	"15-24"	2749	43979821	6.3
	"2014"	"2014"	"25-34 years"	"25-34"	7171	43516504	16.5
	"2014"	"2014"	"35-44 years"	"35-44"	6528	40513133	16.1
	"2014"	"2014"	"45-54 years"	"45-54"	7274	43458851	16.7
	"2014"	"2014"	"55-64 years"	"55-64"	4700	40077581	11.7
	"2014"	"2014"	"65-74 years"	"65-74"	921	26398290	3.5
	"2014"	"2014"	"75-84 years"	"75-84"	159	13682690	1.2
	"2014"	"2014"	"85+ years"	"85+"	79	6162231	1.3
	"2014"	"2014"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"2014"	"2014"			29650	318857056	9.3
	"2015"	"2015"	"< 1 year"	"1"	16	3978038	Unreliable
	"2015"	"2015"	"1-4 years"	"1-4"	44	15929243	0.3
	"2015"	"2015"	"5-14 years"	"5-14"	29	41109506	0.1
	"2015"	"2015"	"15-24 years"	"15-24"	3147	43848216	7.2
	"2015"	"2015"	"25-34 years"	"25-34"	8719	44137202	19.8
	"2015"	"2015"	"35-44 years"	"35-44"	7655	40589783	18.9
	"2015"	"2015"	"45-54 years"	"45-54"	7858	43188161	18.2
	"2015"	"2015"	"55-64 years"	"55-64"	5363	40877819	13.1
	"2015"	"2015"	"65-74 years"	"65-74"	1061	27550517	3.9
	"2015"	"2015"	"75-84 years"	"75-84"	194	13923174	1.4
	"2015"	"2015"	"85+ years"	"85+"	74	6287161	1.2
	"2015"	"2015"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"2015"	"2015"			34162	321418820	10.6
	"2016"	"2016"	"< 1 year"	"1"	15	3970145	Unreliable
	"2016"	"2016"	"1-4 years"	"1-4"	39	15956892	0.2
	"2016"	"2016"	"5-14 years"	"5-14"	34	41048032	0.1
	"2016"	"2016"	"15-24 years"	"15-24"	4084	43511027	9.4
	"2016"	"2016"	"25-34 years"	"25-34"	11777	44677243	26.4
	"2016"	"2016"	"35-44 years"	"35-44"	9947	40470156	24.6
	"2016"	"2016"	"45-54 years"	"45-54"	9410	42786679	22.0
	"2016"	"2016"	"55-64 years"	"55-64"	6617	41463144	16.0
	"2016"	"2016"	"65-74 years"	"65-74"	1308	28630330	4.6
	"2016"	"2016"	"75-84 years"	"75-84"	191	14233534	1.3
	"2016"	"2016"	"85+ years"	"85+"	65	6380331	1.0
	"2016"	"2016"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
"Total"	"2016"	"2016"			43491	323127513	13.5
	"2017"	"2017"	"< 1 year"	"1"	19	3939295	Unreliable
	"2017"	"2017"	"1-4 years"	"1-4"	27	15999565	0.2
	"2017"	"2017"	"5-14 years"	"5-14"	34	41082692	0.1
	"2017"	"2017"	"15-24 years"	"15-24"	4151	43250295	9.6
	"2017"	"2017"	"25-34 years"	"25-34"	13389	45342672	29.5
	"2017"	"2017"	"35-44 years"	"35-44"	11385	40875370	27.9
	"2017"	"2017"	"45-54 years"	"45-54"	10490	42374952	24.8
	"2017"	"2017"	"55-64 years"	"55-64"	7473	41995658	17.8
	"2017"	"2017"	"65-74 years"	"65-74"	1550	29683446	5.2
	"2017"	"2017"	"75-84 years"	"75-84"	242	14706551	1.6
	"2017"	"2017"	"85+ years"	"85+"	88	6468682	1.4
	"2017"	"2017"	"Not Stated"	"NS"	13	Not Applicable	Not Applicable
"Total"	"2017"	"2017"			48861	325719178	15.0
"Total"					313048	3451599603	9.1
"---"
"Dataset: Multiple Cause of Death, 1999-2017"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics);"
"T40.6 (Other and unspecified narcotics)"
"Year/Month: 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: Year; Ten-Year Age Groups"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Jan 24, 2020 3:19:12 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Jan 24, 2020 3:19:12 PM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"4. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"5. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"6. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017"
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for"
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS"
"on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The"
"population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal"
"series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1 resident"
"population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"8. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
