"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Lorain County, OH"	"39093"	63	305147	20.6
	"Lucas County, OH"	"39095"	99	433689	22.8
	"Mahoning County, OH"	"39099"	59	231900	25.4
	"Marion County, OH"	"39101"	22	65355	33.7
	"Medina County, OH"	"39103"	34	176395	19.3
	"Montgomery County, OH"	"39113"	213	532258	40.0
	"Pike County, OH"	"39131"	10	28217	Unreliable
	"Portage County, OH"	"39133"	28	162275	17.3
	"Preble County, OH"	"39135"	12	41329	Unreliable
	"Richland County, OH"	"39139"	30	121707	24.6
	"Ross County, OH"	"39141"	38	77170	49.2
	"Sandusky County, OH"	"39143"	11	59679	Unreliable
	"Scioto County, OH"	"39145"	14	76825	Unreliable
	"Stark County, OH"	"39151"	66	375165	17.6
	"Summit County, OH"	"39153"	136	541968	25.1
	"Trumbull County, OH"	"39155"	85	203751	41.7
	"Warren County, OH"	"39165"	38	224469	16.9
	"Wayne County, OH"	"39169"	20	116063	17.2
	"Wood County, OH"	"39173"	19	129730	Unreliable
	"Cleveland County, OK"	"40027"	32	274458	11.7
	"Mayes County, OK"	"40097"	11	40887	Unreliable
	"Muskogee County, OK"	"40101"	20	69699	28.7
	"Oklahoma County, OK"	"40109"	70	776864	9.0
	"Pottawatomie County, OK"	"40125"	10	71875	Unreliable
	"Rogers County, OK"	"40131"	10	90802	Unreliable
	"Tulsa County, OK"	"40143"	81	639242	12.7
	"Wagoner County, OK"	"40145"	15	76559	Unreliable
	"Clackamas County, OR"	"41005"	26	401515	6.5
	"Douglas County, OR"	"41019"	14	107685	Unreliable
	"Jackson County, OR"	"41029"	19	212567	Unreliable
	"Lane County, OR"	"41039"	41	362895	11.3
	"Linn County, OR"	"41043"	10	120547	Unreliable
	"Marion County, OR"	"41047"	22	330700	6.7
	"Multnomah County, OR"	"41051"	88	790294	11.1
	"Washington County, OR"	"41067"	36	574326	6.3
	"Yamhill County, OR"	"41071"	10	102659	Unreliable
	"Allegheny County, PA"	"42003"	362	1230459	29.4
	"Armstrong County, PA"	"42005"	11	67052	Unreliable
	"Beaver County, PA"	"42007"	23	168871	13.6
	"Berks County, PA"	"42011"	28	415271	6.7
	"Blair County, PA"	"42013"	11	125593	Unreliable
	"Bucks County, PA"	"42017"	16	627367	Unreliable
	"Butler County, PA"	"42019"	42	186818	22.5
	"Cambria County, PA"	"42021"	30	136411	22.0
	"Chester County, PA"	"42029"	17	515939	Unreliable
	"Crawford County, PA"	"42039"	14	86484	Unreliable
	"Cumberland County, PA"	"42041"	21	246338	8.5
	"Dauphin County, PA"	"42043"	25	272983	9.2
	"Delaware County, PA"	"42045"	43	563894	7.6
	"Erie County, PA"	"42049"	36	278045	12.9
	"Fayette County, PA"	"42051"	41	133628	30.7
	"Franklin County, PA"	"42055"	18	153638	Unreliable
	"Indiana County, PA"	"42063"	19	86966	Unreliable
	"Lackawanna County, PA"	"42069"	43	211917	20.3
	"Lancaster County, PA"	"42071"	34	536624	6.3
	"Lawrence County, PA"	"42073"	28	88082	31.8
	"Lebanon County, PA"	"42075"	13	137067	Unreliable
	"Lehigh County, PA"	"42077"	16	360685	Unreliable
	"Luzerne County, PA"	"42079"	14	318449	Unreliable
	"Monroe County, PA"	"42089"	20	166397	12.0
	"Montgomery County, PA"	"42091"	100	819264	12.2
	"Northampton County, PA"	"42095"	48	300813	16.0
	"Philadelphia County, PA"	"42101"	31	1567442	2.0
	"Schuylkill County, PA"	"42107"	20	144590	13.8
	"Washington County, PA"	"42125"	56	208261	26.9
	"Wayne County, PA"	"42127"	14	51198	Unreliable
	"Westmoreland County, PA"	"42129"	13	357956	Unreliable
	"York County, PA"	"42133"	57	442867	12.9
	"Kent County, RI"	"44003"	40	164801	24.3
	"Providence County, RI"	"44007"	184	633473	29.0
	"Washington County, RI"	"44009"	19	126517	Unreliable
	"Aiken County, SC"	"45003"	30	165829	18.1
	"Anderson County, SC"	"45007"	34	194692	17.5
	"Berkeley County, SC"	"45015"	15	202786	Unreliable
	"Charleston County, SC"	"45019"	49	389262	12.6
	"Dorchester County, SC"	"45035"	26	152478	17.1
	"Florence County, SC"	"45041"	15	138900	Unreliable
	"Georgetown County, SC"	"45043"	11	61298	Unreliable
	"Greenville County, SC"	"45045"	78	491863	15.9
	"Horry County, SC"	"45051"	42	309199	13.6
	"Lexington County, SC"	"45063"	38	281833	13.5
	"Oconee County, SC"	"45073"	13	75713	Unreliable
	"Pickens County, SC"	"45077"	27	121691	22.2
	"Richland County, SC"	"45079"	35	407051	8.6
	"Spartanburg County, SC"	"45083"	51	297302	17.2
	"York County, SC"	"45091"	28	251195	11.1
	"Minnehaha County, SD"	"46099"	11	185197	Unreliable
	"Anderson County, TN"	"47001"	21	75749	27.7
	"Blount County, TN"	"47009"	20	127253	15.7
	"Bradley County, TN"	"47011"	11	104091	Unreliable
	"Campbell County, TN"	"47013"	17	39752	Unreliable
	"Carter County, TN"	"47019"	13	56486	Unreliable
	"Cheatham County, TN"	"47021"	15	39741	Unreliable
