Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee15t03.csv,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2015",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2015, Preliminary  NCJ 251780",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,
,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2015",,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,
,,,,,,,,,,
,,,Total justice system,,Police protection,,Judicial and legal,,Corrections,
State and type of government,Population 2015 thousands,Total direct expenditure/a,Amount,Percent of total direct expenditure/b,Amount,Percent of total justice system,Amount,Percent of total justice system,Amount,Percent of total justice system
Municipalities,-,9757754,1256441,12.9,1049209,83.5,153243,12.2,53989,4.3
,,,,,,,,,,
West Virginia,1840,17068849,949232,5.6,374575,39.5,234743,24.7,339914,35.8
State,-,11145025,543121,4.9,76847,14.1,176214,32.4,290060,53.4
"Local, total",-,5923824,406111,6.9,297728,73.3,58529,14.4,49854,12.3
Counties,-,888358,249626,28.1,148248,59.4,51524,20.6,49854,20
Municipalities,-,1312933,156485,11.9,149480,95.5,7005,4.5,0,0
,,,,,,,,,,
Wisconsin,5760,59350338,4016552,6.8,1833423,45.6,642971,16,1540158,38.3
State,-,29390202,1472620,5,121174,8.2,309737,21,1041709,70.7
"Local, total",-,29960136,2543932,8.5,1712249,67.3,333234,13.1,498449,19.6
Counties,-,6590127,1303754,19.8,544617,41.8,265666,20.4,493471,37.9
Municipalities,-,7864798,1198500,15.2,1133502,94.6,60020,5,4978,0.4
,,,,,,,,,,
Wyoming,586,9575342,559872,5.8,228744,40.9,117099,20.9,214029,38.2
State,-,4308877,262480,6.1,45605,17.4,70815,27,146060,55.6
"Local, total",-,5266465,297392,5.6,183139,61.6,46284,15.6,67969,22.9
Counties,-,1206219,172887,14.3,69593,40.3,35638,20.6,67656,39.1
Municipalities,-,961132,124505,13,113546,91.2,10646,8.6,313,0.3
"Notes: Local government data are estimates subject to variability. Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, regions, states, and Puerto Rico: April 1, 2010 to July 1, 2017 (NST-EST2017-01), December 2017.",,,,,,,,,,
"a/Total direct expenditures include outlays of states and all types of local governments including independent school districts and special districts , which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,
b/Justice system expenditure of independent school districts (primarily for special police forces) are not available.,,,,,,,,,,
