"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Ascension Parish, LA"	"22005"	21	124672	16.8
	"East Baton Rouge Parish, LA"	"22033"	32	440956	7.3
	"Jefferson Parish, LA"	"22051"	126	434051	29.0
	"Livingston Parish, LA"	"22063"	17	139567	Unreliable
	"Orleans Parish, LA"	"22071"	37	391006	9.5
	"Rapides Parish, LA"	"22079"	20	130562	15.3
	"St. Tammany Parish, LA"	"22103"	77	258111	29.8
	"Washington Parish, LA"	"22117"	27	46582	58.0
	"Androscoggin County, ME"	"23001"	25	107679	23.2
	"Cumberland County, ME"	"23005"	62	293557	21.1
	"Kennebec County, ME"	"23011"	37	122083	30.3
	"Oxford County, ME"	"23017"	12	57618	Unreliable
	"Penobscot County, ME"	"23019"	40	151096	26.5
	"Somerset County, ME"	"23025"	10	50592	Unreliable
	"Washington County, ME"	"23029"	12	31490	Unreliable
	"York County, ME"	"23031"	55	206229	26.7
	"Allegany County, MD"	"24001"	31	70975	43.7
	"Anne Arundel County, MD"	"24003"	241	576031	41.8
	"Baltimore County, MD"	"24005"	418	828431	50.5
	"Calvert County, MD"	"24009"	36	92003	39.1
	"Caroline County, MD"	"24011"	10	33304	Unreliable
	"Carroll County, MD"	"24013"	70	168429	41.6
	"Cecil County, MD"	"24015"	62	102826	60.3
	"Charles County, MD"	"24017"	28	161503	17.3
	"Frederick County, MD"	"24021"	76	255648	29.7
	"Harford County, MD"	"24025"	93	253956	36.6
	"Howard County, MD"	"24027"	40	323196	12.4
	"Montgomery County, MD"	"24031"	78	1052567	7.4
	"Prince George's County, MD"	"24033"	105	909308	11.5
	"Queen Anne's County, MD"	"24035"	23	50251	45.8
	"St. Mary's County, MD"	"24037"	29	112664	25.7
	"Talbot County, MD"	"24041"	12	36968	Unreliable
	"Washington County, MD"	"24043"	83	150926	55.0
	"Wicomico County, MD"	"24045"	26	103195	25.2
	"Worcester County, MD"	"24047"	14	51823	Unreliable
	"Baltimore city, MD"	"24510"	629	602495	104.4
	"Barnstable County, MA"	"25001"	70	213413	32.8
	"Berkshire County, MA"	"25003"	40	126348	31.7
	"Bristol County, MA"	"25005"	218	564022	38.7
	"Essex County, MA"	"25009"	273	790638	34.5
	"Franklin County, MA"	"25011"	21	70963	29.6
	"Hampden County, MA"	"25013"	207	470406	44.0
	"Hampshire County, MA"	"25015"	37	161355	22.9
	"Middlesex County, MA"	"25017"	321	1614714	19.9
	"Norfolk County, MA"	"25021"	171	705388	24.2
	"Plymouth County, MA"	"25023"	152	518132	29.3
	"Suffolk County, MA"	"25025"	213	807252	26.4
	"Worcester County, MA"	"25027"	282	830839	33.9
	"Bay County, MI"	"26017"	11	103923	Unreliable
	"Berrien County, MI"	"26021"	27	154141	17.5
	"Calhoun County, MI"	"26025"	50	134487	37.2
	"Eaton County, MI"	"26045"	23	109826	20.9
	"Genesee County, MI"	"26049"	185	406892	45.5
	"Ingham County, MI"	"26065"	77	292735	26.3
	"Kalamazoo County, MI"	"26077"	42	264870	15.9
	"Kent County, MI"	"26081"	77	653786	11.8
	"Lapeer County, MI"	"26087"	14	88028	Unreliable
	"Lenawee County, MI"	"26091"	22	98266	22.4
	"Livingston County, MI"	"26093"	27	191224	14.1
	"Macomb County, MI"	"26099"	281	874759	32.1
	"Monroe County, MI"	"26115"	40	150439	26.6
	"Montcalm County, MI"	"26117"	12	63968	Unreliable
	"Muskegon County, MI"	"26121"	39	173588	22.5
	"Oakland County, MI"	"26125"	73	1259201	5.8
	"Ottawa County, MI"	"26139"	22	290494	7.6
	"Saginaw County, MI"	"26145"	29	190800	15.2
	"St. Clair County, MI"	"26147"	43	159337	27.0
	"Shiawassee County, MI"	"26155"	13	68192	Unreliable
	"Van Buren County, MI"	"26159"	11	75448	Unreliable
	"Washtenaw County, MI"	"26161"	74	370963	19.9
	"Wayne County, MI"	"26163"	685	1753893	39.1
	"Anoka County, MN"	"27003"	30	353813	8.5
	"Dakota County, MN"	"27037"	20	425423	4.7
	"Hennepin County, MN"	"27053"	130	1259428	10.3
	"Ramsey County, MN"	"27123"	27	550210	4.9
	"St. Louis County, MN"	"27137"	18	199754	Unreliable
	"Washington County, MN"	"27163"	10	259201	Unreliable
	"DeSoto County, MS"	"28033"	26	182001	14.3
	"Harrison County, MS"	"28047"	17	206650	Unreliable
	"Hinds County, MS"	"28049"	13	237085	Unreliable
	"Rankin County, MS"	"28121"	13	153902	Unreliable
	"Boone County, MO"	"29019"	24	180005	13.3
	"Buchanan County, MO"	"29021"	10	88571	Unreliable
	"Butler County, MO"	"29023"	10	42639	Unreliable
	"Clay County, MO"	"29047"	20	246365	8.1
	"Franklin County, MO"	"29071"	32	103670	30.9
	"Greene County, MO"	"29077"	49	291923	16.8
	"Jackson County, MO"	"29095"	68	700307	9.7
	"Jefferson County, MO"	"29099"	109	224347	48.6
	"Lincoln County, MO"	"29113"	17	57686	Unreliable
	"Pulaski County, MO"	"29169"	10	52014	Unreliable
	"St. Charles County, MO"	"29183"	110	399182	27.6
	"St. Louis County, MO"	"29189"	341	996945	34.2
	"Warren County, MO"	"29219"	11	34711	Unreliable
	"St. Louis city, MO"	"29510"	217	302838	71.7
	"Missoula County, MT"	"30063"	12	118791	Unreliable
	"Yellowstone County, MT"	"30111"	14	160137	Unreliable
	"Douglas County, NE"	"31055"	28	566880	4.9
	"Lancaster County, NE"	"31109"	11	317272	Unreliable
	"Sarpy County, NE"	"31153"	11	184459	Unreliable
	"Clark County, NV"	"32003"	286	2231647	12.8
	"Lyon County, NV"	"32019"	14	55808	Unreliable
	"Washoe County, NV"	"32031"	59	465735	12.7
	"Carson City, NV"	"32510"	11	55414	Unreliable
	"Belknap County, NH"	"33001"	26	61022	42.6
	"Carroll County, NH"	"33003"	10	48779	Unreliable
	"Cheshire County, NH"	"33005"	30	76493	39.2
	"Grafton County, NH"	"33009"	12	89786	Unreliable
	"Hillsborough County, NH"	"33011"	151	415247	36.4
	"Merrimack County, NH"	"33013"	46	151132	30.4
	"Rockingham County, NH"	"33015"	85	309176	27.5
	"Strafford County, NH"	"33017"	45	130090	34.6
	"Atlantic County, NJ"	"34001"	136	265429	51.2
	"Bergen County, NJ"	"34003"	124	936692	13.2
	"Burlington County, NJ"	"34005"	162	445384	36.4
	"Camden County, NJ"	"34007"	257	507078	50.7
	"Cape May County, NJ"	"34009"	46	92560	49.7
	"Cumberland County, NJ"	"34011"	98	150972	64.9
	"Essex County, NJ"	"34013"	257	799767	32.1
	"Gloucester County, NJ"	"34015"	146	291408	50.1
	"Hudson County, NJ"	"34017"	141	676061	20.9
	"Hunterdon County, NJ"	"34019"	13	124714	Unreliable
	"Mercer County, NJ"	"34021"	119	369811	32.2
	"Middlesex County, NJ"	"34023"	185	829685	22.3
	"Monmouth County, NJ"	"34025"	199	621354	32.0
	"Morris County, NJ"	"34027"	88	494228	17.8
	"Ocean County, NJ"	"34029"	220	601651	36.6
	"Passaic County, NJ"	"34031"	132	503310	26.2
	"Salem County, NJ"	"34033"	43	62607	68.7
	"Somerset County, NJ"	"34035"	44	331164	13.3
	"Sussex County, NJ"	"34037"	40	140799	28.4
	"Union County, NJ"	"34039"	132	558067	23.7
	"Warren County, NJ"	"34041"	36	105779	34.0
	"Bernalillo County, NM"	"35001"	144	678701	21.2
	"Dona Ana County, NM"	"35013"	23	217522	10.6
	"Eddy County, NM"	"35015"	11	57900	Unreliable
	"Rio Arriba County, NM"	"35039"	23	39006	59.0
	"Sandoval County, NM"	"35043"	21	145179	14.5
	"San Juan County, NM"	"35045"	10	125043	Unreliable
	"Santa Fe County, NM"	"35049"	30	150056	20.0
	"Valencia County, NM"	"35061"	21	76456	27.5
	"Albany County, NY"	"36001"	46	307117	15.0
	"Bronx County, NY"	"36005"	327	1432132	22.8
	"Broome County, NY"	"36007"	28	191659	14.6
	"Cayuga County, NY"	"36011"	12	77145	Unreliable
	"Chautauqua County, NY"	"36013"	21	127939	16.4
	"Delaware County, NY"	"36025"	13	44527	Unreliable
	"Dutchess County, NY"	"36027"	85	293718	28.9
	"Erie County, NY"	"36029"	170	919719	18.5
	"Genesee County, NY"	"36037"	17	57511	Unreliable
	"Greene County, NY"	"36039"	12	47491	Unreliable
	"Jefferson County, NY"	"36045"	10	111755	Unreliable
	"Kings County, NY"	"36047"	226	2582830	8.8
	"Livingston County, NY"	"36051"	15	63227	Unreliable
	"Madison County, NY"	"36053"	11	70795	Unreliable
	"Monroe County, NY"	"36055"	194	742474	26.1
	"Nassau County, NY"	"36059"	165	1358343	12.1
	"New York County, NY"	"36061"	215	1628701	13.2
	"Niagara County, NY"	"36063"	42	210433	20.0
	"Oneida County, NY"	"36065"	37	229577	16.1
	"Onondaga County, NY"	"36067"	81	461809	17.5
	"Ontario County, NY"	"36069"	16	109864	Unreliable
	"Orange County, NY"	"36071"	111	381951	29.1
	"Oswego County, NY"	"36075"	16	117898	Unreliable
	"Putnam County, NY"	"36079"	21	98892	21.2
	"Queens County, NY"	"36081"	195	2278906	8.6
	"Rensselaer County, NY"	"36083"	21	159442	13.2
	"Richmond County, NY"	"36085"	113	476179	23.7
	"Rockland County, NY"	"36087"	35	325695	10.7
	"Saratoga County, NY"	"36091"	24	230163	10.4
	"Schenectady County, NY"	"36093"	28	155350	18.0
	"Suffolk County, NY"	"36103"	354	1481093	23.9
	"Sullivan County, NY"	"36105"	34	75498	45.0
	"Tompkins County, NY"	"36109"	12	102793	Unreliable
	"Ulster County, NY"	"36111"	64	178599	35.8
	"Wayne County, NY"	"36117"	17	90064	Unreliable
	"Westchester County, NY"	"36119"	139	967612	14.4
	"Alamance County, NC"	"37001"	30	166436	18.0
	"Beaufort County, NC"	"37013"	12	47079	Unreliable
	"Brunswick County, NC"	"37019"	25	136744	18.3
	"Buncombe County, NC"	"37021"	73	259103	28.2
	"Burke County, NC"	"37023"	13	90382	Unreliable
	"Cabarrus County, NC"	"37025"	47	211342	22.2
	"Caldwell County, NC"	"37027"	15	82029	Unreliable
	"Carteret County, NC"	"37031"	20	69524	28.8
	"Catawba County, NC"	"37035"	20	158652	12.6
	"Craven County, NC"	"37049"	30	102912	29.2
	"Cumberland County, NC"	"37051"	75	332330	22.6
	"Dare County, NC"	"37055"	15	36501	Unreliable
	"Davidson County, NC"	"37057"	37	166614	22.2
	"Durham County, NC"	"37063"	36	316739	11.4
	"Edgecombe County, NC"	"37065"	10	52005	Unreliable
	"Forsyth County, NC"	"37067"	94	379099	24.8
	"Franklin County, NC"	"37069"	20	67560	29.6
	"Gaston County, NC"	"37071"	37	222846	16.6
	"Guilford County, NC"	"37081"	96	533670	18.0
	"Halifax County, NC"	"37083"	12	50574	Unreliable
	"Harnett County, NC"	"37085"	24	134214	17.9
	"Haywood County, NC"	"37087"	13	61971	Unreliable
	"Henderson County, NC"	"37089"	15	116748	Unreliable
	"Iredell County, NC"	"37097"	27	178435	15.1
	"Jackson County, NC"	"37099"	11	43327	Unreliable
	"Johnston County, NC"	"37101"	21	202675	10.4
	"Lee County, NC"	"37105"	10	61452	Unreliable
	"Lincoln County, NC"	"37109"	14	83770	Unreliable
	"Mecklenburg County, NC"	"37119"	170	1093901	15.5
	"Nash County, NC"	"37127"	22	94016	23.4
	"New Hanover County, NC"	"37129"	70	232274	30.1
	"Onslow County, NC"	"37133"	39	197683	19.7
	"Orange County, NC"	"37135"	22	146027	15.1
	"Pender County, NC"	"37141"	12	62162	Unreliable
	"Person County, NC"	"37145"	10	39507	Unreliable
	"Pitt County, NC"	"37147"	34	179914	18.9
	"Randolph County, NC"	"37151"	42	143351	29.3
	"Robeson County, NC"	"37155"	21	131831	15.9
	"Rockingham County, NC"	"37157"	26	90690	28.7
	"Rowan County, NC"	"37159"	37	141262	26.2
	"Sampson County, NC"	"37163"	11	63626	Unreliable
	"Stanly County, NC"	"37167"	22	62075	35.4
	"Stokes County, NC"	"37169"	14	45467	Unreliable
	"Surry County, NC"	"37171"	20	71948	27.8
	"Union County, NC"	"37179"	31	235908	13.1
	"Wake County, NC"	"37183"	104	1092305	9.5
	"Wayne County, NC"	"37191"	21	123248	17.0
	"Wilkes County, NC"	"37193"	15	68557	Unreliable
	"Yadkin County, NC"	"37197"	12	37543	Unreliable
	"Cass County, ND"	"38017"	11	181516	Unreliable
	"Adams County, OH"	"39001"	10	27724	Unreliable
	"Ashtabula County, OH"	"39007"	22	97493	22.6
	"Belmont County, OH"	"39013"	11	67505	Unreliable
	"Brown County, OH"	"39015"	24	43602	55.0
	"Butler County, OH"	"39017"	155	382378	40.5
	"Clark County, OH"	"39023"	64	134585	47.6
	"Clermont County, OH"	"39025"	71	205466	34.6
	"Clinton County, OH"	"39027"	12	42057	Unreliable
	"Crawford County, OH"	"39033"	14	41550	Unreliable
	"Cuyahoga County, OH"	"39035"	405	1243857	32.6
	"Darke County, OH"	"39037"	14	51323	Unreliable
	"Delaware County, OH"	"39041"	29	204826	14.2
	"Erie County, OH"	"39043"	21	74615	28.1
	"Fairfield County, OH"	"39045"	23	155782	14.8
	"Franklin County, OH"	"39049"	445	1310300	34.0
	"Gallia County, OH"	"39053"	14	29979	Unreliable
	"Greene County, OH"	"39057"	45	167995	26.8
	"Hamilton County, OH"	"39061"	339	816684	41.5
	"Hancock County, OH"	"39063"	22	75930	29.0
	"Hocking County, OH"	"39073"	10	28385	Unreliable
	"Huron County, OH"	"39077"	16	58504	Unreliable
	"Jefferson County, OH"	"39081"	15	65767	Unreliable
	"Lake County, OH"	"39085"	63	230514	27.3
	"Lawrence County, OH"	"39087"	27	59866	45.1
	"Licking County, OH"	"39089"	20	175769	11.4
	"Lorain County, OH"	"39093"	89	309461	28.8
	"Lucas County, OH"	"39095"	147	429899	34.2
	"Mahoning County, OH"	"39099"	86	229642	37.4
	"Marion County, OH"	"39101"	22	65256	33.7
	"Medina County, OH"	"39103"	35	179146	19.5
	"Meigs County, OH"	"39105"	14	23106	Unreliable
	"Miami County, OH"	"39109"	25	106222	23.5
	"Montgomery County, OH"	"39113"	250	532331	47.0
	"Muskingum County, OH"	"39119"	23	86183	26.7
	"Pickaway County, OH"	"39129"	14	58086	Unreliable
	"Pike County, OH"	"39131"	14	28067	Unreliable
	"Portage County, OH"	"39133"	27	162927	16.6
	"Preble County, OH"	"39135"	10	40997	Unreliable
	"Richland County, OH"	"39139"	47	121099	38.8
	"Ross County, OH"	"39141"	32	76931	41.6
	"Sandusky County, OH"	"39143"	14	58799	Unreliable
	"Scioto County, OH"	"39145"	41	75502	54.3
	"Stark County, OH"	"39151"	59	371574	15.9
	"Summit County, OH"	"39153"	105	541918	19.4
	"Trumbull County, OH"	"39155"	74	198627	37.3
	"Tuscarawas County, OH"	"39157"	12	92176	Unreliable
	"Warren County, OH"	"39165"	41	232173	17.7
	"Washington County, OH"	"39167"	13	60155	Unreliable
	"Wayne County, OH"	"39169"	14	115967	Unreliable
	"Wood County, OH"	"39173"	10	130696	Unreliable
	"Canadian County, OK"	"40017"	13	144447	Unreliable
	"Cleveland County, OK"	"40027"	19	281669	Unreliable
	"Oklahoma County, OK"	"40109"	60	792582	7.6
	"Pottawatomie County, OK"	"40125"	11	72679	Unreliable
	"Tulsa County, OK"	"40143"	62	648360	9.6
	"Wagoner County, OK"	"40145"	10	80110	Unreliable
	"Clackamas County, OR"	"41005"	25	416075	6.0
	"Clatsop County, OR"	"41007"	10	39764	Unreliable
	"Douglas County, OR"	"41019"	10	110283	Unreliable
	"Jackson County, OR"	"41029"	29	219564	13.2
	"Lane County, OR"	"41039"	39	379611	10.3
	"Marion County, OR"	"41047"	13	346868	Unreliable
	"Multnomah County, OR"	"41051"	122	811880	15.0
	"Washington County, OR"	"41067"	30	597695	5.0
	"Adams County, PA"	"42001"	11	102811	Unreliable
