,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,
,,,,,,
"2014 Alameda, California",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,363437.9907,942.7692544,16494.00854,5994549321,155.5004413
"Alameda, California",,12879,811.9517482,20329.61076,261825057,165.06663
Age group,<1,119,602.8368794,52082.05322,6197764.334,313.9698244
,17-Jan,133,40.06024096,24762.3221,3293388.839,9.919845902
,18-44,4629,757.6935605,16476.47344,76269595.54,124.8411782
,45-64,6067,1426.898219,20868.14034,126607007.5,297.7671229
,65-84,1931,973.6936319,25612.27387,49457300.85,249.3850797
,Missing,*,†,*,*,†
Sex,Male,7994,1026.607815,21034.32249,168148374,215.9399985
,Female,4883,604.7081289,19176.23569,93637558.88,115.9602561
,Missing,*,†,*,*,†
Payer,Medicare,3314,†,22786.66119,75514995.19,†
,Medicaid,6515,†,18227.21055,118750276.7,†
,Private insurance,2168,†,22997.24554,49858028.33,†
,Uninsured,498,†,14808.85314,7374808.866,†
,Other,384,†,26893.09354,10326947.92,†
,Missing,*,†,*,*,†
Type of stay,Neonatal/maternal,473,29.11306703,19895.99409,9410805.203,†
,Nonneonatal/nonmaternal,12406,763.5871238,20346.14314,252414251.8,†
Type of substance or substance-related condition,Alcohol,6511,410.4835649,21680.46862,141161531.2,88.99476047
,Cannabis,2093,131.9524038,15883.86432,33244928.01,20.95914079
,Drug-induced mental disorders,792,49.9313444,24476.87054,19385681.47,12.22163053
,Hallucinogens,55,3.467454472,16030.86616,881697.639,0.555862986
,Opioids,2067,130.3132435,21482.20373,44403715.12,27.99415647
,Other drug abuse,1741,109.7606952,17489.68876,30449548.13,19.19680397
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",416,26.22656474,17591.45155,7318043.844,4.613633428
,Stimulants,3456,217.8822301,17052.38588,58933045.6,37.15411864
,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,
,,,,,,
"2014 Amador, California",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,363437.9907,942.7692544,16494.00854,5994549321,155.5004413
"Amador, California",,443,1207.051579,19610.22391,8687329.192,236.7055173
Age group,<1,*,*,*,*,*
,17-Jan,*,*,*,*,*
,18-44,103,1017.585457,17254.80077,1777244.479,175.5823434
,45-64,218,1785.860572,19736.24778,4302502.015,352.4618674
,65-84,114,1344.656759,22100.12745,2519414.529,297.1708574
,Missing,*,†,*,*,†
Sex,Male,281,1431.701228,20703.78507,5817763.605,296.4163451
,Female,162,948.8110577,17713.36782,2869565.587,168.0663926
,Missing,*,†,*,*,†
Payer,Medicare,160,†,21606.48469,3457037.55,†
,Medicaid,157,†,20925.67844,3285331.514,†
,Private insurance,57,†,22660.91171,1291671.967,†
,Uninsured,*,†,*,*,†
,Other,59,†,8590.929989,506864.8694,†
,Missing,*,†,*,*,†
Type of stay,Neonatal/maternal,14,47.61904762,10016.61084,140232.5518,†
,Nonneonatal/nonmaternal,429,1459.183673,19923.30219,8547096.64,†
Type of substance or substance-related condition,Alcohol,205,558.5678864,20595.77752,4222134.392,115.0413992
,Cannabis,55,149.8596768,17106.90786,940879.9322,25.63635683
,Drug-induced mental disorders,20,54.49442794,20682.28307,413645.6614,11.27069184
,Hallucinogens,*,*,*,*,*
,Opioids,120,326.9665677,16502.65416,1980318.499,53.95816189
,Other drug abuse,49,133.5113485,19063.89231,934130.723,25.45245969
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",23,62.66859214,13141.96718,302265.2452,8.235885811
,Stimulants,78,212.528269,19153.28186,1493955.985,40.70613839
,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,
,,,,,,
"2014 Butte, California",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,363437.9907,942.7692544,16494.00854,5994549321,155.5004413
"Butte, California",,5159,2306.657069,14337.97727,73969624.72,330.7279661
Age group,<1,47,1916.021199,6333.107526,297656.0537,121.3436827
,17-Jan,39,89.35322015,8346.077665,325497.0289,7.45748915
,18-44,1404,1664.966914,11467.43673,16100281.17,190.9290274
,45-64,2619,4704.677732,15367.20224,40246702.68,722.977342
,65-84,1050,2795.303889,16189.98838,16999487.79,452.5593748
,Missing,*,†,*,*,†
Sex,Male,2776,2506.252088,15245.35885,42321116.18,382.0871245
,Female,2383,2110.829628,13280.95197,31648508.55,280.3382691
,Missing,*,†,*,*,†
Payer,Medicare,2049,†,14771.42419,30266648.16,†
,Medicaid,2385,†,14060.58584,33534497.23,†
,Private insurance,517,†,14323.43693,7405216.891,†
,Uninsured,117,†,10344.02791,1210251.265,†
,Other,90,†,16378.36897,1474053.208,†
,Missing,*,†,*,*,†
Type of stay,Neonatal/maternal,118,49.26931106,7134.155517,841830.351,†
,Nonneonatal/nonmaternal,5041,2104.80167,14506.60472,73127794.37,†
Type of substance or substance-related condition,Alcohol,2073,926.8656917,16191.46212,33564900.97,150.0731074
,Cannabis,588,262.9025696,15004.4102,8822593.197,39.44697996
,Drug-induced mental disorders,124,55.44203848,18749.20172,2324901.014,10.39493963
,Hallucinogens,51,22.80277389,9405.434617,479677.1655,2.144699989
,Opioids,1483,663.0688957,14500.32014,21503974.77,96.14711265
,Other drug abuse,888,397.0365336,10862.47407,9645876.97,43.1279905
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",267,119.379228,10776.99837,2877458.564,12.86549745
,Stimulants,964,431.0171378,13181.97653,12707425.38,56.81657797
,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,
,,,,,,
"2014 Calaveras, California",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,363437.9907,942.7692544,16494.00854,5994549321,155.5004413
"Calaveras, California",,660,1481.681034,20389.2762,13456922.3,302.1040386
Age group,<1,*,*,*,*,*
,17-Jan,*,*,*,*,*
,18-44,131,1180.073867,15968.54527,2091879.431,188.4406297
,45-64,334,2206.36808,22300.26511,7448288.547,492.0259313
,65-84,188,1822.411788,20578.83652,3868821.266,375.0311425
,Missing,*,†,*,*,†
Sex,Male,368,1650.150217,21687.38601,7980958.051,357.8744474
,Female,292,1312.772558,18753.30221,5475964.244,246.188205
,Missing,*,†,*,*,†
Payer,Medicare,278,†,22068.91107,6135157.279,†
,Medicaid,240,†,19761.81335,4742835.203,†
,Private insurance,104,†,18244.49702,1897427.69,†
,Uninsured,15,†,20072.38844,301085.8265,†
,Other,23,†,16539.83899,380416.2968,†
,Missing,*,†,*,*,†
Type of stay,Neonatal/maternal,14,41.79104478,9976.52074,139671.2904,†
,Nonneonatal/nonmaternal,646,1928.358209,20614.93964,13317251,†
Type of substance or substance-related condition,Alcohol,288,646.5517241,22530.67092,6488833.224,145.6724413
,Cannabis,127,285.1113506,17843.8113,2266164.035,50.87473138
,Drug-induced mental disorders,37,83.06393678,27014.75423,999545.9066,22.43951838
,Hallucinogens,*,*,*,*,*
,Opioids,216,484.9137931,19580.94958,4229485.109,94.95072534
,Other drug abuse,98,220.0071839,16730.35735,1639575.021,36.80798807
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",34,76.32902299,19012.92374,646439.4071,14.51237893
,Stimulants,79,177.3527299,19276.78746,1522866.21,34.1879088
,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,
,,,,,,
"2014 Colusa, California",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,363437.9907,942.7692544,16494.00854,5994549321,155.5004413
"Colusa, California",,190,879.1412178,21618.67522,4107548.292,190.0586846
Age group,<1,*,*,*,*,*
,17-Jan,*,*,*,*,*
,18-44,60,806.1265619,14619.20223,877152.134,117.8492723
,45-64,89,1731.51751,26282.72833,2339162.821,455.090043
,65-84,40,1442.481067,22204.9942,888199.768,320.3028374
,Missing,*,†,*,*,†
Sex,Male,116,1045.139202,26233.65573,3043104.065,274.1782201
,Female,74,703.8904214,14384.38145,1064444.228,101.2502832
,Missing,*,†,*,*,†
Payer,Medicare,83,†,26215.09132,2175852.579,†
,Private insurance,45,†,17079.8736,768594.3122,†
,Uninsured,*,†,*,*,†
,Other,*,†,*,*,†
,Missing,*,†,*,*,†
Type of stay,Neonatal/maternal,12,41.95804196,9989.75783,119877.094,†
,Nonneonatal/nonmaternal,178,622.3776224,22402.64718,3987671.198,†
Type of substance or substance-related condition,Alcohol,117,541.3659078,25062.1242,2932268.531,135.6777962
,Cannabis,17,78.6600037,22076.94295,375308.0302,17.36572414
,Drug-induced mental disorders,*,*,*,*,*
,Hallucinogens,*,*,*,*,*
,Opioids,34,157.3200074,16992.30835,577738.484,26.73230076
,Other drug abuse,22,101.7952989,19099.10623,420180.3371,19.44199228
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",*,*,*,*,*
,Stimulants,26,120.3035351,15695.24939,408076.4841,18.88193985
,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,
,,,,,,
"2014 Contra Costa, California",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,363437.9907,942.7692544,16494.00854,5994549321,155.5004413
"Contra Costa, California",,9525,873.6800781,24229.37625,230784808.8,211.6872333
Age group,<1,91,680.0687542,36770.6086,3346125.383,250.0654198
,17-Jan,72,29.35181411,32475.54736,2338239.41,9.53216229
,18-44,2931,785.4476462,19734.22985,57841027.69,155.0020438
,45-64,4513,1467.322567,25407.25735,114662952.4,372.8064207
,65-84,1918,1271.841119,27422.55677,52596463.88,348.771353
,Missing,*,†,*,*,†
Sex,Male,5730,1076.45862,25484.97859,146028927.3,274.3352488
,Female,3795,680.2111433,22333.5656,84755881.47,151.9154019
,Missing,*,†,*,*,†
Payer,Medicare,2928,†,25798.57566,75538229.54,†
,Medicaid,3862,†,23444.63362,90543175.04,†
,Private insurance,2006,†,23961.16829,48066103.58,†
,Uninsured,506,†,19519.79561,9877016.581,†
,Other,223,†,30315.17496,6760284.016,†
,Missing,*,†,*,*,†
Type of stay,Neonatal/maternal,521,43.02940205,15628.57499,8142487.571,†
,Nonneonatal/nonmaternal,9004,743.6405682,24727.04589,222642321.2,†
Type of substance or substance-related condition,Alcohol,4768,437.3445262,24834.78092,118412235.4,108.613555
,Cannabis,1778,163.0869479,19992.57962,35546806.56,32.6052879
,Drug-induced mental disorders,558,51.18251796,34318.52068,19149734.54,17.56508301
,Hallucinogens,27,2.47657345,15971.9564,431242.8229,0.395557232
,Opioids,1718,157.5834514,24632.11991,42317982,38.81614469
,Other drug abuse,967,88.69801948,21270.92413,20568983.63,18.86688843
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",327,29.99405622,18339.89714,5997146.366,5.500879061
,Stimulants,2630,241.236599,23234.54322,61106848.68,56.05022186
,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,
,,,,,,
"2014 Del Norte, California",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,363437.9907,942.7692544,16494.00854,5994549321,155.5004413
"Del Norte, California",,374,1323.800085,20126.53421,7527323.793,266.4350769
Age group,<1,*,*,*,*,*
,17-Jan,*,*,*,*,*
,18-44,120,1176.93213,17413.32538,2089599.045,204.9430213
,45-64,171,2186.700767,23056.1586,3942603.12,504.1691969
,65-84,76,1801.801802,18908.56208,1437050.718,340.6948123
,Missing,*,†,*,*,†
Sex,Male,225,1444.993899,22229.11607,5001551.116,321.209371
,Female,149,1174.9862,16951.49448,2525772.677,199.1777208
,Missing,*,†,*,*,†
Payer,Medicare,116,†,18390.77049,2133329.376,†
,Medicaid,172,†,19970.58751,3434941.052,†
,Private insurance,48,†,20484.21465,983242.3034,†
,Uninsured,14,†,19433.43298,272068.0617,†
,Other,24,†,29322.62497,703742.9993,†
,Missing,*,†,*,*,†
Type of stay,Neonatal/maternal,29,91.48264984,5499.920046,159497.6813,†
,Nonneonatal/nonmaternal,345,1088.328076,21356.01771,7367826.112,†
Type of substance or substance-related condition,Alcohol,202,714.9936288,24216.67719,4891768.792,173.147699
,Cannabis,74,261.9283591,14661.89668,1084980.354,38.40366538
,Drug-induced mental disorders,17,60.17273113,21368.87273,363270.8364,12.85823433
,Hallucinogens,*,*,*,*,*
,Opioids,51,180.5181934,21514.45217,1097237.061,38.83750037
,Other drug abuse,45,159.2807589,17922.99771,806534.8969,28.54788677
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",15,53.09358629,15167.83645,227517.5468,8.053148336
,Stimulants,69,244.230497,14771.00831,1019199.573,36.07530699
,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,
,,,,,,
"2014 El Dorado, California",,,,,,
"Stays for Alcohol and Other Drugs, All-Listed",,,,,,
,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $"
US Total,,3363014.89,1060.221233,11215.25804,37717079769,118.906547
State Total,,363437.9907,942.7692544,16494.00854,5994549321,155.5004413
"El Dorado, California",,1891,1043.074394,21610.83844,40866095.49,225.4171222
Age group,<1,21,1171.221417,9713.927689,203992.4815,113.7716015
,17-Jan,16,44.01408451,13718.28813,219492.6101,6.037978932
,18-44,490,929.332777,17167.04755,8411853.298,159.5389997
,45-64,876,1456.891964,23124.70387,20257240.59,336.9019524
,65-84,488,1610.986399,24126.05843,11773516.51,388.6675199
,Missing,*,†,*,*,†
Sex,Male,1052,1160.494644,23683.72065,24915274.12,274.8483097
,Female,839,925.6398941,19011.70605,15950821.37,175.9799357
,Missing,*,†,*,*,†
Payer,Medicare,707,†,22742.13366,16078688.5,†
,Medicaid,646,†,21099.31687,13630158.7,†
,Private insurance,402,†,20984.10821,8435611.5,†
,Uninsured,91,†,18066.69597,1644069.333,†
,Other,44,†,24396.99753,1073467.891,†
,Missing,*,†,*,*,†
Type of stay,Neonatal/maternal,99,64.32748538,8334.080116,825073.9314,†
,Nonneonatal/nonmaternal,1792,1164.392463,22344.32007,40041021.56,†
Type of substance or substance-related condition,Alcohol,965,532.2933847,23311.44621,22495545.59,124.0852861
,Cannabis,275,151.6898246,16084.18601,4423151.153,24.39807355
,Drug-induced mental disorders,107,59.02113177,25801.39392,2760749.15,15.22827471
,Hallucinogens,*,*,*,*,*
,Opioids,379,209.0561583,19767.57242,7491909.947,41.32532749
,Other drug abuse,293,161.6186132,18806.73837,5510374.344,30.39518974
,"Sedatives, hypnotics, anxiolytics, tranquilizers, barbiturates",84,46.33434644,16789.50891,1410318.748,7.779309223
,Stimulants,267,147.2770297,23242.72762,6205808.275,34.23119887
,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,
