"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2017"	"2017"	Suppressed	2529197	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2018"	"2018"	Suppressed	2507350	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2007"	"2007"	Suppressed	6946478	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2008"	"2008"	Suppressed	6889684	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	6862214	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2010"	"2010"	Suppressed	6838478	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2011"	"2011"	Suppressed	6772157	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2012"	"2012"	Suppressed	6741083	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2013"	"2013"	Suppressed	6696962	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2014"	"2014"	Suppressed	6645580	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2015"	"2015"	Suppressed	6587103	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2016"	"2016"	Suppressed	6554290	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2017"	"2017"	Suppressed	6515630	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2018"	"2018"	Suppressed	6448278	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2007"	"2007"	346	7611589	4.5
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2008"	"2008"	397	7657306	5.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2009"	"2009"	358	7700515	4.6
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2010"	"2010"	391	7711116	5.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2011"	"2011"	490	7676664	6.4
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2012"	"2012"	468	7669485	6.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2013"	"2013"	579	7612883	7.6
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2014"	"2014"	662	7593803	8.7
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2015"	"2015"	826	7532477	11.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2016"	"2016"	1051	7460550	14.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2017"	"2017"	1046	7385135	14.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2018"	"2018"	876	7223065	12.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2007"	"2007"	697	6816668	10.2
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2008"	"2008"	677	6891044	9.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2009"	"2009"	686	6973342	9.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2010"	"2010"	710	7031455	10.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2011"	"2011"	984	7173431	13.7
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2012"	"2012"	1130	7293447	15.5
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2013"	"2013"	1372	7417576	18.5
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2014"	"2014"	1654	7524965	22.0
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2015"	"2015"	2269	7607293	29.8
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2016"	"2016"	3296	7658312	43.0
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2017"	"2017"	3517	7754668	45.4
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2018"	"2018"	3632	7723778	47.0
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2007"	"2007"	857	7957825	10.8
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2008"	"2008"	805	7761815	10.4
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2009"	"2009"	717	7545365	9.5
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2010"	"2010"	782	7401343	10.6
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2011"	"2011"	879	7228812	12.2
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2012"	"2012"	959	7132560	13.4
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2013"	"2013"	1121	7040752	15.9
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2014"	"2014"	1355	6982308	19.4
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2015"	"2015"	1691	6926910	24.4
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2016"	"2016"	2427	6833341	35.5
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2017"	"2017"	2776	6854713	40.5
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2018"	"2018"	3136	6835541	45.9
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2007"	"2007"	946	8321421	11.4
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2008"	"2008"	1067	8399562	12.7
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2009"	"2009"	883	8473908	10.4
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2010"	"2010"	947	8495812	11.1
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2011"	"2011"	1069	8434769	12.7
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2012"	"2012"	1186	8344657	14.2
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2013"	"2013"	1370	8229901	16.6
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2014"	"2014"	1478	8121407	18.2
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2015"	"2015"	1752	8013061	21.9
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2016"	"2016"	2364	7847596	30.1
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2017"	"2017"	2625	7702179	34.1
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2018"	"2018"	2713	7450770	36.4
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2007"	"2007"	304	6254198	4.9
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2008"	"2008"	343	6403734	5.4
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2009"	"2009"	357	6618978	5.4
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2010"	"2010"	379	6809904	5.6
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2011"	"2011"	500	7086279	7.1
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2012"	"2012"	537	7168417	7.5
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2013"	"2013"	735	7303144	10.1
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2014"	"2014"	786	7436753	10.6
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2015"	"2015"	1000	7569504	13.2
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2016"	"2016"	1419	7649361	18.6
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2017"	"2017"	1663	7736918	21.5
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2018"	"2018"	1840	7744872	23.8
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2007"	"2007"	35	3685547	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2008"	"2008"	50	3819109	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2009"	"2009"	51	3926431	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2010"	"2010"	56	3995808	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2011"	"2011"	53	4111231	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2012"	"2012"	72	4378485	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2013"	"2013"	110	4583968	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2014"	"2014"	126	4765579	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2015"	"2015"	160	4947995	3.2
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2016"	"2016"	226	5115772	4.4
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2017"	"2017"	293	5313017	5.5
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2018"	"2018"	366	5413155	6.8
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2007"	"2007"	20	2697547	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2008"	"2008"	17	2665571	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2009"	"2009"	16	2625697	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2010"	"2010"	27	2609323	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2011"	"2011"	13	2589436	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2012"	"2012"	20	2576171	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2013"	"2013"	24	2569873	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2014"	"2014"	20	2575253	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2015"	"2015"	14	2584362	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2016"	"2016"	38	2611243	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2017"	"2017"	24	2701777	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2018"	"2018"	49	2803104	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2007"	"2007"	Suppressed	1113132	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2008"	"2008"	Suppressed	1143314	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2009"	"2009"	Suppressed	1175876	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2010"	"2010"	10	1199702	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2011"	"2011"	Suppressed	1240159	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2012"	"2012"	13	1264790	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2013"	"2013"	12	1291980	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2014"	"2014"	12	1304362	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2015"	"2015"	12	1316747	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2016"	"2016"	13	1324577	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2017"	"2017"	19	1353903	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2018"	"2018"	13	1350758	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2007"	"2007"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2008"	"2008"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2009"	"2009"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2010"	"2010"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2011"	"2011"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2012"	"2012"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2013"	"2013"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2014"	"2014"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2007"	"2007"	Suppressed	886085	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2008"	"2008"	Suppressed	873505	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2009"	"2009"	Suppressed	854125	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2010"	"2010"	Suppressed	841754	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	840110	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2012"	"2012"	Suppressed	822767	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2013"	"2013"	Suppressed	825265	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2014"	"2014"	Suppressed	826985	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2015"	"2015"	Suppressed	832259	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	827208	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2017"	"2017"	Suppressed	819529	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2018"	"2018"	Suppressed	801327	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2007"	"2007"	Suppressed	3466390	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2008"	"2008"	11	3483223	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2009"	"2009"	Suppressed	3486465	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2010"	"2010"	Suppressed	3492963	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2011"	"2011"	Suppressed	3442995	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2012"	"2012"	10	3404975	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2013"	"2013"	Suppressed	3360909	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2014"	"2014"	Suppressed	3346135	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2015"	"2015"	Suppressed	3339660	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2016"	"2016"	10	3346140	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2017"	"2017"	Suppressed	3353354	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2018"	"2018"	Suppressed	3344522	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2007"	"2007"	11	9017087	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2008"	"2008"	Suppressed	8977967	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2009"	"2009"	Suppressed	8965870	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2010"	"2010"	Suppressed	8955115	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2011"	"2011"	Suppressed	8901783	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2012"	"2012"	Suppressed	8889994	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2013"	"2013"	Suppressed	8873176	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2014"	"2014"	Suppressed	8821412	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2015"	"2015"	Suppressed	8756191	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2016"	"2016"	Suppressed	8690369	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2017"	"2017"	12	8663943	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2018"	"2018"	Suppressed	8641137	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2007"	"2007"	458	9499761	4.8
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2008"	"2008"	489	9470731	5.2
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2009"	"2009"	500	9431517	5.3
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2010"	"2010"	564	9388704	6.0
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2011"	"2011"	572	9389842	6.1
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2012"	"2012"	594	9381334	6.3
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2013"	"2013"	651	9397943	6.9
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2014"	"2014"	704	9390167	7.5
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2015"	"2015"	797	9350978	8.5
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2016"	"2016"	1055	9275221	11.4
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2017"	"2017"	1098	9198742	11.9
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2018"	"2018"	912	9116648	10.0
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2007"	"2007"	693	8400622	8.2
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2008"	"2008"	941	8467181	11.1
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2009"	"2009"	996	8542477	11.7
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2010"	"2010"	1134	8591550	13.2
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2011"	"2011"	1293	8691066	14.9
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2012"	"2012"	1411	8737063	16.1
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2013"	"2013"	1543	8783881	17.6
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2014"	"2014"	1825	8832177	20.7
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2015"	"2015"	2207	8872228	24.9
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2016"	"2016"	3119	8939066	34.9
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2017"	"2017"	3589	9009942	39.8
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2018"	"2018"	3240	9078174	35.7
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2007"	"2007"	917	9151831	10.0
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2008"	"2008"	1053	8935688	11.8
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2009"	"2009"	1039	8712262	11.9
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2010"	"2010"	1105	8580334	12.9
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2011"	"2011"	1157	8430752	13.7
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2012"	"2012"	1242	8359624	14.9
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2013"	"2013"	1347	8328520	16.2
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2014"	"2014"	1669	8304074	20.1
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2015"	"2015"	1958	8284831	23.6
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2016"	"2016"	2650	8223699	32.2
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2017"	"2017"	3101	8265839	37.5
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2018"	"2018"	2921	8345707	35.0
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2007"	"2007"	1085	9903748	11.0
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2008"	"2008"	1164	9961331	11.7
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2009"	"2009"	1255	9985806	12.6
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2010"	"2010"	1345	9958385	13.5
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2011"	"2011"	1442	9812529	14.7
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2012"	"2012"	1454	9634711	15.1
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2013"	"2013"	1593	9435922	16.9
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2014"	"2014"	1711	9268400	18.5
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2015"	"2015"	1821	9113404	20.0
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2016"	"2016"	2332	8933348	26.1
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2017"	"2017"	2720	8756502	31.1
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2018"	"2018"	2287	8539672	26.8
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2007"	"2007"	319	7344803	4.3
