,Opioid-related disorders,1878.0570113397,245.4479172638,5.9552227137,11184.2477715711,1461.6970119219,15458.874238326,29032647.1507073,37.9434848504,
,Sedative-related disorders,186.8866321663,24.4246763291,5.5532982303,1037.837203684,135.6375118354,10528.4463763519,1967625.88521969,2.5715389499,
,Stimulant-related disorders,1358.2608573008,177.5144718784,4.8555194826,6595.062055121,861.9249766545,9167.3332074967,12451629.8615765,16.2733431286,
,Miscellaneous substances and addictive disorders,1004.9550321867,131.3400594895,4.6240263345,4646.9385338106,607.319893853,7487.5681236142,7524669.26466689,9.8341764279,
Type of mental disorder,Anxiety disorders,11584.544305683,1514.0127563282,5.070949172,58744.6353552081,7677.4817331401,12883.7567152082,149234755.913441,195.0385946814,
,Bipolar disorders,1506.5570536544,196.8956686755,5.7666747811,8687.8245675291,1135.4332870502,10815.7101623128,16294484.4353135,21.2956648461,
,Depressive disorders,13226.4696045778,1728.6000358853,5.0166415887,66352.4574903685,8671.7668302982,12604.7500985615,166716344.051923,217.885714727,
,"Disruptive, impulse-control, and conduct disorders",435.5397412517,56.9217663417,6.1368799233,2672.8550938772,349.3220450598,7277.3979527555,3169596.02132857,4.1424234584,
,Eating disorders,137.0491106151,17.9112873359,7.2921369466,999.3808830088,130.6115601426,10527.6342027274,1442802.90436448,1.8856348117,
,Obsessive-compulsive disorders,118.392973466,15.4730706152,5.8322158361,690.4933747362,90.2422874759,10434.5338796309,1235375.4927413,1.6145427956,
,Personality disorders,790.0504266762,103.2536449054,5.6189210714,4439.2309898901,580.1740810542,7460.5567183298,5894216.0185582,7.7032967419,
,Schizophrenia and related disorders,1226.0974501358,160.2417092139,7.9803179319,9784.6474675526,1278.7797854752,11995.5433588438,14707705.1252713,19.2218637077,
,Somatic symptom disorders,73.9694505103,9.6672504931,5.9791277603,442.2727949573,57.8017257885,12552.1003575243,928471.966195809,1.2134429837,
,Suicidal ideation or attempt,2525.920172836,330.1187567011,4.9874311874,12597.8530468042,1646.444582706,6730.8333204867,17001547.6642142,22.2197432732,
,Trauma- and stressor-related disorders,1894.3478382832,247.5770057417,6.1255117688,11603.8499776087,1516.5358623558,11855.0429645603,22457575.01267,29.3503604011,
,Miscellaneous mental disorders,1213.0592222637,158.5377109558,4.2662187887,5175.176045774,676.3565611901,6446.4794324549,7819961.32667286,10.2201009294,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Adams, North Dakota",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,24950.0183578897,3260.7796273813,5.3156176984,132624.759159398,17333.0578979942,13255.7630835193,330713326.789814,432.2174288736,
"Adams, North Dakota",,99,4147.465437788,5.8484848485,579,24256.3887725178,15730.5937634156,1557328.78257814,652.4209394965,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,45-64,37,5160.3905160391,5.9459459459,220,30683.4030683403,15878.8770421761,587518.450560516,819.412064938,
,65-84,43,6991.8699186992,5,215,34959.3495934959,13555.5664368322,582889.356783788,947.7875720062,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,45,3919.8606271777,5.2,234,20383.275261324,16376.8089489774,736956.402703984,641.9480859791,
,Female,54,4358.3535108959,6.3888888889,345,27845.0363196126,15192.0811087807,820372.37987416,662.1246003827,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,60,†,4.85,291,†,12804.2026819237,768252.160915424,†,
,Medicaid,*,†,*,*,†,*,*,†,
,Private insurance,26,†,8,208,†,22213.3417012974,577546.884233733,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,98,331.0810810811,5.887755102,577,1949.3243243243,15871.9212374961,1555448.28127462,†,
Type of substance use disorder,Alcohol-related disorders,18,754.0846250524,4.9444444444,89,3728.5295349811,9743.9321584486,175390.778852074,73.4774942824,
,Cannabis-related disorders,*,*,*,*,*,*,*,*,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,*,*,*,*,*,*,*,*,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,*,*,*,*,*,*,*,*,
Type of mental disorder,Anxiety disorders,50,2094.6795140344,5.54,277,11604.5245077503,14163.7781739733,708188.908698665,296.6857598235,
,Bipolar disorders,*,*,*,*,*,*,*,*,
,Depressive disorders,52,2178.4666945957,6.6346153846,345,14453.288646837,17547.6371317183,912477.130849351,382.269430603,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,*,*,*,*,*,*,*,*,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,*,*,*,*,*,*,*,*,
,Trauma- and stressor-related disorders,14,586.5102639296,7,98,4105.5718475073,13076.9953611927,183077.935056697,76.697920007,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Barnes, North Dakota",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,24950.0183578897,3260.7796273813,5.3156176984,132624.759159398,17333.0578979942,13255.7630835193,330713326.789814,432.2174288736,
"Barnes, North Dakota",,354,3235.831809872,5.9124293785,2093,19131.6270566727,14996.2606481877,5308676.26945847,485.2537723454,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,63,1805.1575931232,4.9523809524,312,8939.8280802292,10519.560528638,662732.313304194,189.8946456459,
,45-64,100,3404.834865509,6.38,638,21722.8464419475,19330.0067982668,1933000.67982668,658.1548109727,
,65-84,183,7877.7442961687,6.1202185792,1120,48213.5170038743,14691.624243855,2688567.23662547,1157.3685908848,
Sex,Male,130,2373.128879153,6.8,884,16137.2763782402,17607.6419686287,2288993.45592173,417.8520364954,
,Female,224,4101.0618820945,5.3973214286,1209,22134.7491761259,13480.7268461461,3019682.81353673,552.8529501166,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,198,†,6.1919191919,1226,†,14895.6803855152,2949344.71633202,†,
,Medicaid,41,†,6.512195122,267,†,14660.4790617433,601079.641531476,†,
,Private insurance,94,†,5.3723404255,505,†,15443.4372962625,1451683.10584868,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,16,139.1304347826,7.875,126,1095.652173913,9099.2091190996,145587.345905593,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,335,335.6713426854,5.8507462687,1960,1963.9278557114,15387.695994106,5154878.15802553,†,
Type of substance use disorder,Alcohol-related disorders,45,411.3345521024,7.9555555556,358,3272.39488117,21684.0068338941,975780.307525237,89.193812388,
,Cannabis-related disorders,*,*,*,*,*,*,*,*,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,17,155.3930530165,6,102,932.3583180987,17898.0761217585,304267.294069895,27.8123669168,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,11,100.5484460695,3.7272727273,41,374.7714808044,8446.3524372636,92909.8768098994,8.4926761252,
Type of mental disorder,Anxiety disorders,171,1563.071297989,5.2748538012,902,8244.9725776965,14431.9591484495,2467865.01438488,225.5818111869,
,Bipolar disorders,14,127.970749543,6.5714285714,92,840.9506398537,16832.667716499,235657.348030986,21.5408910449,
,Depressive disorders,187,1709.323583181,5.4010695187,1010,9232.1755027422,14366.8958540672,2686609.52471057,245.5767390046,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,17,155.3930530165,7.1764705882,122,1115.1736745887,13920.5474253381,236649.306230747,21.6315636408,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,*,*,*,*,*,*,*,*,
,Trauma- and stressor-related disorders,32,292.5045703839,8.9375,286,2614.2595978062,17923.8915775885,573564.530482834,52.4282020551,
,Miscellaneous mental disorders,18,164.5338208409,9.5555555556,172,1572.2120658135,12352.5282576203,222345.508637166,20.3240867127,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Benson, North Dakota",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,24950.0183578897,3260.7796273813,5.3156176984,132624.759159398,17333.0578979942,13255.7630835193,330713326.789814,432.2174288736,
"Benson, North Dakota",,298,4451.7478338811,4.9899328859,1487,22213.9229160442,11292.0241217085,3365023.18826915,502.6924392395,
Age group,<1,14,10370.3703703703,3,42,31111.1111111111,3610.3523156974,50544.9324197634,374.4069068131,
,1-17,15,717.3601147776,5,75,3586.8005738881,5686.4270937875,85296.406406812,40.7921599267,
,18-44,88,4286.4101315149,4.2727272727,376,18314.661471018,9311.3966256095,819402.903053634,399.1246483457,
,45-64,96,6286.836935167,4.8645833333,467,30582.8421741977,12452.5376348156,1195443.6129423,782.8707353912,
,65-84,85,9572.0720720721,6.2,527,59346.8468468468,14286.2980405487,1214335.33344664,1367.4947448723,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,128,3745.9760023412,5.2734375,675,19754.1703248463,13275.5141692452,1699265.81366338,497.2975749673,
,Female,170,5187.6716509002,4.7764705882,812,24778.7610619469,9798.5727917986,1665757.37460576,508.317782913,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,112,†,6,672,†,13168.8876191199,1474915.41334143,†,
,Medicaid,98,†,4.612244898,452,†,8500.5170818828,833050.674024513,†,
,Private insurance,65,†,4,260,†,11603.1490438162,754204.687848055,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,13,†,4.5384615385,59,†,12490.368832322,162374.794820186,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,14,128.4403669725,3,42,385.3211009174,3610.3523156974,50544.9324197634,†,
,Nonmaternal/nonneonatal hospitalization,274,328.9315726291,5.200729927,1425,1710.6842737095,11955.5612516315,3275823.78294703,†,
Type of substance use disorder,Alcohol-related disorders,87,1299.6713474754,5.4252873563,472,7051.0905288318,12901.539231591,1122433.91314841,167.6776087763,
,Cannabis-related disorders,19,283.8362712877,3.6842105263,70,1045.7125784284,8476.1908068139,161047.625329465,24.0585039333,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,28,418.2850313714,4.8928571429,137,2046.6089034957,10982.4903879942,307509.730863839,45.9381133648,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,22,328.6525246489,3.8181818182,84,1254.8550941141,7551.4083658018,166130.98404764,24.8178942408,
,Miscellaneous substances and addictive disorders,31,463.1012847326,3.7096774194,115,1717.9563788467,6415.2474105344,198872.669726566,29.709093177,
Type of mental disorder,Anxiety disorders,89,1329.5488497162,4.6853932584,417,6229.4592172094,10908.6403917813,970868.994868539,145.0357028486,
,Bipolar disorders,*,*,*,*,*,*,*,*,
,Depressive disorders,94,1404.2426053182,5.5106382979,518,7738.2730803705,13415.609442468,1261067.28759199,188.3877035542,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,*,*,*,*,*,*,*,*,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,12,179.2650134449,4.5833333333,55,821.6313116223,6127.7603492142,73533.1241905706,10.9849304139,
,Trauma- and stressor-related disorders,14,209.1425156857,5.2142857143,73,1090.5288317897,7635.8874103562,106902.423744986,15.9698870249,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Bottineau, North Dakota",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,24950.0183578897,3260.7796273813,5.3156176984,132624.759159398,17333.0578979942,13255.7630835193,330713326.789814,432.2174288736,
"Bottineau, North Dakota",,163,2391.0811207276,5.0122699387,817,11984.7440222971,13877.0452670129,2261958.37852311,331.8114094944,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,27,1382.4884792627,4.5555555556,123,6298.0030721966,9752.0139100694,263304.375571874,134.8204688028,
,45-64,45,2362.2047244094,4.8222222222,217,11391.0761154855,15140.1264626403,681305.690818817,357.6407825821,
,65-84,84,5668.016194332,5.1785714286,435,29352.2267206477,15283.2503572284,1283793.03000719,866.257105268,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,66,1847.1872376154,5.3484848485,353,9879.6529527008,13994.7026145111,923650.372557736,258.5083606375,
,Female,97,2990.1356350185,4.7835051546,464,14303.3292231812,13796.9897522203,1338308.00596537,412.548707141,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,88,†,5.2954545455,466,†,15421.597372115,1357100.56874612,†,
,Medicaid,23,†,5.1304347826,118,†,9201.5362613165,211635.334010279,†,
,Private insurance,45,†,4.5777777778,206,†,13205.0130571032,594225.587569646,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,157,359.2677345538,5.1401273885,807,1846.6819221968,14269.4953532447,2240310.77045941,†,
Type of substance use disorder,Alcohol-related disorders,27,396.0686518997,5.3333333333,144,2112.3661434649,12498.3106897412,337454.388623013,49.5018906591,
,Cannabis-related disorders,13,190.699721285,6,78,1144.1983277101,8926.2310684188,116041.003889443,17.0222977687,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,*,*,*,*,*,*,*,*,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,*,*,*,*,*,*,*,*,
Type of mental disorder,Anxiety disorders,81,1188.205955699,5.1728395062,419,6146.3987091096,14256.0561431454,1154740.54759477,169.3913081406,
,Bipolar disorders,13,190.699721285,5.3076923077,69,1012.1754437436,10018.7333516816,130243.533571861,19.1056965779,
,Depressive disorders,97,1422.9133049729,4.9072164948,476,6982.5436408978,13164.6688980495,1276972.8831108,187.321825306,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,*,*,*,*,*,*,*,*,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,15,220.0381399443,5.6,84,1232.2135836878,10475.3277148364,157129.915722547,23.0497162568,
,Trauma- and stressor-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Burleigh, North Dakota",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,24950.0183578897,3260.7796273813,5.3156176984,132624.759159398,17333.0578979942,13255.7630835193,330713326.789814,432.2174288736,
"Burleigh, North Dakota",,3280,3511.8525021949,5.2771341463,17309,18532.5167562474,12015.6921688733,39411470.3139045,421.9733860886,
Age group,<1,28,2302.6315789474,5.4642857143,153,12582.2368421052,6035.7233826004,169000.25471281,138.9804726257,
,1-17,139,691.8865107018,5.964028777,829,4126.431060229,7129.5030908347,991000.92962602,49.3280701656,
