,Opioid-related disorders,25305.4960251477,382.5008067827,5.3488295026,135354.783718322,2045.9316001041,8153.5117686935,206304199.118361,31.1835510069,
,Sedative-related disorders,6003.5494778906,90.7456039025,5.4315531286,32608.5979491894,492.8895687808,5912.1168448777,35493685.9972938,5.3649861343,
,Stimulant-related disorders,9968.6190315039,150.6789204318,5.1401523904,51240.2209437237,774.5126130396,7313.4316534747,72890187.1031242,11.017588964,
,Miscellaneous substances and addictive disorders,13344.5579278825,201.7073353749,4.9574096383,66154.4400911436,999.9458885127,6769.6068679795,90323871.7850088,13.6527471325,
Type of mental disorder,Anxiety disorders,102367.583583859,1547.3193360965,5.163710626,528596.579112746,7989.9092976596,8554.7696068945,875593906.35222,132.3488681119,
,Bipolar disorders,24986.4055324218,377.6776501537,5.7702315975,144177.346711592,2179.2875105934,7426.9943663528,185556984.786618,28.0475420496,
,Depressive disorders,101225.985358039,1530.0637074392,5.4632977628,553022.23605011,8359.1110503324,8562.6561999835,866570139.001349,130.9848963136,
,"Disruptive, impulse-control, and conduct disorders",1947.9316371034,29.4436205482,7.8527382131,15296.5972032522,231.2130442122,6899.7792620567,13440298.3135899,2.0315448246,
,Eating disorders,696.9147067327,10.534092567,6.7114949308,4677.3395214027,70.6995088638,7244.1574085994,5048559.83593933,0.7631062471,
,Obsessive-compulsive disorders,958.532377133,14.4885287851,6.5853534871,6312.274532221,95.4120835572,7124.5147893754,6829078.09697915,1.0322373761,
,Personality disorders,4298.2691955815,64.9697375402,6.7857531928,29166.9939173539,440.8686039478,5033.2404881785,21634222.5442912,3.2700831349,
,Schizophrenia and related disorders,14549.0356216565,219.9134076512,8.1268551873,118237.905611595,1787.2044177198,7881.9042595135,114666223.933889,17.3321728694,
,Somatic symptom disorders,1920.4242982115,29.0278381701,4.9636077468,9532.2329236813,144.0828024128,7909.5311150239,15189655.740752,2.2959658921,
,Suicidal ideation or attempt,10239.756152162,154.7772462381,5.7530042682,58909.3608485241,890.4341582249,5907.4817801242,60477757.5345343,9.1414098449,
,Trauma- and stressor-related disorders,12465.1996239736,188.4155484698,6.2260639211,77609.1296475584,1173.0872484932,7621.2977663836,94993376.7539501,14.3585580031,
,Miscellaneous mental disorders,6606.0002164636,99.8518428524,4.1871530144,27660.3337195516,418.0949447936,4692.0972101621,30991303.0887884,4.684436307,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Bledsoe, Tennessee",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,230247.130785019,3480.2603038153,5.5238973516,1271855.99206344,19224.5171796775,8947.8111380044,2059756741.77554,311.3389339305,
"Bledsoe, Tennessee",,331,2945.6260567767,5.0181268882,1661,14781.5253181454,9807.4760582718,3246274.57528796,288.8915702846,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,45-64,126,3800.9049773756,4.8015873016,605,18250.3770739064,11273.7618934414,1420493.99857362,428.5049769453,
,65-84,113,5664.1604010025,4.610619469,521,26115.2882205513,8487.3823303965,959074.203334803,480.73894904,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,158,2452.6544551381,5.5949367089,884,13722.4464452033,10669.1316638475,1685722.80288791,261.6769330779,
,Female,173,3607.9249217935,4.4913294798,777,16204.3795620438,9020.5304763009,1560551.77240005,325.4539671324,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,159,†,4.6729559748,743,†,8767.1292127818,1393973.54483231,†,
,Medicaid,80,†,5.9,472,†,9237.4883674088,738999.069392707,†,
,Private insurance,55,†,4.5454545455,250,†,13509.1973836697,743005.856101834,†,
,Uninsured,25,†,3.64,91,†,7489.5029490204,187237.573725509,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,19,204.3010752688,2.5263157895,48,516.1290322581,2456.1556349729,46666.9570644847,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,310,282.8467153285,5.1483870968,1596,1456.204379562,10264.5346771239,3182005.74990842,†,
Type of substance use disorder,Alcohol-related disorders,39,347.0677227018,6.1538461538,240,2135.8013704725,11836.6562235001,461629.592716504,41.0812131989,
,Cannabis-related disorders,12,106.7900685236,4.9166666667,59,525.0511702412,13246.1384822737,158953.661787285,14.145560362,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,15,133.4875856545,4.6666666667,70,622.9420663878,11600.243722852,174003.65584278,15.4848852757,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,17,151.2859304085,5.6470588235,96,854.320548189,8919.0432026264,151623.734444648,13.4932574926,
Type of mental disorder,Anxiety disorders,153,1361.5733736762,4.4379084967,679,6042.5380439619,9075.7681322013,1388592.52422679,123.5732423446,
,Bipolar disorders,35,311.4710331939,4.9714285714,174,1548.4559935926,8240.5735009155,288420.072532043,25.6669994244,
,Depressive disorders,128,1139.094064252,4.546875,582,5179.3183233959,9301.1049282821,1190541.43082011,105.9483341479,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,21,186.8826199163,7.380952381,155,1379.3717184302,8101.9787162243,170141.553040709,15.1411900899,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,11,97.8908961467,4.4545454545,49,436.0594464715,6533.5713914024,71869.2853054263,6.3957715854,
,Trauma- and stressor-related disorders,15,133.4875856545,7.4,111,987.8081338436,13281.8328110988,199227.492166482,17.7295979502,
,Miscellaneous mental disorders,16,142.3867580315,1.875,30,266.9751713091,2385.820100072,38173.1216011527,3.397091893,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Cannon, Tennessee",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,230247.130785019,3480.2603038153,5.5238973516,1271855.99206344,19224.5171796775,8947.8111380044,2059756741.77554,311.3389339305,
"Cannon, Tennessee",,656,5662.9834254144,5.2149390244,3421,29532.1132596685,9035.0948467061,5927022.21943917,511.6559236394,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,137,3749.3158182813,4.2408759124,581,15900.3831417624,7151.9307936377,979814.518728372,268.1484725584,
,45-64,242,7247.6789457922,5.0247933884,1216,36418.0892482779,9449.0836745101,2286678.24923144,684.8392480478,
,65-84,266,11981.9819819819,5.7105263158,1519,68423.4234234234,9742.6771085941,2591552.11088604,1167.3658157144,
Sex,Male,261,4579.7508334796,5.1724137931,1350,23688.3663800666,9797.4145696075,2557125.20266756,448.697175411,
,Female,395,6711.9796091759,5.2430379747,2071,35191.1639762107,8531.3848525864,3369897.01677161,572.6248116859,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,372,†,5.4731182796,2036,†,9351.8069098671,3478872.17047057,†,
,Medicaid,96,†,5.1666666667,496,†,7235.2705718806,694585.974900539,†,
,Private insurance,138,†,4.884057971,674,†,9108.9376982071,1257033.40235257,†,
,Uninsured,37,†,4.6216216216,171,†,10458.0001118312,386946.004137756,†,
,Other,11,†,3.7272727273,41,†,8591.2347769115,94503.582546027,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,17,140.4958677686,3.8823529412,66,545.4545454545,5122.1541489959,87076.6205329311,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,634,435.4395604396,5.1940063091,3293,2261.6758241758,9145.3705568671,5798164.93305375,†,
Type of substance use disorder,Alcohol-related disorders,75,647.4447513812,5.2666666667,395,3409.8756906077,10669.2338448709,800192.538365318,69.0773945412,
,Cannabis-related disorders,20,172.6519337017,4.1,82,707.8729281768,6457.0958383962,129141.916767923,11.148300826,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,73,630.179558011,4.5342465753,331,2857.3895027624,6402.7742749271,467402.52206968,40.3489746262,
,Sedative-related disorders,16,138.1215469613,3.9375,63,543.8535911602,4918.9195521515,78702.7128344232,6.7940877792,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,34,293.5082872928,4.0588235294,138,1191.2983425414,5637.3791739765,191670.891915199,16.5461750617,
Type of mental disorder,Anxiety disorders,336,2900.5524861878,4.7976190476,1612,13915.7458563535,8699.0610969474,2922884.52857431,252.3208329225,
,Bipolar disorders,56,483.4254143646,4.875,273,2356.6988950276,7310.2120977745,409371.877475373,35.3394231246,
,Depressive disorders,287,2477.5552486188,5.6167247387,1612,13915.7458563535,8940.2072317307,2565839.47550671,221.4985735071,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,13,112.2237569061,6.9230769231,90,776.9337016575,8218.5825470212,106841.573111275,9.2232020987,
,Schizophrenia and related disorders,43,371.2016574586,9.0697674419,390,3366.7127071823,10727.2920832004,461273.55957762,39.8198860133,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,33,284.8756906077,5.2121212121,172,1484.8066298343,5101.5201178391,168350.163888689,14.5329906672,
,Trauma- and stressor-related disorders,36,310.773480663,5.1111111111,184,1588.3977900552,5489.5334058511,197623.202610639,17.0600140375,
,Miscellaneous mental disorders,16,138.1215469613,6.0625,97,837.361878453,6688.3903311329,107014.245298126,9.2381081922,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Carter, Tennessee",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,230247.130785019,3480.2603038153,5.5238973516,1271855.99206344,19224.5171796775,8947.8111380044,2059756741.77554,311.3389339305,
"Carter, Tennessee",,2976,6705.8744000541,4.5829973118,13639,30733.0043489037,6257.4335022721,18622122.1027617,419.6156313293,
Age group,<1,38,8482.1428571428,9.4473684211,359,80133.9285714285,4603.0023044734,174914.08756999,390.433231183,
,1-17,86,1048.524750061,6.7441860465,580,7071.4459887832,4416.6383287906,379830.896275987,46.309545998,
,18-44,805,5911.727987075,3.6720496894,2956,21708.1589189983,4134.5386255385,3328303.59355849,244.4226770624,
,45-64,1110,8752.5626872733,4.3621621622,4842,38180.0977763759,6990.204049967,7759126.4954634,611.8219914417,
,65-84,937,9936.3732767762,5.2315901814,4902,51983.032873807,7449.2497650949,6979947.02989392,740.1852629792,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,1278,5887.2305140962,4.5172143975,5773,26593.8824396535,6187.7411515453,7907933.19167485,364.2865852071,
,Female,1696,7480.9227647656,4.6037735849,7808,34440.4746151471,6299.0240709487,10683144.824329,471.2251256817,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,1490,†,4.9060402685,7310,†,7280.0349594093,10847252.0895197,†,
,Medicaid,648,†,4.7577160494,3083,†,5096.3541695275,3302437.5018538,†,
,Private insurance,388,†,3.6907216495,1432,†,5690.4241969207,2207884.58840524,†,
,Uninsured,270,†,3.9074074074,1055,†,6020.0942957791,1625425.45986034,†,
,Other,168,†,4.3095238095,724,†,3499.0368825826,587838.196273873,†,
,Missing,12,†,2.9166666667,35,†,4273.6889040624,51284.2668487487,†,
Type of stay,Maternal delivery hospitalization,73,187.6606683805,2.397260274,175,449.8714652956,3431.5229834857,250501.177794456,†,
,Neonatal birth hospitalization,35,88.161209068,9.2571428571,324,816.120906801,4409.2462959739,154323.620359086,†,
,Nonmaternal/nonneonatal hospitalization,2868,428.7636418,4.5815899582,13140,1964.4191956944,6351.916772876,18217297.3046082,†,
Type of substance use disorder,Alcohol-related disorders,464,1045.5395569977,4.5862068966,2128,4795.0607269204,5614.9678899878,2605345.10095433,58.7067104025,
,Cannabis-related disorders,190,428.1304220465,3.9789473684,756,1703.5084161428,3447.6916145414,655061.406762864,14.7606166602,
,Neonatal abstinence syndrome,23,51.8263142477,12.1304347826,279,628.6757250051,6196.789041334,142526.147950682,3.2115673618,
,Opioid-related disorders,436,982.4466526961,4.7018348624,2050,4619.3019220803,5491.2081966198,2394166.77372622,53.9481911203,
,Sedative-related disorders,148,333.4910655941,4.6891891892,694,1563.802699475,2394.1988856228,354341.435072179,7.9844393761,
,Stimulant-related disorders,122,274.904797314,4,488,1099.6191892562,3026.358251903,369215.70673216,8.3196040184,
,Miscellaneous substances and addictive disorders,198,446.1569661326,3.898989899,772,1739.5615043151,4853.1569728726,960925.080628776,21.6526979118,
Type of mental disorder,Anxiety disorders,1725,3886.9735685797,4.6573913043,8034,18103.156898533,5977.2249582018,10310713.052898,232.3331542599,
,Bipolar disorders,329,741.3416255436,4.5592705167,1500,3379.9770161563,5259.971201231,1730530.52520498,38.9943560063,
,Depressive disorders,1476,3325.8973838978,4.4153116531,6517,14684.8734761936,5839.6942109536,8619388.65536745,194.2222369897,
,"Disruptive, impulse-control, and conduct disorders",54,121.6791725816,7.2777777778,393,885.5539782329,3560.9077998298,192289.021190811,4.3328831472,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,16,36.0530881723,5.3125,85,191.5320309155,8238.9307915603,131822.892664965,2.9703889827,
,Personality disorders,123,277.1581153248,4.7317073171,582,1311.4310822686,2234.373268039,274827.911968796,6.192746839,
,Schizophrenia and related disorders,187,421.3704680141,5.9786096257,1118,2519.2095360418,4115.6379688524,769624.300175405,17.3420829711,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,69,155.4789427432,4,276,621.9157709728,4372.2087483541,301682.403636433,6.7978639365,
,Trauma- and stressor-related disorders,160,360.5308817233,5.49375,879,1980.6665314676,4188.6528252604,670184.452041658,15.1013869632,
,Miscellaneous mental disorders,64,144.2123526893,3.078125,197,443.9036481219,3525.146733644,225609.390953217,5.0836970403,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Cheatham, Tennessee",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,230247.130785019,3480.2603038153,5.5238973516,1271855.99206344,19224.5171796775,8947.8111380044,2059756741.77554,311.3389339305,
"Cheatham, Tennessee",,1971,5000.3805464647,5.5322171487,10904,27663.1910089555,9427.3704881156,18581347.2320758,471.4043999309,
Age group,<1,17,3846.1538461538,14.3529411765,244,55203.6199095022,17039.9829207283,289679.709652382,655.3839584896,
,1-17,66,771.7492984097,7.7878787879,514,6010.2899906455,7667.5325428407,506057.147827484,59.1741286047,
,18-44,530,4105.6627159346,5.2396226415,2777,21512.1233248121,7278.5570955267,3857635.26062913,298.8330049291,
,45-64,766,6408.969210174,5.5587467363,4258,35625.8366800535,10964.7478445344,8398996.84891339,702.7273133294,
,65-84,592,10643.6533620999,5.2550675676,3111,55933.117583603,9339.4903125902,5528978.26505342,994.062974659,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,781,3980.8349049391,5.4660691421,4269,21759.5188337835,9806.6376854995,7658984.03237513,390.3860559853,
,Female,1189,6005.6571370846,5.5794785534,6634,33508.4351954742,9184.622867628,10920516.5896096,551.596958764,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,918,†,5.5566448802,5101,†,9731.4192739087,8933442.89344817,†,
,Medicaid,361,†,6.0221606648,2174,†,8558.9844134413,3089793.3732523,†,
,Private insurance,515,†,5.2718446602,2715,†,9509.5296824872,4897407.78648091,†,
,Other,24,†,8.125,195,†,9457.4077210762,226977.785305828,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,47,106.334841629,3.1276595745,147,332.5791855204,4923.3126524989,231395.694667448,†,
,Neonatal birth hospitalization,15,34.4827586207,15,225,517.2413793103,18044.8835330846,270673.25299627,†,
,Nonmaternal/nonneonatal hospitalization,1909,458.0134357006,5.5170246202,10532,2526.8714011516,9470.5491275076,18079278.2844121,†,
Type of substance use disorder,Alcohol-related disorders,312,791.5366466246,5.0673076923,1581,4010.959738184,8528.5354840075,2660903.07101032,67.5064837763,
,Cannabis-related disorders,107,271.4564781693,5.3925233645,577,1463.8354009691,6660.3480810075,712657.244667806,18.0799463345,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,256,649.4659664612,5.73828125,1469,3726.8183778573,8175.2827594399,2092872.38641662,53.0956791845,
,Sedative-related disorders,65,164.9034680468,5.8,377,956.4401146713,5321.8151069184,345917.981949698,8.7758576743,
,Stimulant-related disorders,73,185.1992794987,6.1232876712,447,1134.0284648756,6526.8547182872,476460.394434967,12.0876879122,
,Miscellaneous substances and addictive disorders,113,286.6783367583,5.9911504425,677,1717.533044118,8357.1749947784,944360.774409958,23.958210275,
Type of mental disorder,Anxiety disorders,924,2344.1662226958,5.1493506494,4758,12070.9338610244,9421.6398344183,8705595.20700247,220.8588986225,
,Bipolar disorders,192,487.0994748459,6.2760416667,1205,3057.0565999442,7499.94027134,1439988.53209727,36.5321696755,
,Depressive disorders,924,2344.1662226958,5.54004329,5119,12986.7823527919,8957.1290473395,8276387.23974171,209.969993651,
,"Disruptive, impulse-control, and conduct disorders",20,50.7395286298,6,120,304.4371717787,4702.8926462401,94057.8529248016,2.3862255607,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,37,93.8681279651,6.6216216216,245,621.5592257148,5108.889863149,189028.924936512,4.7956192743,
,Schizophrenia and related disorders,74,187.7362559302,9.8783783784,731,1854.5297714184,11570.0821095675,856186.076107997,21.7212389605,
,Somatic symptom disorders,17,43.1285993353,3.2941176471,56,142.0706801634,4397.8384308345,74763.253324187,1.8967261162,
