"Statistics for community hospital stays 2016 Maryland, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Maryland | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
Type of stay,Maternal delivery hospitalization,7693.0430011682,110.2234114359,2.6565672386,20437.0860023363,292.8159037515,7097.9785662945,54605054.3318737,†,
,Neonatal birth hospitalization,1847,26.2089908049,10.0249052518,18516,262.7426495629,11645.5710624515,21509369.7523481,†,
,Nonmaternal/nonneonatal hospitalization,187266.781405648,371.1391243797,5.6288870864,1054103.56756382,2089.1002244746,13572.4157666047,2541662616.51134,†,
Type of substance use disorder,Alcohol-related disorders,38547.6058966597,638.0862298673,5.2963508093,204161.64368885,3379.5285199858,12295.9686906692,473980155.205584,78.458883044,
,Cannabis-related disorders,17588.0155386193,291.1379387859,4.8563595146,85413.7266041787,1413.8704990886,9970.2965009916,175357729.784081,29.0273157238,
,Neonatal abstinence syndrome,1181,19.5493291981,15.1346316681,17874,295.8718967716,18615.4594374906,21984857.5956764,3.6391974472,
,Opioid-related disorders,28795.7579939504,476.6619411797,5.4668780568,157422.897507418,2605.8527067696,12725.2616467312,366433554.788972,60.6564791855,
,Sedative-related disorders,3201.5526048449,52.9959405734,5.7155321,18298.5766826792,302.8999995146,10652.1548293852,34103434.0412299,5.6452096432,
,Stimulant-related disorders,12611.5864208214,208.7621123211,5.289683148,66711.2961595572,1104.2854274824,10655.1871398656,134378813.44444,22.2439937449,
,Miscellaneous substances and addictive disorders,8449.2208788197,139.8616430379,4.8649100917,41104.6999206288,680.4143186608,9765.8796068458,82514073.8742005,13.6587196752,
Type of mental disorder,Anxiety disorders,78275.203722568,1295.705102136,5.3928275828,422124.677682884,6987.5142139495,13343.4350678931,1044460098.29819,172.8915689749,
,Bipolar disorders,24038.5394213958,397.9147507121,5.4981919574,132168.504115099,2187.811682108,10702.8845074914,257281711.155979,42.588356207,
,Depressive disorders,87441.8041827604,1447.4416728591,5.3331189811,466337.545631355,7719.3786596039,12712.1526122301,1111573559.45999,184.0009944269,
,"Disruptive, impulse-control, and conduct disorders",1504.3890709489,24.9024531668,7.6566134828,11518.5256439888,190.6684586718,12171.7114465489,18310989.6749322,3.0310547426,
,Eating disorders,906.1021959935,14.9988908693,8.5700859972,7765.3737419023,128.5417846121,15396.2937995222,13950615.6219079,2.3092733049,
,Obsessive-compulsive disorders,1225.1074433303,20.279448529,6.5965140852,8081.4385058551,133.7736678623,12337.3469648705,15114575.5976108,2.5019459276,
,Personality disorders,3823.3423683154,63.2885508851,6.1118801087,23367.8101696504,386.8120352631,8961.8815757216,34264341.5282816,5.6718449813,
,Schizophrenia and related disorders,16595.3228307865,274.7056978562,7.484872595,124213.877060732,2056.1371495643,11316.6285184085,187803103.619074,31.0874233453,
,Somatic symptom disorders,918.2301578164,15.1996474469,8.1111095844,7447.8654337899,123.2860060868,19100.4837799653,17538640.2356475,2.9032061952,
,Suicidal ideation or attempt,15763.9716366378,260.9441752705,5.5222212786,87052.139607874,1440.9914772187,8012.6002284158,126310402.736463,20.9084135838,
,Trauma- and stressor-related disorders,11721.8683919814,194.0344318475,6.3674713453,74638.6610988175,1235.5086847823,13055.6440821394,153036541.70339,25.3324448188,
,Miscellaneous mental disorders,9112.3839306854,150.8391136669,4.0666649363,37057.0122173957,613.4121345781,7921.2678358471,72181633.7380285,11.9483701948,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Allegany, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Allegany, Maryland",,3960,5331.4664225322,5.4027777778,21395,28804.7283106252,12756.3078585302,50514979.1197799,680.0982702324,
Age group,<1,69,10147.0588235294,12.2898550725,848,124705.882352941,12145.9653284102,838071.607660308,1232.4582465593,
,1-17,31,252.0120315422,5.7741935484,179,1455.1662466466,13070.4762477577,405184.76368049,32.9391727242,
,45-64,1439,7468.3412912601,5.4732453092,7876,40876.0639402117,13857.3444866772,19940718.7163284,1034.9137801707,
,65-84,1302,8776.5419615773,6.1935483871,8064,54357.9373104145,15768.004683873,20529942.0984027,1383.8855475836,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,1763,4552.4970304188,5.4736245037,9650,24918.6592986624,12960.2682851193,22848952.9866654,590.0158288144,
,Female,2184,6143.4599156118,5.3342490842,11650,32770.7454289732,12577.0870140017,27468358.0385799,772.6682992568,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,1876,†,6.0106609808,11276,†,14688.6047162267,27555822.4476413,†,
,Medicaid,1381,†,4.8327299059,6674,†,9654.7558536902,13333217.8339461,†,
,Private insurance,594,†,4.5740740741,2717,†,13604.988626316,8081363.24403173,†,
,Uninsured,29,†,4.0689655172,118,†,7458.4241712389,216294.300965927,†,
,Other,79,†,7.6708860759,606,†,16778.1495299873,1325473.81286899,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,147,237.4798061389,2.5238095238,371,599.3537964459,6621.6350998035,973380.359671119,†,
,Neonatal birth hospitalization,67,104.6875,12.3731343284,829,1295.3125,11444.4434698314,766777.712478706,†,
,Nonmaternal/nonneonatal hospitalization,3746,398.4258668368,5.3910838227,20195,2147.947245267,13020.5074873545,48774821.0476301,†,
Type of substance use disorder,Alcohol-related disorders,735,989.5524799397,5.1659863946,3797,5112.0146480694,11326.7243017798,8325142.36180815,112.0838812242,
,Cannabis-related disorders,500,673.1649523399,4.012,2006,2700.7377887878,7527.5639876471,3763781.99382356,50.6729225298,
,Neonatal abstinence syndrome,52,70.0091550434,13.6346153846,709,954.547902418,11051.4142983105,574673.543512149,7.7370017706,
,Opioid-related disorders,505,679.8966018633,4.5089108911,2277,3065.593192956,9556.8462873378,4826207.37510557,64.9766731529,
,Sedative-related disorders,76,102.3210727557,4.8684210526,370,498.1420647315,9775.6507586267,742949.457655625,10.0025507251,
,Stimulant-related disorders,157,211.3737950347,4.5350318471,712,958.586892132,7191.8678118331,1129123.2464578,15.2017239278,
,Miscellaneous substances and addictive disorders,210,282.7292799828,3.8047619048,799,1075.7175938392,7088.8171187699,1488651.59494167,20.0421615992,
Type of mental disorder,Anxiety disorders,2124,2859.60471754,5.4138418079,11499,15481.4475739135,12922.9603509731,27448367.785467,369.5455838422,
,Bipolar disorders,477,642.1993645323,4.0880503145,1950,2625.3433141257,7971.3227551313,3802320.95419764,51.1917840783,
,Depressive disorders,1842,2479.9396844203,5.0141150923,9236,12434.702999623,12050.6645067565,22197324.0214454,298.8492113394,
,"Disruptive, impulse-control, and conduct disorders",52,70.0091550434,3.3461538462,174,234.2614034143,4828.3367528953,251073.511150557,3.3802777633,
,Eating disorders,18,24.2339382842,17.5555555556,316,425.4402498788,27771.2961427782,499883.330570007,6.730078768,
,Obsessive-compulsive disorders,25,33.658247617,4.04,101,135.9793203727,7524.1491153666,188103.727884163,2.5324967403,
,Personality disorders,252,339.2751359793,4.3928571429,1107,1490.3872044806,6255.5720444522,1576404.15520195,21.2236005601,
,Schizophrenia and related disorders,392,527.7613226345,6.7959183673,2664,3586.6228660671,10911.3991396368,4277268.46273764,57.5861444173,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,549,739.1351176692,4.8032786885,2637,3550.2719586407,6775.9547676661,3719999.16744867,50.0834612452,
,Trauma- and stressor-related disorders,396,533.1466422532,4.3434343434,1720,2315.6874360493,8934.9882126906,3538255.33222549,47.6365896417,
,Miscellaneous mental disorders,176,236.9540632237,4.0852272727,719,968.0112014648,7340.1227436535,1291861.60288301,17.3927190867,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Anne Arundel, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Anne Arundel, Maryland",,18034,3275.7822078925,5.329322391,96109,17457.6994686889,12667.3016493498,228442117.944374,414.9532136495,
Age group,<1,214,3099.2034757422,12.7289719626,2724,39449.6741491672,20045.0414341074,4289638.86689899,621.2366208398,
,1-17,269,227.1959459459,8.1412639405,2190,1849.6621621622,24288.4451672873,6533591.75000028,55.1823627534,
,18-44,4818,2481.4074699738,4.3345786633,20884,10755.8558744154,9891.7050016756,47658234.6980729,245.4535068194,
,45-64,6427,4199.5831128013,5.2964057881,34040,22242.6963061703,13655.2958780288,87762586.6080916,573.4654996968,
,65-84,6306,8082.853737006,5.75182366,36271,46491.149364882,13034.8978784191,82198066.021311,1053.5917302807,
Sex,Male,7739,2853.5399160051,5.6294094844,43566,16063.7446673574,13357.5332807066,103373950.059388,381.1625439586,
,Female,10286,3682.5410464059,5.103247132,52492,18792.9170336319,12147.2442030915,124946553.872999,447.327253786,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,7939,†,5.776672125,45861,†,12987.440146723,103107287.324834,†,
,Medicaid,4379,†,5.3678922128,23506,†,11218.7064737151,49126715.6483985,†,
,Private insurance,4781,†,4.6312486927,22142,†,13626.2204965859,65146960.1941773,†,
,Uninsured,332,†,3.7259036145,1237,†,5963.1126114098,1979753.38698806,†,
,Other,600,†,5.5666666667,3340,†,15092.3060536013,9055383.63216078,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,762,121.0292249047,2.4238845144,1847,293.3608640407,6711.294271157,5114006.23462164,†,
,Neonatal birth hospitalization,170,26.4756268494,9.1588235294,1557,242.4855941442,9345.3328489367,1588706.58431923,†,
,Nonmaternal/nonneonatal hospitalization,17102,405.5105041021,5.4207110279,92705,2198.1552615355,12965.7002178361,221739405.125434,†,
Type of substance use disorder,Alcohol-related disorders,3281,595.9765678216,5.2636391344,17270,3137.0055855774,12024.6092922493,39452743.08787,71.6638537539,
,Cannabis-related disorders,1249,226.874347214,4.96877502,6206,1127.2875891195,11109.5221653813,13875793.1845613,25.2046558913,
,Neonatal abstinence syndrome,125,22.7055992008,15.544,1943,352.9358339767,20274.3657535106,2534295.71918882,4.6034162285,
,Opioid-related disorders,2366,429.771581672,5.2261200338,12365,2246.0378729395,11634.8777368663,27528120.7254258,50.0033980753,
,Sedative-related disorders,283,51.4054765905,4.816254417,1363,247.5818536851,7640.6553575485,2162305.46618623,3.9277153012,
,Stimulant-related disorders,922,167.4764997048,5.0379609544,4645,843.7400663003,9843.2095433449,9075439.19896396,16.4850628018,
,Miscellaneous substances and addictive disorders,649,117.8874710504,4.6718027735,3032,550.7470142137,8970.7605918918,5822023.6241378,10.5754027958,
Type of mental disorder,Anxiety disorders,8261,1500.56763998,5.1520397046,42561,7730.9840606694,12673.2523370223,104693737.556141,190.1707235024,
,Bipolar disorders,1707,310.0676626856,5.5026362039,9393,1706.1895463421,11175.5233714787,19076618.3951141,34.6516841108,
,Depressive disorders,8657,1572.498978248,5.1256786416,44373,8060.1244266836,12070.1672690928,104491438.048536,189.8032569793,
,"Disruptive, impulse-control, and conduct disorders",96,17.4379001862,6.71875,645,117.1608918759,9961.8898166423,956341.422397659,1.7371444029,
,Eating disorders,129,23.4321783752,5.7441860465,741,134.5987920621,12300.5025956806,1586764.83484279,2.8822757093,
,Obsessive-compulsive disorders,107,19.4359929159,4.7757009346,511,92.8204895327,9316.970967065,996915.893475952,1.8108458171,
,Personality disorders,299,54.3117932882,7.2408026756,2165,393.2609781572,10694.7086454078,3197717.88497693,5.8084880523,
,Schizophrenia and related disorders,881,160.029063167,7.3950056754,6515,1183.4158303438,10897.7639929023,9600930.07774698,17.439589624,
,Somatic symptom disorders,61,11.08033241,9.5081967213,580,105.3539802915,28952.1872297727,1766083.42101614,3.207998585,
,Suicidal ideation or attempt,1129,205.0769719813,5.3906111603,6086,1105.4902138867,7999.7707043248,9031741.1251827,16.4056875259,
,Trauma- and stressor-related disorders,848,154.034784978,6.1474056604,5213,946.9143090686,14157.1365170101,12005251.7664245,21.806914793,
,Miscellaneous mental disorders,813,147.6772172018,3.4022140221,2766,502.4294991145,7297.4534263896,5932829.6356547,10.7766761467,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Baltimore, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Baltimore, Maryland",,34881,4206.4223281301,5.5043433388,191997,23153.5927219403,13300.7988880692,463945166.014741,559.4877742474,
Age group,<1,379,3841.0864497821,13.5593667546,5139,52082.6999087868,22221.4808132646,8421941.2282273,853.5462884592,
,1-17,664,395.9427791128,8.3704819277,5558,3314.2318769715,22910.5151891202,15212582.0855758,90.7125305489,
,18-44,9160,3143.995689019,4.7344978166,43368,14885.2407250411,10132.5283321549,92813959.5225389,318.5662539516,
,45-64,12492,5609.4406724863,5.453570285,68126,30591.4789668426,14021.8845444348,175161381.72908,786.5492946846,
,65-84,12175,8846.888874356,5.721724846,69662,50619.4638821674,14128.1076267201,172009710.355318,1249.8979817854,
,Missing,11,†,13.0909090909,144,†,29599.1903637429,325591.094001172,†,
Sex,Male,14604,3721.1625193014,5.7902629417,84561,21546.5094354045,13707.5615500824,200185228.877404,510.0806427118,
,Female,20254,4637.1807845705,5.2949540831,107244,24553.6593295388,13003.4920314993,263372727.605988,602.9954338078,
,Missing,23,†,8.347826087,192,†,16835.197015164,387209.531348773,†,
Payer,Medicare,16498,†,5.7710025458,95210,†,13779.6827033527,227337205.239914,†,
,Medicaid,9845,†,5.6397155917,55523,†,11768.853244518,115864360.19228,†,
,Private insurance,7422,†,4.9021827001,36384,†,14678.9402449247,108947094.497831,†,
,Other,466,†,5.6137339056,2616,†,15906.3988320598,7412381.8557399,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,1267,133.3824613117,2.726124704,3454,363.6172228656,7337.3588992051,9296433.72529291,†,
,Neonatal birth hospitalization,297,31.1647429171,9.6498316498,2866,300.7345225603,10962.6910466811,3255919.2408643,†,
,Nonmaternal/nonneonatal hospitalization,33317,405.4050765374,5.57304079,185677,2259.339028011,13548.4231187857,451392813.048584,†,
Type of substance use disorder,Alcohol-related disorders,5982,721.3903949679,5.1872283517,31030,3742.0167094372,11512.3692374938,68866992.7786881,83.0491259125,
,Cannabis-related disorders,2439,294.1275782893,5.1750717507,12622,1522.131321512,10106.0954482719,24648766.7983352,29.7248138016,
,Neonatal abstinence syndrome,202,24.3598896328,14.9504950495,3020,364.1924093619,21460.5903370717,4335039.24808849,5.2277761207,
,Opioid-related disorders,5170,623.4684623845,5.4328820116,28088,3387.2305940919,12428.2773929515,64254194.1215593,77.4863899627,
,Sedative-related disorders,679,81.8829953499,6.1089837997,4148,500.221892064,12270.1460737434,8331429.18407181,10.047163139,
,Stimulant-related disorders,1812,218.5154456171,5.2715231788,9552,1151.9092364984,10152.6105045258,18396530.2342007,22.1850220857,
,Miscellaneous substances and addictive disorders,1195,144.1092480753,4.8368200837,5780,697.0305053351,9346.6254971031,11169217.4690382,13.4693517243,
Type of mental disorder,Anxiety disorders,15115,1822.7709495051,5.2184584849,78877,9512.0545275629,13223.3345751684,199870702.103671,241.031101192,
,Bipolar disorders,4585,552.9212572597,5.46695747,25066,3022.7969977039,10761.0038889641,49339202.8309004,59.4998779966,
,Depressive disorders,16630,2005.4701217512,5.2944076969,88046,10617.7764485692,12910.6026770428,214703322.519221,258.9182792261,
,"Disruptive, impulse-control, and conduct disorders",297,35.816273371,7.5454545455,2241,270.2500627086,10852.7245317816,3223259.18593913,3.8870414865,
,Eating disorders,134,16.1595307465,9.0895522388,1218,146.8828988751,14265.9002226983,1911630.62984157,2.3053025328,
,Obsessive-compulsive disorders,236,28.460069076,7.2923728814,1721,207.5414359311,15488.8773934266,3655375.06484869,4.4081452053,
,Personality disorders,507,61.1409111081,5.7238658777,2902,349.9623748239,8215.3435684005,4165179.18917904,5.0229359084,
,Schizophrenia and related disorders,2486,299.7954734019,7.8129525342,19423,2342.2878036545,11709.348812635,29109441.1482106,35.1040977051,
,Somatic symptom disorders,162,19.5361491115,6.8518518519,1110,133.8587994675,16062.9779262675,2602202.42405534,3.1380873194,
,Suicidal ideation or attempt,2173,262.0497038223,6.1909802117,13453,1622.344530843,8613.270526852,18716636.854849398,22.571049905,
,Trauma- and stressor-related disorders,1946,234.6749763637,7.0781089414,13774,1661.0550485268,14452.3354910791,28124244.86564,33.9160148977,
,Miscellaneous mental disorders,1528,184.2668879156,4.1439790576,6332,763.5981245297,8229.8387769482,12575193.6511768,15.1648677948,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Calvert, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Calvert, Maryland",,2764,2973.51378101,5.2424023155,14490,15588.3555306926,14385.3676063473,39761156.063944,427.7508882237,
Age group,<1,79,7775.5905511811,7.1898734177,568,55905.5118110236,11195.0207844185,884406.641969065,870.478978316,
,1-17,134,655.0004888063,4.4776119403,600,2932.8380095806,8828.0556327271,1182959.45478543,57.8238075465,
,18-44,743,2512.8517316017,4.3553162853,3236,10944.264069264,10352.4424571643,7691864.74567308,260.1415295479,
,45-64,1021,3499.6915061356,5.1518119491,5260,18029.7525193665,15527.1004079764,15853169.5165439,543.4006141271,
,65-84,787,6178.3639503847,6.1321473952,4826,37886.6384047731,17978.0885704861,14148755.7049725,1110.7517432071,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,1129,2464.9578621021,5.8414526129,6595,14398.934544343,15365.0833590391,17347179.1123552,378.7428302772,
,Female,1633,3463.2677298948,4.8279240661,7884,16720.3936206311,13713.5978575077,22394305.30131,474.9386092066,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,1038,†,5.8949903661,6119,†,16755.6441965887,17392358.676059,†,
,Medicaid,715,†,4.634965035,3314,†,10930.3864285366,7815226.29640371,†,
,Private insurance,889,†,4.9403824522,4392,†,13939.1033497475,12391862.8779255,†,
