"Statistics for community hospital stays 2016 New Jersey, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: New Jersey | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
,Trauma- and stressor-related disorders,15504.0356544554,172.5516772327,7.0669294618,109565.926344033,1219.4105315271,14366.3914636867,222737045.478863,24.7894494284,
,Miscellaneous mental disorders,7207.147716257,80.2117238518,4.8950242116,35279.1625677587,392.6383303099,8193.7592583989,59053633.3267293,6.5723555494,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Atlantic, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Atlantic, New Jersey",,11176,4069.9347047877,5.2966177523,59195,21556.8884081879,12261.2966621393,137032251.496069,499.0267681094,
Age group,<1,104,3167.8342978983,16.4903846154,1715,52238.8059701492,18630.5535447983,1937577.56865902,590.1850650804,
,1-17,274,479.7002748648,6.5291970803,1789,3132.0576340622,11465.276406666,3141485.73542648,54.9989624368,
,45-64,4566,5841.0407951798,5.2122207622,23799,30444.7941052308,13026.0663536121,59477018.9705931,760.8578497217,
,65-84,3080,6861.5220103368,5.5103896104,16972,37809.6595972197,14485.1995821587,44614414.713049,993.905157571,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,5364,4014.4892827206,5.50950783,29553,22117.8601365106,12512.8258783266,67118798.0113443,502.3260538509,
,Female,5798,4112.5525772611,5.1012418075,29577,20979.1251427477,12026.3756225208,69728925.859376,494.5910206151,
,Missing,14,†,4.6428571429,65,†,13180.5446677754,184527.625348856,†,
Payer,Medicare,4504,†,5.509991119,24817,†,13660.878788959,61528598.0654716,†,
,Medicaid,3957,†,5.2370482689,20723,†,9495.4728207771,37573585.951815,†,
,Private insurance,2067,†,4.7972907596,9916,†,14312.3483934639,29583624.1292899,†,
,Uninsured,425,†,5.8305882353,2478,†,11627.9807414828,4941891.81513021,†,
,Other,218,†,5.5871559633,1218,†,15362.0477040437,3348926.39948153,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,149,53.6164087801,2.8791946309,429,154.3720762864,5271.0650826915,785388.697321035,†,
,Neonatal birth hospitalization,97,34.4337948172,16.8969072165,1639,581.8246361377,17612.7057009304,1708432.45299025,†,
,Nonmaternal/nonneonatal hospitalization,10930,347.1494362395,5.2266239707,57127,1814.4195648722,12309.0970124206,134538430.345757,†,
Type of substance use disorder,Alcohol-related disorders,2208,804.0815880611,5.4384057971,12008,4372.9219698542,11926.5159280939,26333747.1692314,95.898918675,
,Cannabis-related disorders,1068,388.9307681383,4.8361423221,5165,1880.9245481593,7934.8386722264,8474407.70193778,30.8610289984,
,Neonatal abstinence syndrome,72,26.2200517846,21.1527777778,1523,554.6269287215,23381.6833158164,1683481.19873878,6.1306894735,
,Opioid-related disorders,2012,732.7047804253,4.7042743539,9465,3446.8443075175,9608.2539312675,19331806.9097102,70.4001358698,
,Sedative-related disorders,275,100.1460311217,6.0654545455,1668,607.4311996766,10482.726296287,2882749.73147893,10.4980343391,
,Stimulant-related disorders,704,256.3738396717,5.0056818182,3524,1283.3258679019,8612.0102625587,6062855.22484132,22.078941383,
,Miscellaneous substances and addictive disorders,391,142.3894478858,5.547314578,2169,789.8790600111,9714.6077410038,3798411.62673248,13.8325763267,
Type of mental disorder,Anxiety disorders,4424,1611.0765152095,4.8419981917,21421,7800.8295733051,12320.5885288186,54506283.6514936,198.4941083234,
,Bipolar disorders,1276,464.6775844049,5.6622257053,7225,2631.1093631077,9586.6626459433,12232581.5362236,44.5470724082,
,Depressive disorders,4114,1498.1846255813,4.871657754,20042,7298.6427481528,11729.2563923541,48254160.7981448,175.7259159653,
,"Disruptive, impulse-control, and conduct disorders",173,63.0009577602,6.9306358382,1199,436.6366956908,7548.1317761329,1305826.79727099,4.755395312,
,Eating disorders,41,14.9308628218,9.1707317073,376,136.9269370974,14783.6723910247,606130.568032015,2.2073298447,
,Obsessive-compulsive disorders,72,26.2200517846,5.7083333333,411,149.6727956038,11661.0334269358,839594.40673938,3.0575290032,
,Personality disorders,225,81.9376618269,6.4622222222,1454,529.4993790946,8837.9413177233,1988536.79648774,7.2416024694,
,Schizophrenia and related disorders,1309,476.6951081395,7.4553093965,9759,3553.9095189713,10667.60309952,13963892.4572717,50.8519421312,
,Somatic symptom disorders,38,13.8383606641,4.8157894737,183,66.6426316192,12924.4820175595,491130.316667263,1.7885364356,
,Suicidal ideation or attempt,1078,392.5724419972,6.3116883117,6804,2477.7948936449,7873.0841398317,8487184.70273862,30.9075586682,
,Trauma- and stressor-related disorders,712,259.2871787588,6.1292134831,4364,1589.2264720556,12151.3485286503,8651760.15239903,31.5068887811,
,Miscellaneous mental disorders,242,88.1285073871,8.2148760331,1988,723.9647631637,11260.460482512,2725031.43676792,9.9236757482,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Bergen, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Bergen, New Jersey",,17818,1888.4602340173,6.2644516781,111620,11830.1678819738,15309.2720492608,272780609.373729,289.1095147678,
Age group,<1,35,358.4963638226,14.3428571429,502,5141.8621325412,25263.0607145657,884207.125009801,90.567154052,
,1-17,382,202.0864633811,6.7382198953,2574,1361.7030281228,13533.069085757,5169632.3907592,27.3485007023,
,18-44,3919,1261.958660308,5.4057157438,21185,6821.7897980673,11188.5615656797,43847972.775899,141.195021642,
,45-64,5675,2054.0607060901,6.4653744493,36691,13280.2716065469,16677.6334836247,94645570.0195702,342.5687160929,
,65-84,7807,4944.3311504896,6.4900730114,50668,32089.0701592167,16425.4165572551,128233227.06249,812.126987438,
Sex,Male,7833,1714.0831416761,6.5576407507,51366,11240.341459892,16171.9518729878,126674899.021113,277.2007007349,
,Female,9971,2049.3648017331,6.0358038311,60183,12369.5639216427,14629.8362531615,145874097.280273,299.8187147235,
,Missing,14,†,5.0714285714,71,†,16543.790881566,231613.072341925,†,
Payer,Medicare,8870,†,6.5021420519,57674,†,15837.6701139241,140480133.910507,†,
,Medicaid,2125,†,6.5952941176,14015,†,12084.5850487424,25679743.2285777,†,
,Private insurance,5249,†,5.8746427891,30836,†,16064.6388442319,84323289.2933735,†,
,Uninsured,805,†,5.698136646,4587,†,11712.988890919,9428956.05718979,†,
,Other,768,†,5.8645833333,4504,†,16745.5123486338,12860553.4837508,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,364,40.2654867257,3.5192307692,1281,141.703539823,7460.5399118904,2715636.5279281,†,
,Neonatal birth hospitalization,32,3.4624540143,12.96875,415,44.9037004977,22610.8946066357,723548.627412342,†,
,Nonmaternal/nonneonatal hospitalization,17422,261.0232976253,6.3094937435,109924,1646.9248632856,15459.8452656634,269341424.218388,†,
Type of substance use disorder,Alcohol-related disorders,3046,322.8336442259,6.0009848982,18279,1937.3198236391,14049.6707815855,42795297.2007095,45.3570641859,
,Cannabis-related disorders,821,87.0145836866,5.8124238733,4772,505.7656435476,11273.1719867045,9255274.20108443,9.8093036725,
,Neonatal abstinence syndrome,20,2.1197218925,19.35,387,41.0166186196,34049.090055383,680981.80110766,0.7217460161,
,Opioid-related disorders,1562,165.5502798033,6.1658130602,9631,1020.7520773275,14276.4864534241,22299871.8402484,23.6347632697,
,Sedative-related disorders,270,28.6162455486,6.0074074074,1622,171.9094454808,10376.760047562,2801725.21284176,2.9694391352,
,Stimulant-related disorders,636,67.4071561811,5.8836477987,3742,396.5999660844,10724.8669633505,6821015.38869092,7.2293278242,
,Miscellaneous substances and addictive disorders,391,41.4405629981,5.4884910486,2146,227.4461590639,10517.6919784099,4112417.56355828,4.3585907703,
Type of mental disorder,Anxiety disorders,8231,872.3715448533,5.9782529462,49207,5215.2577581821,15485.259435377,127459170.412588,135.0889969609,
,Bipolar disorders,1494,158.3432253688,6.6680053548,9962,1055.8334746481,13110.1123892004,19586507.9094653,20.7589748065,
,Depressive disorders,8159,864.7405460404,6.3459982841,51777,5487.6420213668,14680.1930385789,119775695.001765,126.9455814416,
,"Disruptive, impulse-control, and conduct disorders",107,11.3405121248,9.2056074766,985,104.396303205,12087.5183811087,1293364.46677864,1.3707864876,
,Eating disorders,136,14.4141088689,9.9044117647,1347,142.763269459,13728.3302465455,1867052.91353019,1.9788164676,
,Obsessive-compulsive disorders,145,15.3679837205,7.9379310345,1151,121.9899949127,13345.6631986452,1935121.16380356,2.0509593478,
,Personality disorders,426,45.15007631,7.1572769953,3049,323.1516025097,12041.0779851587,5129499.22167763,5.4365558988,
,Schizophrenia and related disorders,1205,127.7132440224,8.5958506224,10358,1097.8039681194,14170.5448596186,17075506.5558404,18.0976625359,
,Somatic symptom disorders,82,8.6908597592,5.256097561,431,45.6800067831,12115.851268488,993499.804016019,1.0529716424,
,Suicidal ideation or attempt,936,99.2029845684,6.9391025641,6495,688.3796845854,10947.3376778822,10246708.0664978,10.8600857072,
,Trauma- and stressor-related disorders,846,89.6642360522,7.9562647754,6731,713.3924029167,20082.97767414,16990199.1123225,18.0072485081,
,Miscellaneous mental disorders,444,47.0578260132,5.0833333333,2257,239.2106155672,10092.2474298408,4480957.85884935,4.7491922364,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Burlington, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Burlington, New Jersey",,15128,3399.7491988296,5.7641459545,87200,19596.650590821,13296.6694383467,201152015.263308,452.0534127012,
Age group,<1,85,1770.0957934194,19,1615,33631.8200749687,34257.6855263985,2911903.26974387,606.3938504256,
,1-17,303,333.3590045438,6.0858085809,1844,2028.759090359,16546.7139040825,5013654.31293701,55.1599607554,
,18-44,4180,2832.093445533,5.4566985646,22809,15453.8802390341,10180.6484637647,42555110.5785367,288.325477855,
,45-64,5566,4271.91023309,5.8904060367,32786,25163.2858250251,14057.3918377678,78243442.9690159,600.5191604232,
,65-84,4992,6992.3800986105,5.6372195513,28141,39417.5818018825,14505.2751574798,72410333.5861395,1014.2639733603,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,6452,2949.1082284325,6.2315561066,40206,18377.5333900117,14222.3892292925,91762855.3073954,419.4336510408,
,Female,8673,3834.285310085,5.4176178946,46987,20772.692708978,12611.5742559939,109380183.522235,483.563739068,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,6670,†,5.8508245877,39025,†,14011.0238940337,93453529.3732052,†,
,Medicaid,2959,†,6.5680973302,19435,†,10625.979050478,31442272.0103645,†,
,Private insurance,4523,†,5.2345788194,23676,†,14164.6881298352,64066884.411245,†,
,Uninsured,474,†,5.5886075949,2649,†,11709.8530018063,5550470.3228562,†,
,Other,501,†,4.8163672655,2413,†,13240.8438512366,6633662.76946955,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,456,107.2184340466,3.2828947368,1497,351.9868328239,6040.1666178743,2754315.9777507,†,
,Neonatal birth hospitalization,72,16.4496230295,17.5555555556,1264,288.7822709618,20816.6763229411,1498800.69525176,†,
,Nonmaternal/nonneonatal hospitalization,14600,313.1837487666,5.7834931507,84439,1811.2960658973,13486.2259308429,196898898.590306,†,
Type of substance use disorder,Alcohol-related disorders,2493,560.2574532445,5.8812675491,14662,3295.0239789291,12271.4081639878,30592620.5528216,68.7514788568,
,Cannabis-related disorders,961,215.9676745158,5.1852237253,4983,1119.8407097943,9157.9575109786,8800797.16805047,19.7782278696,
,Neonatal abstinence syndrome,60,13.4839338928,17.95,1077,242.0366133752,19875.0838195471,1192505.02917283,2.6799431634,
,Opioid-related disorders,1808,406.3158746354,6.3069690265,11403,2562.6216363203,12963.7820875953,23438518.0143724,52.673904575,
,Sedative-related disorders,337,75.734762031,6.7774480712,2284,513.2884168513,9210.1045026748,3103805.21740141,6.9752507279,
,Stimulant-related disorders,811,182.2578397839,6.0332922318,4893,1099.6148089551,9956.8393613598,8074996.72206281,18.1471203308,
,Miscellaneous substances and addictive disorders,394,88.5444992292,6.4670050761,2548,572.6177259795,12115.0621233773,4773334.47661069,10.7272210884,
Type of mental disorder,Anxiety disorders,7150,1606.8354555547,5.2379020979,37451,8416.4468036335,12987.7907209562,92862703.654837,208.6924261976,
,Bipolar disorders,1822,409.462125877,6.0905598244,11097,2493.8535734672,10913.0396816531,19883558.2999719,44.6847642783,
,Depressive disorders,6453,1450.1970901671,5.5273516194,35668,8015.7492347868,12740.7358812443,82215968.64167,184.7657810157,
,"Disruptive, impulse-control, and conduct disorders",72,16.1807206713,10.3888888889,748,168.0997091965,15117.5524876212,1088463.77910872,2.4461289404,
,Eating disorders,84,18.8775074499,9.9047619048,832,186.9772166464,13682.4180535741,1149323.11650023,2.5828994874,
,Obsessive-compulsive disorders,94,21.1248297653,6.2872340426,591,132.8167488438,11218.7737933678,1054564.73657657,2.3699468656,
,Personality disorders,491,110.3435256891,7.6863543788,3774,848.139441855,9692.246377456,4758892.97133089,10.6947663714,
,Schizophrenia and related disorders,1015,228.1032150193,8.8068965517,8939,2008.8814177907,12626.0511524734,12815441.9197605,28.8004286088,
,Somatic symptom disorders,60,13.4839338928,4.8,288,64.7228826853,9202.0813662704,552124.881976225,1.2408025682,
,Suicidal ideation or attempt,1124,252.5990282578,6.6192170819,7440,1672.0078027031,8515.8376902336,9571801.56382254,21.5109232535,
,Trauma- and stressor-related disorders,1098,246.7559902376,7.0428051002,7733,1737.8543465461,14257.0987699299,15654294.4493831,35.1802452489,
,Miscellaneous mental disorders,636,142.9296992633,4.7327044025,3010,676.4440169538,7275.9487603013,4627503.41155164,10.3994916817,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Camden, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Camden, New Jersey",,22177,4236.3670053544,5.5112503946,122223,23347.6793297305,12621.5431765232,279907963.025755,534.6948906968,
Age group,<1,159,2424.1500228693,20.5911949686,3274,49916.1457539259,32951.4007954682,5239272.72647945,798.7913899191,
,1-17,529,462.4772695482,5.5122873346,2916,2549.3075954679,9746.1733203085,5155725.68644319,45.0738362572,
,18-44,6426,3526.3516034857,4.8451602863,31135,17085.738744869,9310.4776299892,59829129.2503108,328.3201771973,
,45-64,8395,5890.4426778184,5.5547349613,46632,32719.8478799318,13478.3655915172,113150879.140787,793.9353990751,
,65-84,6664,8565.4426035655,5.7408463385,38257,49172.8898086143,14480.4052876687,96497420.8370243,1240.3108036789,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,9836,3884.5687520487,5.8348922326,57392,22666.0400383875,13347.9379890849,131290318.060639,518.5098281668,
,Female,12334,4563.3481819123,5.2519863791,64778,23966.6424945612,12035.6301086867,148447461.760542,549.2277077465,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,9475,†,5.6012664908,53072,†,13584.5981166557,128714067.155313,†,
