,Opioid-related disorders,6239.8204327442,209.3530647367,5.751088597,35885.7601382059,1204.0080233585,11511.1386807969,71827438.3445896,24.0989216143,
,Sedative-related disorders,940.6496900936,31.5598657986,6.3187733146,5943.7521601045,199.419637819,10658.4932586209,10025908.3805866,3.3638061686,
,Stimulant-related disorders,5930.8608163118,198.9871185886,5.182093189,30734.2734410321,1031.1697919337,7073.7079949879,41953177.5735051,14.0757677166,
,Miscellaneous substances and addictive disorders,4939.0035377502,165.7091800186,5.070230676,25041.8872460838,840.183767829,6451.5781185331,31864367.1515072,10.6908571985,
Type of mental disorder,Anxiety disorders,38443.015241576,1289.8068374389,5.2718710048,202666.617389961,6799.6952681142,9516.668800999,365849443.765836,122.7466448917,
,Bipolar disorders,8487.1700264406,284.7541968761,5.7310548878,48640.4372637217,1631.9419318315,7513.4933430447,63760782.0016073,21.3924667639,
,Depressive disorders,40266.2712241654,1350.9791471021,5.4397735211,219039.395998299,7349.0205919527,8850.502913117,356376750.769835,119.5684487699,
,"Disruptive, impulse-control, and conduct disorders",1198.3215148667,40.2050482672,9.8819912612,11841.8027380281,397.3059356331,8542.4020066457,10236544.1132042,3.43447685,
,Eating disorders,206.5884664297,6.9312777591,6.5399836751,1351.0851979143,45.3304433922,9147.425156684,1889752.53489978,0.6340334454,
,Obsessive-compulsive disorders,368.6360656346,12.3681588188,6.8548026372,2526.9274748765,84.7812876885,9461.8742298196,3487988.08960992,1.170259632,
,Personality disorders,3330.2957000993,111.7352043717,6.5896367704,21945.4390016729,736.2944112756,4791.9422514729,15958584.6752044,5.3542864681,
,Schizophrenia and related disorders,8919.4340868593,299.2571472093,7.9448890875,70863.914543565,2377.5648432261,7112.6190283078,63433423.9889039,21.2826344315,
,Somatic symptom disorders,446.4473826257,14.9788169073,5.8332301047,2604.2303124854,87.374885716,8225.8809933078,3672423.03925276,1.232139653,
,Suicidal ideation or attempt,8655.336513641,290.3963735799,5.5637679416,48156.2838186213,1615.6980336894,4669.2217353251,40409016.1543102,13.5576840168,
,Trauma- and stressor-related disorders,4962.5400209117,166.4988557691,5.7495163994,28532.205233083,957.2879017315,8082.8561793303,40111497.2732001,13.457863052,
,Miscellaneous mental disorders,3585.410313512,120.2945894939,5.6290233636,20182.3584227673,677.1410547728,5364.3611631796,19233435.8398676,6.4530362402,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Arkansas, Arkansas",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,90133.5433804187,3024.0827834163,5.477241976,493683.227248592,16563.6331602181,9418.9749724995,848946751.332917,284.8312801714,
"Arkansas, Arkansas",,330,1751.9643236356,6.2393939394,2059,10931.1955829263,10082.8773515681,3327349.52601748,176.6484139954,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,45-64,121,2380.4839661617,6.0495867769,732,14400.9443242179,10481.1809980705,1268222.90076654,249.5028331235,
,65-84,93,2721.6856892011,6.8494623656,637,18642.0836991513,12132.4520398454,1128318.03970562,330.2072109177,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,144,1575.3199868723,6.1875,891,9747.2924187726,10147.7910999228,1461281.91838889,159.8601814231,
,Female,186,1918.5146982981,6.2795698925,1168,12047.4471376998,10032.6215463902,1866067.60762858,192.4773189921,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,149,†,7.4832214765,1115,†,12196.5264077814,1817282.43475943,†,
,Medicaid,56,†,6.1964285714,347,†,8595.9541570809,481373.432796528,†,
,Private insurance,110,†,4.7818181818,526,†,8185.4782219244,900402.604411682,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,322,134.7844286312,6.1242236025,1972,825.4499790707,9925.0968107898,3195881.17307432,†,
Type of substance use disorder,Alcohol-related disorders,67,355.701847526,4.2388059701,284,1507.7511148864,7522.9508206235,504037.704981772,26.7592750574,
,Cannabis-related disorders,22,116.7976215757,6.5,143,759.1845402421,9469.2729050144,208324.003910317,11.0598855336,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,15,79.6347419834,3.8666666667,58,307.921002336,4324.5998943129,64868.9984146932,3.4438839677,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,33,175.1964323636,5.4545454545,180,955.6169038012,7345.3297450819,242395.881587702,12.8687556587,
,Miscellaneous substances and addictive disorders,11,58.3988107879,9.6363636364,106,562.7521766829,13403.6218085603,147439.839894164,7.8275557387,
Type of mental disorder,Anxiety disorders,84,445.9545551072,5.5119047619,463,2458.0590358887,11692.079850505,982134.707442425,52.1413626801,
,Bipolar disorders,27,143.3425355702,9.5555555556,258,1369.7175621151,9033.481439784,243903.998874168,12.948821346,
,Depressive disorders,127,674.2408154598,6.094488189,774,4109.1526863453,10869.3096331018,1380402.32340393,73.2853219051,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,21,111.4886387768,7.9047619048,166,881.2911446167,5008.9130328754,105187.173690383,5.5843689579,
,Schizophrenia and related disorders,33,175.1964323636,8.7878787879,290,1539.6050116798,6220.7995848755,205286.38630089,10.8986189372,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,29,153.960501168,8.3793103448,243,1290.0828201317,7331.6878552541,212618.947802368,11.287903366,
,Trauma- and stressor-related disorders,18,95.5616903801,5.5,99,525.5892970907,10766.5477906431,193797.860231577,10.2886950643,
,Miscellaneous mental disorders,24,127.4155871735,8.0833333333,194,1029.9426629858,7357.4620247159,176579.08859318,9.3745534399,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Baxter, Arkansas",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,90133.5433804187,3024.0827834163,5.477241976,493683.227248592,16563.6331602181,9418.9749724995,848946751.332917,284.8312801714,
"Baxter, Arkansas",,1436,3607.0432794956,5.5341225627,7947,19961.8195975986,9700.3691281047,13929730.0679583,349.8965127216,
Age group,<1,25,7163.323782235,5.72,143,40974.2120343839,12202.9651873992,305074.12968498,874.1379074068,
,1-17,28,422.5139580504,7.7142857143,216,3259.3933906745,13447.5752873051,376532.108044543,56.8178826082,
,18-44,282,2890.528905289,4.3758865248,1234,12648.6264862648,6677.2109339937,1882973.48338622,193.0067121142,
,45-64,520,4852.5569242254,5.1134615385,2659,24813.3631952221,9907.9190233957,5152117.89216575,480.7874106164,
,65-84,581,4699.5065922511,6.3597246127,3695,29887.5677424573,10693.6875295642,6213032.45467682,502.5505504066,
Sex,Male,626,3273.887348988,5.4888178914,3436,17969.7714554678,10050.6016678323,6291676.64406302,329.0453765003,
,Female,810,3914.9347510875,5.5691358025,4511,21802.8032866118,9429.6955850559,7638053.42389529,369.1664293811,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,865,†,5.7248554913,4952,†,9741.2710042336,8426199.41866203,†,
,Medicaid,231,†,5.5411255411,1280,†,8133.7644413006,1878899.58594044,†,
,Private insurance,278,†,5.1798561151,1440,†,11429.9681921137,3177531.15740762,†,
,Uninsured,19,†,5.2105263158,99,†,10212.8781799461,194044.685418976,†,
,Other,43,†,4.0930232558,176,†,5885.0051285869,253055.220529235,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,17,52.1472392638,1.7058823529,29,88.9570552147,3916.9885303555,66588.8050160443,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,1397,260.1005399367,5.6256263422,7859,1463.2284490784,9878.998885893,13800961.4435925,†,
Type of substance use disorder,Alcohol-related disorders,234,587.7772474944,5.1452991453,1204,3024.2897691593,8206.9429241914,1920424.6442608,48.2385432232,
,Cannabis-related disorders,79,198.4376177438,6.5316455696,516,1296.1241867825,9566.3388308901,755740.767640319,18.9832148813,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,111,278.817412273,5.0900900901,565,1419.2057471553,12144.7566806091,1348067.99154761,33.8616963037,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,65,163.2714576373,5.9846153846,389,977.116877245,6672.128104527,433688.326794255,10.8936808117,
,Miscellaneous substances and addictive disorders,74,185.8782748487,5.0675675676,375,941.9507171385,7574.8368329021,560537.925634758,14.0799760276,
Type of mental disorder,Anxiety disorders,670,1682.9519479541,5.4910447761,3679,9241.1645022732,9840.700616031,6593269.41274078,165.6142627098,
,Bipolar disorders,136,341.6141267489,4.6691176471,635,1595.0365476878,7702.9463911255,1047600.7091930599,26.314353048,
,Depressive disorders,583,1464.4193815779,5.7941680961,3378,8485.0920599834,9250.4063216776,5392986.88553804,135.4647430494,
,"Disruptive, impulse-control, and conduct disorders",11,27.6305543694,13.9090909091,153,384.3158925925,15834.2842868244,174177.127155069,4.3751005289,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,12,30.1424229484,7.75,93,233.6037778503,7341.7289639094,88100.7475669128,2.212974996,
,Personality disorders,52,130.6171661099,7.8653846154,409,1027.3542488257,6303.334421408,327773.389913216,8.2332367917,
,Schizophrenia and related disorders,92,231.0919092713,7.097826087,653,1640.2501821105,7411.6802075612,681874.579095634,17.1277933007,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,109,273.7936751149,4.9541284404,540,1356.4090326794,4526.4078580891,493378.456531715,12.3930184254,
,Trauma- and stressor-related disorders,109,273.7936751149,6.9082568807,753,1891.4370400141,9341.2587979854,1018197.20898041,25.575775765,
,Miscellaneous mental disorders,45,113.0340860566,6.7555555556,304,763.6080480269,7569.5671528611,340630.52187875,8.5561910497,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Benton, Arkansas",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,90133.5433804187,3024.0827834163,5.477241976,493683.227248592,16563.6331602181,9418.9749724995,848946751.332917,284.8312801714,
"Benton, Arkansas",,5768,2407.3254814234,4.765776699,27489,11472.7756863465,9843.3248590447,56776297.7869698,236.9608675511,
Age group,<1,50,1435.956346927,11.16,558,16025.2728317059,20064.8032427309,1003240.16213654,288.1218156624,
,1-17,93,154.1572735711,9.6129032258,894,1481.8989523936,30072.47703539,2796740.36429127,46.3589106931,
,18-44,1565,1805.2415447792,4.0677316294,6366,7343.2381303927,6682.5989931471,10458267.4242752,120.6370532953,
,45-64,1959,3454.1126686062,4.7702909648,9345,16477.1224543771,11074.1548212038,21694269.2947383,382.5137846203,
,65-84,2100,6484.4835572024,4.9123809524,10316,31854.2535124286,9904.3792390342,20799196.4019717,642.2478431981,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,2326,1961.3795429632,5.098022356,11858,9999.15675858,11154.4726661623,25945303.4214935,218.7815449995,
,Female,3434,2837.7351006512,4.5433896331,15602,12892.9362377284,8955.3666044774,30752728.9197753,254.1295815272,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,2329,†,5.0017174753,11649,†,9981.936873433,23247930.9782253,†,
,Medicaid,960,†,4.85625,4662,†,6988.1400445584,6708614.44277602,†,
,Private insurance,1497,†,4.7481629927,7108,†,11864.326163978,17760896.2674751,†,
,Uninsured,200,†,3.195,639,†,7205.1778266424,1441035.56532848,†,
,Other,782,†,4.3874680307,3431,†,9741.458482308,7617820.53316482,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,162,51.2658227848,2.2407407407,363,114.8734177215,3239.2437658741,524757.490071608,†,
,Neonatal birth hospitalization,43,13.2634176434,6.7906976744,292,90.0678593461,4259.4590457225,183156.738966068,†,
,Nonmaternal/nonneonatal hospitalization,5563,329.4054950261,4.8236563006,26834,1588.9388915206,10078.803443813,56068383.5579321,†,
Type of substance use disorder,Alcohol-related disorders,841,350.9987395765,4.7538644471,3998,1668.6004290448,10025.6425845456,8431565.41360286,35.1898791062,
,Cannabis-related disorders,237,98.9140324371,3.9240506329,930,388.1436715887,6260.5167460837,1483742.46882184,6.192529565,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,439,183.2205073413,6.3553530752,2790,1164.4310147661,13546.6691189645,5946987.74322541,24.8202758876,
,Sedative-related disorders,57,23.7894508393,10.701754386,610,254.5888598593,22381.1252923004,1275724.14166112,5.3243467987,
,Stimulant-related disorders,207,86.3932688375,4.3961352657,910,379.7964958556,7853.3467833841,1625642.78416051,6.7847629993,
,Miscellaneous substances and addictive disorders,304,126.877071143,4.7565789474,1446,603.5008055025,6019.3876116937,1829893.8339549,7.6372227025,
Type of mental disorder,Anxiety disorders,2808,1171.9434729259,4.7086894587,13222,5518.3178771463,9778.837634373,27458976.0773193,114.6024493841,
,Bipolar disorders,491,204.9231642474,4.7352342159,2325,970.3591789718,7259.8855211209,3564603.79087034,14.8771871306,
,Depressive disorders,2796,1166.9351674861,4.5883404864,12829,5354.295873991,9087.8214315732,25409548.7226788,106.0489842434,
,"Disruptive, impulse-control, and conduct disorders",35,14.6075575329,9.5428571429,334,139.3978347426,9000.1402888107,315004.910108373,1.3147006707,
,Eating disorders,23,9.5992520931,4.9130434783,113,47.161542892,4789.8387343422,110166.290889871,0.459788695,
,Obsessive-compulsive disorders,33,13.7728399596,8.0909090909,267,111.4347960368,9948.1093923651,328287.609948048,1.3701371856,
,Personality disorders,190,79.2981694644,5.4578947368,1037,432.8010617608,3490.1568014539,663129.792276248,2.767630455,
,Schizophrenia and related disorders,275,114.77366633,6.3345454545,1742,727.0390063522,6827.6515683034,1877604.18128344,7.8363460292,
,Somatic symptom disorders,28,11.6860460263,5.2142857143,146,60.9343828516,7392.3729155554,206986.441635551,0.8638761013,
,Suicidal ideation or attempt,327,136.476323236,4.2629969419,1394,581.7981485964,5319.991253291,1739637.13982616,7.260528459,
,Trauma- and stressor-related disorders,359,149.831804409,4.7966573816,1722,718.6918306191,7292.4500245516,2617989.558814,10.9264094574,
,Miscellaneous mental disorders,183,76.3766579578,3.2349726776,592,247.0764016995,3965.127937809,725618.412619043,3.0284322026,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Boone, Arkansas",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,90133.5433804187,3024.0827834163,5.477241976,493683.227248592,16563.6331602181,9418.9749724995,848946751.332917,284.8312801714,
"Boone, Arkansas",,1108,2996.4572572139,4.9864620939,5525,14941.7205289774,10185.0838761707,11285072.9347971,305.1916849608,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,19,245.3829265143,8.5263157895,162,2092.2123208059,18361.3027216487,348864.751711326,45.0555019645,
,18-44,307,2672.3537604457,5.0586319218,1553,13518.4540389972,6854.7487386047,2104407.86275164,183.1831356852,
,45-64,375,3828.8748213192,4.8586666667,1822,18603.2264651827,10791.5952204628,4046848.20767355,413.196672215,
,65-84,402,5343.6129203775,4.7910447761,1926,25601.4887677788,11548.497947701,4642496.17497583,617.1070284429,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,480,2630.7135810589,5.3208333333,2554,13997.5885125506,10295.8188397786,4941993.04309375,270.8535044993,
,Female,628,3352.7307671774,4.7308917197,2971,15861.4062249746,10100.4456874258,6343079.89170343,338.6407501844,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,519,†,5.1965317919,2697,†,11236.1815735128,5831578.23665317,†,
,Medicaid,176,†,6.1647727273,1085,†,7322.3122163465,1288726.95007697,†,
,Private insurance,359,†,4.1922005571,1505,†,10488.1244156524,3765236.66521923,†,
,Other,26,†,4.8461538462,126,†,9787.3131169357,254470.141040327,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,29,66.5137614679,1.8620689655,54,123.8532110092,5243.2321770109,152053.733133314,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,1076,310.623556582,5.0706319703,5456,1575.0577367206,10334.0923182495,11119483.3344365,†,
Type of substance use disorder,Alcohol-related disorders,142,384.0225004733,5.1971830986,738,1995.8352489385,10572.0659848114,1501233.36984323,40.5991121466,
,Cannabis-related disorders,65,175.7849473997,6.0923076923,396,1070.9359872353,8372.5660205688,544216.791336969,14.7177107753,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,92,248.8033101658,4.8043478261,442,1195.3376423182,8710.896659398,801402.49266462,21.6729992337,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,74,200.1244016551,5.4459459459,403,1089.8666738783,7287.3433338518,539263.406705037,14.5837522434,
,Miscellaneous substances and addictive disorders,66,178.4893312059,5.8787878788,388,1049.3009167861,8527.1650933294,562792.896159741,15.2200799459,
Type of mental disorder,Anxiety disorders,456,1233.1990156043,4.8486842105,2211,5979.3925953971,10718.8279193245,4887785.53121201,132.1844803854,
,Bipolar disorders,111,300.1866024826,5.5045045045,611,1652.3785055575,7031.6045998858,780508.110587326,21.1079349484,
,Depressive disorders,543,1468.4804067393,4.5009208103,2444,6609.51402223,8982.7423270223,4877629.08357311,131.9098110602,
,"Disruptive, impulse-control, and conduct disorders",17,45.9745247045,9,153,413.7707223409,9245.9974204132,157181.956147024,4.2508033682,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,59,159.5586445628,6.3728813559,376,1016.8483111123,3536.8851997755,208676.226786754,5.6434060845,
,Schizophrenia and related disorders,94,254.2120777781,7.6276595745,717,1939.0431890094,6956.3000544721,653892.205120381,17.683754905,
