,Sedative-related disorders,325.4567072064,10.4004234608,6.9136103196,2250.080849519,71.9044749666,18968.4710893263,6173416.14147174,1.9728013173,
,Stimulant-related disorders,2643.1357572946,84.4650933029,4.8471955538,12811.795890916,409.4188247114,10608.8887994728,28040733.3310488,8.9608078229,
,Miscellaneous substances and addictive disorders,2090.5036357875,66.8049623102,4.7001875695,9825.7592028724,313.9958534298,9281.5270616491,19403066.0680376,6.2005206553,
Type of mental disorder,Anxiety disorders,34891.3847271193,1115.0029120943,4.9738547103,173544.678272926,5545.8624862883,12366.7870746156,431494325.65878,137.8900360145,
,Bipolar disorders,5275.3852726986,168.5823015475,4.9816907029,26280.3377670375,839.8248842871,10618.3966631357,56016133.3763788,17.9007374822,
,Depressive disorders,40299.9322226651,1287.8405983856,5.1204398805,206353.380134323,6594.3103596987,12281.1862566973,494930973.758827,158.1621025771,
,"Disruptive, impulse-control, and conduct disorders",464.6306558053,14.8479212941,6.2048110881,2882.9454450347,92.1285466817,9967.4153337202,4631166.72319017,1.4799539838,
,Eating disorders,219.1994960252,7.0048259279,7.0404980502,1543.2736243802,49.3174632879,13318.1853611084,2919339.51912461,0.9329157013,
,Obsessive-compulsive disorders,328.364836919,10.4933568059,5.1312300728,1684.9155260364,53.8438280067,10666.0922589844,3491703.5529257,1.1158226193,
,Personality disorders,1493.5581480084,47.7287358308,5.4472426786,8135.7736868257,259.9900068139,8922.6552984018,13326504.5227981,4.2586705765,
,Schizophrenia and related disorders,3238.635556051,103.4951207712,6.47932769,20984.1810361529,670.5788017934,11598.1034444684,37562030.1980133,12.003471167,
,Somatic symptom disorders,308.1206868251,9.8464267261,5.2784725739,1626.4065948476,51.9740934241,9939.3144267949,3062508.38775426,0.9786673121,
,Suicidal ideation or attempt,3414.9526552744,109.1295798397,4.2533351899,14524.9383006031,464.1646821937,7183.0906849394,24529914.6076104,7.838876684,
,Trauma- and stressor-related disorders,3306.0923162182,105.6507957212,5.8269868377,19264.5564108533,615.6257960611,11829.2600549566,39108625.7742386,12.497707376,
,Miscellaneous mental disorders,3214.2990258346,102.7174129711,3.9615979036,12733.7602824249,406.9250878937,6941.2397934243,22311220.3060881,7.1298619439,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Adair, Iowa",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,78699.1889691093,2514.942458326,5.1282620746,403590.066094941,12897.2840289263,12465.0983441134,980980665.003572,313.486067332,
"Adair, Iowa",,156,2554.0275049116,5.5064102564,859,14063.523248199,13006.484561622,2029011.59161304,332.1891931259,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,45-64,61,3540.3366221706,5.3770491803,328,19036.5641323273,13953.767300058,851179.805303539,494.0103338964,
,65-84,61,4338.5490753912,5.5737704918,340,24182.0768136557,13090.1820108321,798501.10266076,567.923970598,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,56,1850.6278916061,5.3571428571,300,9914.0779907469,14831.9047195176,830586.664292986,274.4833655958,
,Female,100,3244.6463335496,5.59,559,18137.5730045425,11984.2492732005,1198424.92732005,388.8465046464,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,80,†,5.0375,403,†,11992.1702390088,959373.619120707,†,
,Medicaid,37,†,4.972972973,184,†,10424.1176013261,385692.351249068,†,
,Private insurance,36,†,6.7777777778,244,†,18196.1205889154,655060.341200955,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,152,286.7924528302,5.5,836,1577.358490566,13179.381381223,2003265.96994589,†,
Type of substance use disorder,Alcohol-related disorders,37,605.7629338572,5.7027027027,211,3454.4859201048,14243.3881544857,527005.361715973,86.2811659653,
,Cannabis-related disorders,*,*,*,*,*,*,*,*,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,*,*,*,*,*,*,*,*,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,*,*,*,*,*,*,*,*,
Type of mental disorder,Anxiety disorders,71,1162.4099541585,5.0704225352,360,5893.909626719,14405.1361973167,1022764.67000948,167.4467370677,
,Bipolar disorders,*,*,*,*,*,*,*,*,
,Depressive disorders,66,1080.5500982318,5.5,363,5943.025540275,14043.3344098908,926860.071052796,151.7452637611,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,*,*,*,*,*,*,*,*,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,*,*,*,*,*,*,*,*,
,Trauma- and stressor-related disorders,15,245.57956778,7.8,117,1915.5206286837,11959.708206628,179395.623099421,29.3705997216,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Adams, Iowa",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,78699.1889691093,2514.942458326,5.1282620746,403590.066094941,12897.2840289263,12465.0983441134,980980665.003572,313.486067332,
"Adams, Iowa",,141,3964.014619061,8.219858156,1159,32583.6378971043,19695.9180598815,2777124.4464433,780.749071252,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,17,1684.8364717542,6,102,10109.0188305252,14914.1999892345,253541.399816987,251.279880889,
,45-64,46,4595.4045954046,5.8695652174,270,26973.0269730269,19525.0982157277,898154.517923478,897.2572606628,
,65-84,76,9189.8428053204,10.3026315789,783,94679.5646916566,21177.3677031513,1609479.9454395,1946.1668022243,
Sex,Male,65,3661.9718309859,10.4,676,38084.5070422535,21029.1899925435,1366897.34951532,770.0830138115,
,Female,75,4208.7542087542,6.36,477,26767.6767676767,18316.6355363707,1373747.6652278,770.9021690392,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,94,†,8.9255319149,839,†,17034.4730903935,1601240.47049699,†,
,Medicaid,15,†,6.6,99,†,22371.0493221849,335565.739832774,†,
,Private insurance,30,†,4.4,132,†,18203.7286612852,546111.859838558,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,139,354.5918367347,8.3237410072,1157,2951.5306122449,19877.3141306892,2762946.6641658,†,
Type of substance use disorder,Alcohol-related disorders,22,618.498734889,4.5909090909,101,2839.4714647175,15841.3229827244,348509.105619938,97.9783822378,
,Cannabis-related disorders,*,*,*,*,*,*,*,*,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,*,*,*,*,*,*,*,*,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,*,*,*,*,*,*,*,*,
Type of mental disorder,Anxiety disorders,59,1658.7011526567,5.1355932203,303,8518.4143941524,18034.8894666841,1064058.47853436,299.1449194643,
,Bipolar disorders,*,*,*,*,*,*,*,*,
,Depressive disorders,80,2249.0863086871,6.65,532,14956.4239527691,19833.4215646551,1586673.7251724,446.0707689549,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,*,*,*,*,*,*,*,*,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,*,*,*,*,*,*,*,*,
,Trauma- and stressor-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Allamakee, Iowa",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,78699.1889691093,2514.942458326,5.1282620746,403590.066094941,12897.2840289263,12465.0983441134,980980665.003572,313.486067332,
"Allamakee, Iowa",,249,1741.2587412587,5.4738955823,1363,9531.4685314685,15557.8141168335,3873895.71509154,270.9017982581,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,53,1316.4431197218,5.2075471698,276,6855.4396423249,10586.182817046,561067.689303442,139.3610753362,
,45-64,61,1511.3974231913,4.5245901639,276,6838.4539147671,18436.4893094553,1124625.84787677,278.64862435,
,65-84,126,4147.465437788,6.2142857143,783,25773.5352205398,16779.3518762428,2114198.3364066,695.917819752,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,102,1401.0989010989,7.0980392157,724,9945.0549450549,18035.7318297326,1839644.64663273,252.6984404715,
,Female,147,2094.0170940171,4.3469387755,639,9102.5641025641,13838.4426425769,2034251.06845881,289.7793544813,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,142,†,5.9929577465,851,†,17521.4966899164,2488052.52996813,†,
,Medicaid,36,†,4.2777777778,154,†,12530.6230090696,451102.428326506,†,
,Private insurance,56,†,4.7142857143,264,†,12480.5106344888,698908.595531374,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,11,56.7010309278,2.3636363636,26,134.0206185567,7891.6417038142,86808.0587419557,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,237,211.0418521817,5.6329113924,1335,1188.7800534283,15966.0273925181,3783948.49202679,†,
Type of substance use disorder,Alcohol-related disorders,57,398.6013986014,6.4385964912,367,2566.4335664336,16832.7116371584,959464.563318032,67.0954240083,
,Cannabis-related disorders,*,*,*,*,*,*,*,*,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,29,202.7972027972,5.3448275862,155,1083.9160839161,12426.7792754482,360376.598988,25.2011607684,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,*,*,*,*,*,*,*,*,
Type of mental disorder,Anxiety disorders,84,587.4125874126,5.4523809524,458,3202.7972027972,15178.8701977418,1275025.09661031,89.1625941686,
,Bipolar disorders,*,*,*,*,*,*,*,*,
,Depressive disorders,131,916.0839160839,5.3435114504,700,4895.1048951049,14968.9890254646,1960937.56233586,137.1285008626,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,*,*,*,*,*,*,*,*,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,28,195.8041958042,5.0357142857,141,986.013986014,6456.0095439373,180768.267230244,12.6411375685,
,Trauma- and stressor-related disorders,19,132.8671328671,6.1578947368,117,818.1818181818,11868.1885381966,225495.582225736,15.768921834,
,Miscellaneous mental disorders,17,118.8811188811,3.7058823529,63,440.5594405594,10679.408495843,181549.944429332,12.6958003097,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Appanoose, Iowa",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,78699.1889691093,2514.942458326,5.1282620746,403590.066094941,12897.2840289263,12465.0983441134,980980665.003572,313.486067332,
"Appanoose, Iowa",,493,3810.480754367,4.8661257606,2399,18542.2785592827,12518.7373260314,6171737.50173352,477.0240764982,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,86,2352.2975929978,3.8488372093,331,9053.6105032823,10650.1789288183,915915.387878377,250.5239025926,
,45-64,194,5481.7745125742,5.5360824742,1074,30347.555806725,14738.2969319885,2859229.60480578,807.9202048053,
,65-84,204,7147.8626489138,4.5833333333,935,32761.0371408549,11281.4224958506,2301410.18915352,806.3805848471,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,195,3052.1208326812,5.6871794872,1109,17357.9589920175,13590.4795642261,2650143.51502409,414.797858041,
,Female,298,4550.3130248893,4.3288590604,1290,19697.6637654603,11817.4294856021,3521593.98670943,537.7300330905,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,285,†,4.5824561404,1306,†,11146.2219771555,3176673.26348933,†,
,Medicaid,111,†,5.3243243243,591,†,11821.1795006884,1312150.92457641,†,
,Private insurance,83,†,4.686746988,389,†,16784.9413528602,1393150.1322874,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,13,90.9090909091,2.0769230769,27,188.8111888112,7738.1604782143,100596.086216786,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,476,316.0690571049,4.9285714286,2346,1557.7689243028,12674.0851543738,6032864.53348195,†,
Type of substance use disorder,Alcohol-related disorders,40,309.1667954862,4.8,192,1484.0006183336,13361.1584693439,534446.338773758,41.3082654795,
,Cannabis-related disorders,14,108.2083784202,3.4285714286,48,371.0001545834,7656.0531320893,107184.74384925,8.2844909452,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,25,193.2292471789,6.68,167,1290.7713711547,11675.9214279956,291898.035699892,22.5612950765,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,*,*,*,*,*,*,*,*,
Type of mental disorder,Anxiety disorders,263,2032.7716803215,5.1863117871,1364,10542.5877260782,12919.3349984443,3397785.10459085,262.6205831342,
,Bipolar disorders,36,278.2501159375,6.8888888889,248,1916.8341320142,13734.9711834992,494458.962605972,38.2175732421,
,Depressive disorders,226,1746.7923944968,4.7610619469,1076,8316.5867985778,11929.7940187779,2696133.44824381,208.3887345992,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,15,115.9375483073,5.6,84,649.2502705209,9061.6649893192,135924.974839788,10.5058722244,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,16,123.6667181945,4.1875,67,517.8543824393,8398.8705064406,134381.92810305,10.3866075207,
,Trauma- and stressor-related disorders,16,123.6667181945,4.4375,71,548.7710619879,11851.7600636882,189628.161019011,14.656682719,
,Miscellaneous mental disorders,13,100.479208533,2.5384615385,33,255.0626062761,7972.8548193363,103647.112651371,8.01106142,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Audubon, Iowa",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,78699.1889691093,2514.942458326,5.1282620746,403590.066094941,12897.2840289263,12465.0983441134,980980665.003572,313.486067332,
"Audubon, Iowa",,138,2539.5656974604,5.5942028986,772,14206.8457857931,15051.6075362705,2077121.84000533,382.2454619075,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,16,1137.9800853485,5.3125,85,6045.5192034139,15029.2382772876,240467.812436602,171.0297385751,
,45-64,54,3450.4792332268,5.5,297,18977.6357827476,13388.9841815718,723005.145804877,461.9841187252,
,65-84,65,4666.1880832735,5.7538461538,374,26848.528356066,16871.8597763536,1096670.88546298,787.2727103108,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,62,2395.6723338485,6.2903225806,390,15069.5517774343,16823.064860166,1043030.02133029,403.0255105604,
