,Opioid-related disorders,34435.5113650617,346.9176206556,5.6294744895,193853.832762069,1952.9638954343,11804.4929249788,406493750.2769,40.9518659858,
,Sedative-related disorders,3230.7349631464,32.5477636879,6.0150685238,19433.0921854679,195.7770288785,9627.0063231219,31102305.9185417,3.1333752683,
,Stimulant-related disorders,13965.120995664,140.6904197421,5.3457892718,74654.5939986399,752.1013365085,9538.1754916976,133201774.819435,13.419299135,
,Miscellaneous substances and addictive disorders,12209.9723207234,123.0083241939,4.9615424497,60580.2959793847,610.311022159,7991.0038032621,97569935.2526255,9.8295998647,
Type of mental disorder,Anxiety disorders,179363.310042824,1806.9803608638,5.2937935623,949512.33601429,9565.7810015106,11695.0820723982,2097668631.72784,211.3278362351,
,Bipolar disorders,41143.7471670683,414.4991697883,5.7441539121,236336.016249735,2380.9470277176,9328.5616564101,383811982.223745,38.666810619,
,Depressive disorders,177560.557253308,1788.8186817256,5.2371623452,929913.464445191,9368.3338423786,11383.6922165726,2021294733.57478,203.6336130402,
,"Disruptive, impulse-control, and conduct disorders",1783.1919998202,17.9646156316,6.9352249416,12366.83763277,124.5886503938,10458.4015116841,18649337.9065432,1.8788116328,
,Eating disorders,1138.6640663523,11.4713739673,6.8161604386,7761.3169619724,78.190725413,9462.0828202298,10774133.700245,1.0854309054,
,Obsessive-compulsive disorders,2015.1299825368,20.3012550458,5.8705164695,11829.853750726,119.1788520983,9625.5354372988,19396705.0576711,1.9541044986,
,Personality disorders,8369.1522094285,84.3143097432,6.5220039476,54583.6437479763,549.8982609845,7609.6543151669,63686355.2247656,6.4160275097,
,Schizophrenia and related disorders,27586.6051755211,277.9188997079,7.9047510689,218065.246748662,2196.879719535,9857.7665659348,271942314.166897,27.3965963758,
,Somatic symptom disorders,1906.8610157534,19.2105085792,5.6488470307,10771.5661867085,108.5172243447,10021.5698416812,19109740.8477524,1.9251945342,
,Suicidal ideation or attempt,20455.9488535867,206.0817110949,6.1180947296,125151.432869222,1260.8274305077,6907.373213277,141296873.163428,14.2348329096,
,Trauma- and stressor-related disorders,20432.9039592832,205.8495472738,6.8972180797,140930.194608904,1419.7892191563,13015.9895877537,265954465.181602,26.7933556396,
,Miscellaneous mental disorders,12735.213236989,128.2998189828,4.2258984919,53817.7184125347,542.1820115537,6470.6776735047,82405459.9599063,8.3018677421,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Alcona, Michigan",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,391363.24769807,3942.7556415268,5.4018300708,2114077.76001213,21298.0959861228,11638.5304738508,4554893084.67923,458.8788168486,
"Alcona, Michigan",,415,4143.7843235147,4.6722891566,1939,19360.9585621567,11670.8393283441,4843398.32126281,483.6144105105,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,45-64,142,4370.5755617113,4.7042253521,668,20560.1723607263,13376.5039580932,1899463.56204923,584.6302130038,
,65-84,205,5802.4341919049,4.7902439024,982,27795.0750070761,11803.3865885477,2419694.25065229,684.8837392166,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,186,3699.2840095465,4.9731182796,925,18396.9769291965,12202.1561111546,2269601.03667477,451.3924098399,
,Female,229,4591.9390415079,4.4279475983,1014,20332.8654501704,11239.2894523495,2573797.28458804,516.1013203505,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,250,†,4.76,1190,†,11919.3706526546,2979842.66316365,†,
,Medicaid,73,†,4.602739726,336,†,11505.1565584246,839876.428764999,†,
,Private insurance,58,†,4.6206896552,268,†,13528.1492924414,784632.658961606,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,27,†,4.9259259259,133,†,6588.8290527457,177898.384424133,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,409,313.8910207214,4.7017114914,1923,1475.8250191865,11754.7135247,4807677.8316023,†,
Type of substance use disorder,Alcohol-related disorders,59,589.1163255117,5.1016949153,301,3005.4917623565,11553.1025077966,681633.047960001,68.0612129765,
,Cannabis-related disorders,13,129.8052920619,5.4615384615,71,708.9365951073,9566.1059465011,124359.377304514,12.4173117628,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,23,229.6555167249,6.8695652174,158,1577.6335496755,13799.5347139169,317389.298420089,31.6913927529,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,*,*,*,*,*,*,*,*,
Type of mental disorder,Anxiety disorders,182,1817.2740888667,4.4945054945,818,8167.7483774338,11286.1834691503,2054085.39138536,205.1008878068,
,Bipolar disorders,37,369.4458312531,5.5945945946,207,2066.8996505242,8421.1564618735,311582.789089319,31.1116114917,
,Depressive disorders,235,2346.4802795806,4.6127659574,1084,10823.7643534697,11748.2925671884,2760848.75328927,275.6713682765,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,11,109.8352471293,6,66,659.0114827758,3491.1678061451,38402.8458675959,3.8345327876,
,Schizophrenia and related disorders,15,149.7753369945,5.6666666667,85,848.7269096355,6770.0872188766,101551.308283148,10.1399209469,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,13,129.8052920619,5.2307692308,68,678.9815277084,8771.8846446012,114034.500379815,11.3863704823,
,Trauma- and stressor-related disorders,18,179.7304043934,5,90,898.652021967,7195.9133017408,129526.439431333,12.933244077,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Alger, Michigan",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,391363.24769807,3942.7556415268,5.4018300708,2114077.76001213,21298.0959861228,11638.5304738508,4554893084.67923,458.8788168486,
"Alger, Michigan",,300,3303.237172429,4.65,1395,15360.0528517947,11142.4658032982,3342739.74098947,368.0620723397,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,77,2917.7718832891,4.8311688312,372,14096.2485790072,7531.2109246559,579903.241198504,219.7435548308,
,45-64,103,3586.3509749304,4.2233009709,435,15146.2395543175,11220.2877645394,1155689.63974755,402.3988996336,
,65-84,116,5208.801077683,4.8879310345,567,25460.2604400538,13635.5087328427,1581719.01300975,710.2465258239,
Sex,Male,119,2381.9055244195,5.4789915966,652,13050.4403522818,11941.6506934564,1421056.43252131,284.4388375743,
,Female,180,4405.2863436123,4.1166666667,741,18135.0954478707,10655.7487895767,1918034.78212381,469.4162462369,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,154,†,5.1103896104,787,†,12850.8327084874,1979028.23710706,†,
,Medicaid,77,†,4.1818181818,322,†,8748.1006570558,673603.750593296,†,
,Private insurance,59,†,3.3898305085,200,†,9928.3219577611,585770.995507906,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,289,352.4390243902,4.7439446367,1371,1671.9512195122,11390.5017223755,3291854.99776653,†,
Type of substance use disorder,Alcohol-related disorders,53,583.5719004625,6.4528301887,342,3765.690376569,10162.7406149967,538625.252594825,59.306898546,
,Cannabis-related disorders,15,165.1618586214,5.9333333333,89,979.9603611539,8060.1586035752,120902.379053627,13.3123077575,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,26,286.2805549438,5.6538461538,147,1618.5862144902,11453.3193091624,297786.302038224,32.7886260778,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,15,165.1618586214,7.2666666667,109,1200.1761726492,8662.3966861854,129935.950292781,14.3069753681,
Type of mental disorder,Anxiety disorders,143,1574.5430521911,4.4405594406,635,6991.8520149747,10356.2854744953,1480948.82285283,163.0641734037,
,Bipolar disorders,23,253.2481832196,8.4347826087,194,2136.0933715041,9309.6332338984,214121.564379662,23.5764770293,
,Depressive disorders,152,1673.640167364,4.3026315789,654,7201.0570358952,10166.0066099225,1545233.00470823,170.1423700405,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,12,132.1294868972,4.5833333333,55,605.593481612,2539.0730629183,30468.8767550202,3.35486421,
,Schizophrenia and related disorders,*,*,*,*,*,*,*,*,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,16,176.1726491962,4.125,66,726.7121779344,2142.2869813202,34276.591701123,3.7741237284,
,Trauma- and stressor-related disorders,21,231.22660207,5.7619047619,121,1332.3056595463,8216.9659370828,172556.284678739,18.9998111296,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Allegan, Michigan",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,391363.24769807,3942.7556415268,5.4018300708,2114077.76001213,21298.0959861228,11638.5304738508,4554893084.67923,458.8788168486,
"Allegan, Michigan",,3114,3120.9597402207,5.0199100835,15632,15666.9372701123,13250.9904605896,41263584.2942762,413.5580774555,
Age group,<1,19,1583.3333333333,8.5263157895,162,13500,12584.5678909966,239106.789928935,199.2556582741,
,1-17,53,232.7419638152,5.4150943396,287,1260.3196908484,11969.1208286073,634363.403916188,27.8571668679,
,18-44,669,2127.9302776806,4.0717488789,2724,8664.3977225739,9148.4533154519,6120315.26803733,194.672708039,
,45-64,1205,4177.5004333507,5.0298755187,6061,21012.307158953,15099.4167862021,18194797.2273735,630.778201677,
,65-84,1168,7525.2883190516,5.477739726,6398,41221.5707750789,13762.8438399145,16075001.6050202,1035.6936798544,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,1299,2597.5324441601,5.5665896844,7231,14459.3973084844,14840.3186899293,19277573.9782182,385.4820927877,
,Female,1814,3644.9123935059,4.6300992282,8399,16876.3060601189,12115.8457450135,21978144.1814545,441.6119631381,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,1656,†,5.4359903382,9002,†,13491.1131959087,22341283.4524249,†,
,Medicaid,553,†,4.9222423146,2722,†,11092.8400679588,6134340.55758123,†,
,Private insurance,797,†,4.2885821832,3418,†,14422.3813206291,11494637.9125414,†,
,Uninsured,30,†,3.3,99,†,7158.512271824,214755.36815472,†,
,Other,76,†,5.1052631579,388,†,14036.1252773513,1066745.5210787,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,148,130.1671064204,2.6148648649,387,340.3693931398,5029.5877232776,744378.983045085,†,
,Neonatal birth hospitalization,18,15.6114483955,7.9444444444,143,124.0242844753,12033.5426280786,216603.767305415,†,
,Nonmaternal/nonneonatal hospitalization,2948,371.9873817035,5.1227951153,15102,1905.6151419558,13671.1674165284,40302601.5439257,†,
Type of substance use disorder,Alcohol-related disorders,430,430.9610431262,5.2906976744,2275,2280.0845886327,12478.4626264671,5365738.92938086,53.7773127011,
,Cannabis-related disorders,221,221.4939314672,4.9411764706,1092,1094.4406025437,12141.7968985963,2683337.1145898,26.8933433015,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,182,182.4067670906,5.9835164835,1089,1091.4338975916,13283.6163388745,2417618.17367516,24.2302151165,
,Sedative-related disorders,14,14.0312897762,3.7857142857,53,53.1184541528,5880.7333811379,82330.2673359309,0.8251427417,
,Stimulant-related disorders,57,57.1273940888,6.5263157895,372,372.8314140533,10218.691050688,582465.389889217,5.8376719072,
,Miscellaneous substances and addictive disorders,74,74.1653888171,5,370,370.8269440853,9075.5481058826,671590.559835311,6.73091554,
Type of mental disorder,Anxiety disorders,1522,1525.4016456698,5.1629434954,7858,7875.5625043848,14031.2309013943,21355533.4319221,214.0326270776,
,Bipolar disorders,280,280.625795524,5.5892857143,1565,1568.4977499825,10270.1276784167,2875635.74995668,28.8206274989,
,Depressive disorders,1638,1641.6609038155,4.8351648352,7920,7937.7010733937,13404.8704218724,21957177.751027,220.062516923,
,"Disruptive, impulse-control, and conduct disorders",15,15.0335247602,5.6,84,84.1877386572,7440.9182935859,111613.774403789,1.1186322941,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,47,47.1050442487,9.0638297872,426,426.9521031901,10260.8362036851,482259.3015732,4.833371434,
,Schizophrenia and related disorders,138,138.308427794,8.4782608696,1170,1172.6149312968,11917.79249971,1644655.36495998,16.4833114341,
,Somatic symptom disorders,13,13.0290547922,6.9230769231,90,90.2011485613,11248.3285470116,146228.27111115,1.4655508896,
,Suicidal ideation or attempt,180,180.4022971226,6.6166666667,1191,1193.6618659611,6981.0627665512,1256591.29797921,12.5939975944,
,Trauma- and stressor-related disorders,149,149.3330126181,6.0939597315,908,910.029365485,9841.4017775133,1466368.86484947,14.6964617582,
,Miscellaneous mental disorders,165,165.3687723624,3.6060606061,595,596.3298154885,5845.367060383,964485.564963191,9.6664117478,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Alpena, Michigan",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,391363.24769807,3942.7556415268,5.4018300708,2114077.76001213,21298.0959861228,11638.5304738508,4554893084.67923,458.8788168486,
"Alpena, Michigan",,1162,3999.0363767767,4.9810671256,5788,19919.4686306225,12171.4655301679,14143242.9460551,486.7413341382,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,12,230.4589975034,5.3333333333,64,1229.1146533512,12268.1505933519,147217.807120222,28.2730568696,
,18-44,294,3629.6296296296,4.4081632653,1296,16000,8609.7123208115,2531255.42231857,312.500669422,
,45-64,461,5186.7686768677,5.3123644252,2449,27554.00540054,13851.6638884418,6385617.05257169,718.4537637907,
,65-84,389,5900.197178826,4.9897172237,1941,29440.3154861216,12959.4084594758,5041209.89073611,764.6306523185,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,517,3610.8395027238,5.3597678917,2771,19353.261628719,12928.5755140181,6684073.54074737,466.8301117996,
,Female,645,4376.1449216365,4.6775193798,3017,20469.5026799647,11564.6037291592,7459169.40530773,506.083818801,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,653,†,5.2557427259,3432,†,12711.3144159839,8300488.31363749,†,
,Medicaid,204,†,4.7401960784,967,†,14059.9878358806,2868237.51851964,†,
,Private insurance,202,†,4.4851485149,906,†,12154.613296491,2455231.88589119,†,
,Other,95,†,4.8421052632,460,†,4604.8293381712,437458.787126267,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,42,177.2151898734,2.3571428571,99,417.7215189873,5641.6624033682,236949.820941462,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,1115,333.3333333333,5.0717488789,5655,1690.5829596412,12442.1153458095,13872958.6105776,†,
Type of substance use disorder,Alcohol-related disorders,176,605.7060260867,4.9034090909,863,2970.0244347317,13148.1202435159,2314069.1628588,79.6389566321,
,Cannabis-related disorders,30,103.2453453557,6.6333333333,199,684.8607908593,13371.9839147592,401159.517442778,13.8059509737,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,64,220.2567367588,4.359375,279,960.1817118078,14044.4825337185,898846.88215799,30.9339189234,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,26,89.4792993083,3.5384615385,92,316.6190590908,5400.7769004225,140420.199410985,4.8325773277,
Type of mental disorder,Anxiety disorders,406,1397.2536738135,4.6403940887,1884,6483.8076883367,12074.6493701929,4902307.64429835,168.7134819251,
,Bipolar disorders,167,574.73242248,5.1377245509,858,2952.8168771724,9418.0363777454,1572812.07508348,54.1285086239,
,Depressive disorders,587,2020.1672574595,4.7836456559,2808,9663.7643252917,12045.482525181,7070698.24228127,243.3388939767,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,89,306.2945245552,4.6853932584,417,1435.110300444,4794.3099822166,426693.588417282,14.6847089657,
,Schizophrenia and related disorders,88,302.8530130433,7.5909090909,668,2298.9296899198,11285.8173354808,993151.925522318,34.1794378471,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,58,199.6076676876,4.0862068966,237,815.6382283099,6663.8918066714,386505.72478694,13.3016390125,
,Trauma- and stressor-related disorders,48,165.1925525691,6.0416666667,290,998.0383384382,12157.8781456461,583578.150991013,20.083909247,
,Miscellaneous mental disorders,43,147.9849950098,2.976744186,128,440.5134735176,5877.9748734234,252752.919557205,8.6985208231,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
