,Opioid-related disorders,8903.7033836771,227.0401883618,5.3490729823,47626.559212133,1214.454537465,10058.7886074626,89560470.1599581,22.8374926013,
,Sedative-related disorders,1109.3187032509,28.2870976813,5.5755561258,6185.0686913439,157.7163007573,8680.6732532214,9629633.19660881,2.4555105225,
,Stimulant-related disorders,7837.5915275032,199.8548446672,4.8353157447,37897.2297138275,966.3612770831,7498.5031709514,58770204.9216049,14.9861218647,
,Miscellaneous substances and addictive disorders,5780.2384772903,147.3933234418,5.0883309245,29411.7661949728,749.9860057336,7305.5345487318,42227731.8957528,10.7678701666,
Type of mental disorder,Anxiety disorders,50887.8778830329,1297.6166076106,4.9850714333,253679.706333488,6468.7114819121,9393.9906647047,478040249.779844,121.8979829826,
,Bipolar disorders,11982.3507154647,305.5442265119,5.8415744795,69995.7941438546,1784.8593559497,7694.6233208114,92199675.2533565,23.5104773086,
,Depressive disorders,56015.8186994457,1428.3766519087,5.6219440147,314917.796666122,8030.2535689418,9312.3518054073,521639010.397152,133.015458932,
,"Disruptive, impulse-control, and conduct disorders",1417.0361114511,36.1337447796,26.1072007293,36994.8462023096,943.350928063,11172.989152418,15832529.1018276,4.0372193846,
,Eating disorders,377.2449249796,9.6195656049,10.5778614892,3990.4445639373,101.754432555,8042.2322215131,3033891.29107318,0.7736278046,
,Obsessive-compulsive disorders,439.4537415906,11.2058607489,6.9295843676,3045.2317780029,77.651957471,8413.4114883607,3697305.15810138,0.9427951756,
,Personality disorders,1336.8331456626,34.0886074166,6.6527687596,8893.6417883049,226.7836224802,5869.2532129571,7846212.2353677,2.000746686,
,Schizophrenia and related disorders,8886.1516577611,226.5926277248,7.7966925291,69282.5922425414,1766.6730477321,7665.3970580904,68115880.775147,17.3692246195,
,Somatic symptom disorders,465.9136382989,11.8805754911,5.0948047936,2373.7390377945,60.5292129622,8144.0389715588,3794418.82768731,0.967558698,
,Suicidal ideation or attempt,8449.8482010349,215.467097737,6.4126901867,54186.2586380878,1381.72374322,5508.7646656767,46548225.200193,11.8695753463,
,Trauma- and stressor-related disorders,6870.388716756,175.1916344418,7.2656506486,49917.844236364,1272.8812124198,8551.5849175909,58752712.528197,14.9816613878,
,Miscellaneous mental disorders,4303.5387492758,109.7381849051,7.9337771592,34143.3174329403,870.6383048973,5541.6667837483,23848777.7394357,6.081324542,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Adair, Oklahoma",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,123475.426267899,3148.5644601904,5.6822355696,701616.459105745,17890.8849687387,9717.7424535167,1199902391.80964,305.9693852243,
"Adair, Oklahoma",,1329,5740.076879886,4.7674943567,6336,27365.784131646,5524.4633971007,7342011.8547468,317.1084461947,
Age group,<1,14,4620.4620462046,13.3571428571,187,61716.1716171617,14664.3955421738,205301.537590434,677.5628303315,
,1-17,*,*,*,*,*,*,*,*,
,45-64,502,8438.3930072281,4.4760956175,2247,37771.0539586485,5711.8298374414,2867338.57839557,481.9866495874,
,65-84,471,13278.8271778968,5.2335456476,2465,69495.3481815618,5238.3557594663,2467265.56270863,695.5922082629,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,463,4001.382767263,5.161987041,2390,20655.0859908391,6742.6707929473,3121856.57713461,269.8000671623,
,Female,866,7477.119668451,4.5565819861,3946,34070.1087895009,4873.1585191826,4220155.27761218,364.3718941126,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,703,†,5.0327169275,3538,†,5244.2179999311,3686685.25395159,†,
,Medicaid,330,†,4.5212121212,1492,†,4899.1032833307,1616704.08349912,†,
,Private insurance,124,†,4.4838709677,556,†,5987.7864269524,742485.516942101,†,
,Uninsured,95,†,3.4315789474,326,†,5589.7568258574,531026.898456448,†,
,Other,77,†,5.5064935065,424,†,9936.494829838,765110.101897528,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,25,129.5336787565,2.96,74,383.4196891192,4505.4702432191,112636.756080478,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,1295,374.6022562916,4.7667953668,6173,1785.6522996818,5528.7125983796,7159682.81490163,†,
Type of substance use disorder,Alcohol-related disorders,128,552.8441238716,4.7421875,607,2621.6904936725,6004.2847842259,768548.452380921,33.1943356101,
,Cannabis-related disorders,71,306.65572496,3.6478873239,259,1118.6455318965,5512.492232746,391386.94852497,16.9043730197,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,223,963.1581220576,4.0044843049,893,3856.9515829482,4878.4781340563,1087900.62389456,46.987458381,
,Sedative-related disorders,13,56.1482313307,5.2307692308,68,293.6984408068,4244.306460846,55175.9839909979,2.38310301,
,Stimulant-related disorders,95,410.313998186,4.0526315789,385,1662.8514663327,6276.1814821487,596237.24080413,25.7520511728,
,Miscellaneous substances and addictive disorders,92,397.3567140327,4.5326086957,417,1801.0624973006,4333.027770489,398638.554884986,17.2175767669,
Type of mental disorder,Anxiety disorders,426,1839.9343497603,4.4131455399,1880,8119.8980693647,5425.1177113975,2311100.14505533,99.8186042869,
,Bipolar disorders,92,397.3567140327,5.6956521739,524,2263.2056320995,4110.962063176,378208.509812196,16.3351837694,
,Depressive disorders,663,2863.5597978664,4.7269984917,3134,13536.0428454196,4758.6251630774,3154968.48312033,136.266077101,
,"Disruptive, impulse-control, and conduct disorders",18,77.7437049194,7.8333333333,141,608.9923552023,3457.7858626459,62240.1455276267,2.6882108378,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,90,388.7185245972,5.5555555556,500,2159.5473588736,2889.3753304629,260043.779741657,11.2315371547,
,Schizophrenia and related disorders,149,643.5451129443,6.0536912752,902,3895.8234354079,5354.5680006983,797830.632104043,34.4590606878,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,26,112.2964626614,5.4230769231,141,608.9923552023,4052.4750879035,105364.352285492,4.550786174,
,Trauma- and stressor-related disorders,38,164.1255992744,4.2631578947,162,699.693344275,4901.9825090087,186275.335342331,8.0454081692,
,Miscellaneous mental disorders,35,151.1683151211,6.0285714286,211,911.3289854447,5090.0974427227,178153.410495293,7.6946145422,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Alfalfa, Oklahoma",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,123475.426267899,3148.5644601904,5.6822355696,701616.459105745,17890.8849687387,9717.7424535167,1199902391.80964,305.9693852243,
"Alfalfa, Oklahoma",,156,2588.7819449054,5.8333333333,910,15101.2280119482,10218.894509684,1594147.5435107,264.5448960356,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,36,1858.5441404233,4.5,162,8363.448631905,6449.2730641479,232173.830309325,119.8625866336,
,45-64,56,3142.5364758698,5.4285714286,304,17059.4837261503,11969.1908686294,670274.688643249,376.1361889132,
,65-84,61,5276.8166089965,6.0491803279,369,31920.4152249135,10683.6850890001,651704.790429011,563.7584692292,
Sex,Male,86,2405.5944055944,6.011627907,517,14461.5384615384,9546.3122049051,820982.849621842,229.6455523418,
,Female,70,2855.9771521828,5.6142857143,393,16034.2717258261,11045.209912698,773164.693888863,315.4486715173,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,60,†,4.95,297,†,8915.8262253672,534949.573522034,†,
,Medicaid,37,†,6.8378378378,253,†,8934.7308304477,330585.040726566,†,
,Private insurance,27,†,3.7777777778,102,†,10814.6876473339,291996.566478017,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,23,†,10.0434782609,231,†,15410.8470193109,354449.481444151,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,155,269.0972222222,5.8580645161,908,1576.3888888889,10278.611612789,1593184.7999823,†,
Type of substance use disorder,Alcohol-related disorders,36,597.4112180551,5.6944444444,205,3401.9249917026,9582.547160845,344971.697790418,57.2472117143,
,Cannabis-related disorders,17,282.1108529705,4.5882352941,78,1294.3909724527,4489.2269083674,76316.8574422464,12.664596323,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,*,*,*,*,*,*,*,*,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,13,215.7318287421,3.5384615385,46,763.358778626,4215.7418791788,54804.6444293246,9.094697051,
,Miscellaneous substances and addictive disorders,13,215.7318287421,8.3076923077,108,1792.2336541653,10630.8632737693,138201.222559001,22.9341557516,
Type of mental disorder,Anxiety disorders,58,962.495851311,5.9827586207,347,5758.3803518088,8401.7412227558,487300.990919839,80.8664107069,
,Bipolar disorders,14,232.3265847992,6.9285714286,97,1609.6913375373,9450.4583730979,132306.41722337,21.9559271861,
,Depressive disorders,64,1062.0643876535,5.5625,356,5907.7331563226,10334.1486744691,661385.515166025,109.7553128387,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,22,365.0846332559,6.0454545455,133,2207.1025555924,7210.6604085107,158634.528987236,26.3250131077,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,*,*,*,*,*,*,*,*,
,Trauma- and stressor-related disorders,13,215.7318287421,5.6923076923,74,1228.0119482244,7830.3109356464,101794.042163403,16.8924729777,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Atoka, Oklahoma",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,123475.426267899,3148.5644601904,5.6822355696,701616.459105745,17890.8849687387,9717.7424535167,1199902391.80964,305.9693852243,
"Atoka, Oklahoma",,476,3760.4676884184,5.7058823529,2716,21456.786222152,10829.8971716222,5155031.05369217,407.2547838278,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,101,2420.9012464046,4.603960396,465,11145.7334611697,7560.4497642526,763605.426189511,183.0310225766,
,45-64,194,5943.6274509804,4.8917525773,949,29074.7549019607,12038.3516536951,2335440.22081686,715.5147735346,
,65-84,175,7569.2041522491,5.7314285714,1003,43382.3529411764,9858.607144524,1725256.2502917,746.2181013372,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,212,3237.1354405253,7.2547169811,1538,23484.5014506031,13662.8143661541,2896516.64562469,442.28380602,
,Female,264,4321.4928793583,4.4621212121,1178,19283.0250450155,8554.9788184375,2258514.40806748,369.7028004694,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,266,†,5.3195488722,1415,†,9515.5190115096,2531128.05706154,†,
,Medicaid,67,†,8.1343283582,545,†,8144.7282385594,545696.791983477,†,
,Private insurance,68,†,4.8823529412,332,†,16076.9604791931,1093233.31258513,†,
,Uninsured,34,†,4.6176470588,157,†,15137.5497896903,514676.692849471,†,
,Other,41,†,6.512195122,267,†,11470.6390051841,470296.19921255,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,472,258.2056892779,5.7351694915,2707,1480.8533916849,10895.3654573749,5142612.49588096,†,
Type of substance use disorder,Alcohol-related disorders,52,410.8073945331,4.7307692308,246,1943.4349818297,9828.2241243378,511067.654465566,40.3750714541,
,Cannabis-related disorders,21,165.9029862538,6.7142857143,141,1113.9200505609,11097.6110079827,233049.831167636,18.4112680651,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,33,260.7046926845,5.303030303,175,1382.5248854479,11805.9779430264,389597.272119873,30.7787385148,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,38,300.2054036973,6.8157894737,259,2046.1368304629,10887.9148633405,413740.76480694,32.6861087697,
,Miscellaneous substances and addictive disorders,20,158.0028440512,8,160,1264.0227524095,16736.5302934139,334730.605868278,26.4441938591,
Type of mental disorder,Anxiety disorders,258,2038.2366882604,4.7325581395,1221,9646.0736293253,10226.1192650352,2638338.77037909,208.4325146452,
,Bipolar disorders,36,284.4051192921,5.1111111111,184,1453.626165271,5653.8378284098,203538.161822753,16.0798042205,
,Depressive disorders,214,1690.6304313478,5.7757009346,1236,9764.5757623637,9147.7565495578,1957619.90160536,154.6547560124,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,31,244.9044082793,6.7096774194,208,1643.2295781324,8774.5391038127,272010.712218193,21.4892330714,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,20,158.0028440512,5.75,115,908.5163532944,5475.1168360588,109502.336721175,8.6508403161,
,Trauma- and stressor-related disorders,32,252.8045504819,9.9375,318,2512.245220414,9339.5841061079,298866.691395453,23.6108936163,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Beckham, Oklahoma",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,123475.426267899,3148.5644601904,5.6822355696,701616.459105745,17890.8849687387,9717.7424535167,1199902391.80964,305.9693852243,
"Beckham, Oklahoma",,684,2780.6008374324,5.3903508772,3687,14988.4141631773,10130.0862911347,6928979.02313615,281.6772642439,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,25,420.7337596769,20.48,512,8616.6273981824,12891.2251479783,322280.628699458,54.2377362335,
,18-44,124,1347.0939706681,4.5967741935,570,6192.2868006518,9314.0054492211,1154936.67570341,125.4684058342,
,45-64,246,4191.5147384563,4.4552845528,1096,18674.3908672687,10480.5488039271,2578215.00576607,439.2937477877,
,65-84,285,8936.970837253,5.2596491228,1499,47005.3308247099,10061.767991235,2867603.87750197,899.2172710887,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,276,2111.5446408079,5.7173913043,1578,12072.5269680973,10183.4265675938,2810625.73265589,215.0275979386,
,Female,408,3539.2088827203,5.1691176471,2109,18294.587092297,10094.0031629418,4118353.29048025,357.2478565649,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,357,†,4.9859943978,1780,†,10133.6946948908,3617729.00607602,†,
,Medicaid,106,†,9.1320754717,968,†,11715.2764466307,1241819.30334285,†,
,Private insurance,113,†,4.1238938053,466,†,10270.2727931319,1160540.82562391,†,
,Other,43,†,5.023255814,216,†,8154.4069723238,350639.499809924,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,15,47.9233226837,2.3333333333,35,111.821086262,4312.4795354262,64687.193031393,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,665,312.5,5.4766917293,3642,1711.4661654135,10313.3067588564,6858348.99463953,†,
Type of substance use disorder,Alcohol-related disorders,101,410.5857961706,5.1881188119,524,2130.1678930038,9851.8024886842,995032.051357101,40.4501016853,
,Cannabis-related disorders,27,109.7605593723,4.8888888889,132,536.6071791536,7241.9675611094,195533.124149954,7.9488241046,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,44,178.8690597179,5.1818181818,228,926.8669458108,12470.2253292176,548689.914485577,22.3053747911,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,44,178.8690597179,3.0227272727,133,540.6723850563,6530.1569120206,287326.904128904,11.6804302666,
,Miscellaneous substances and addictive disorders,31,126.021382983,6.0322580645,187,760.193503801,13841.1231311514,429074.817065696,17.4427747903,
Type of mental disorder,Anxiety disorders,279,1134.1924468474,4.7240143369,1318,5357.9413797309,10460.4548404207,2918466.90047738,118.6416887059,
,Bipolar disorders,43,174.8038538152,5.5581395349,239,971.5842107403,9540.2128312018,410229.151741678,16.6766596911,
,Depressive disorders,303,1231.7573885117,5.8316831683,1767,7183.2188300337,9409.4268955264,2851056.34934449,115.9013110023,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,40,162.6082361072,6.05,242,983.7798284483,9484.4578444461,379378.313777843,15.4225096052,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,28,113.825765275,6.9642857143,195,792.7151510224,6174.2122834571,172877.943936798,7.0278443813,
,Trauma- and stressor-related disorders,19,77.2389121509,9.3684210526,178,723.6066506769,8955.115247986,170147.189711733,6.9168335994,
,Miscellaneous mental disorders,13,52.8476767348,2.6923076923,35,142.2822065938,4592.1595179311,59698.0737331039,2.4268496172,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
