,Opioid-related disorders,13395.8173117174,244.5961125873,6.0163946553,80594.5236778368,1471.5867444817,15761.3988387036,211136819.420388,38.5517688488,
,Sedative-related disorders,1138.6183890454,20.7901933268,9.5647456902,10890.5953294594,198.8529120218,14189.9462432895,16156933.7321749,2.9501172569,
,Stimulant-related disorders,7659.9930685874,139.8648909151,6.3680731792,48779.3964132411,890.6698605539,13136.299832624,100623965.664785,18.3730714312,
,Miscellaneous substances and addictive disorders,4805.7620897445,87.7490859884,6.1905554123,29750.336514713,543.2155791866,11505.1014909684,55290780.5839588,10.0956214004,
Type of mental disorder,Anxiety disorders,50322.4362832067,918.8444425878,5.258439984,264617.511045038,4831.6883560006,14556.6658373481,732526889.095882,133.7531150726,
,Bipolar disorders,11393.593549286,208.0372272707,5.6214659593,64048.6982913436,1169.4741913683,11984.1774265674,136542846.620838,24.9315504294,
,Depressive disorders,60484.2088961317,1104.3896781102,5.1647839127,312387.86907973,5703.9340428664,14157.9447412261,856332087.26821,156.3588803546,
,"Disruptive, impulse-control, and conduct disorders",868.8227809337,15.8639573681,9.9494044661,8644.2692568592,157.8369282878,11845.6870373008,10291802.7538181,1.8791947416,
,Eating disorders,631.861692705,11.5372515265,8.3258408939,5260.7799204243,96.0573205628,12330.5450835448,7791199.08846347,1.4226060009,
,Obsessive-compulsive disorders,658.8381654739,12.0298187374,6.3745017462,4199.7650362653,76.6841005477,12645.8570215149,8331573.24089961,1.5212736775,
,Personality disorders,2686.6359570805,49.05566385,6.5624132388,17630.8153724734,321.9235378851,9353.9080019681,25130545.5773106,4.5886216663,
,Schizophrenia and related disorders,6892.0510047875,125.8429287513,8.3464687064,57524.2880345237,1050.3440667474,12712.755429171,87616958.8292364,15.9981037571,
,Somatic symptom disorders,615.1278597286,11.2317061164,5.5877277357,3437.1670028017,62.7597157856,13206.8089251278,8123876.10795789,1.4833499658,
,Suicidal ideation or attempt,7033.2216274482,128.4205830079,5.2369322425,36832.5051095106,672.5298917564,9291.7446559289,65350899.4708058,11.9325126588,
,Trauma- and stressor-related disorders,10256.8453261845,187.281181567,6.1456744159,63035.2319093541,1150.9691661425,13189.1073050478,135278633.618325,24.700715999,
,Miscellaneous mental disorders,5508.6936375954,100.5840119969,4.0536191577,22330.1460632766,407.7292779893,6980.7402149925,38454759.2080355,7.0215085753,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Adams, Colorado",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,133693.611502955,2441.1304581448,5.3358279838,713366.113508459,13025.4522105968,14556.8449806348,1946157177.54974,355.3515765672,
"Adams, Colorado",,10546,2355.2375337228,5.2243504646,55096,12304.5863036215,14688.3258052805,154903083.942488,345.9449624415,
Age group,<1,99,1455.6682840759,14.1313131313,1399,20570.5043375974,30294.7883788584,2999184.04950698,440.9916261589,
,1-17,352,304.1299464317,6.3607954545,2239,1934.5083808536,12119.5491193984,4266081.29002825,36.8591782446,
,45-64,3838,3651.9687137229,5.2860865034,20288,19304.6225284031,16125.229824959,61888632.0681928,588.8883482234,
,65-84,2830,6118.7866208298,5.1957597173,14704,31791.7450433504,15597.304448039,44140371.5879505,954.3657777767,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,4686,2090.3032411744,5.6905676483,26666,11895.0119993933,15686.6609341309,73507693.1373374,327.8987819382,
,Female,5853,2617.7378236951,4.852041688,28399,12701.3730488841,13890.0075386431,81298214.1236785,363.6039810532,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,3257,†,5.2351857538,17051,†,15593.8930756388,50789309.7473558,†,
,Medicaid,3369,†,5.3938854259,18172,†,14638.4779867237,49317032.3372723,†,
,Private insurance,3394,†,5.027695934,17064,†,14192.7440659986,48170173.3599993,†,
,Uninsured,260,†,5.1692307692,1344,†,10027.5499133289,2607162.97746551,†,
,Other,234,†,5.7606837607,1348,†,15655.4538071386,3663376.19087044,†,
,Missing,32,†,3.65625,117,†,11125.9165476588,356029.329525083,†,
Type of stay,Maternal delivery hospitalization,476,78.250863061,2.9096638655,1385,227.6837086964,5214.8010193539,2482245.28521244,†,
,Neonatal birth hospitalization,83,16.514126542,11.4939759036,954,189.8129725428,18712.5671586294,1553143.07416624,†,
,Nonmaternal/nonneonatal hospitalization,9987,370.616395146,5.2825673375,52757,1957.8060637548,15106.4078885661,150867695.58311,†,
Type of substance use disorder,Alcohol-related disorders,2359,526.8353254364,5.4646036456,12891,2878.9462400172,14705.2757866387,34689745.5806808,77.4725875469,
,Cannabis-related disorders,1042,232.7097961444,5.3119001919,5535,1236.1312108056,12725.7419345504,13260223.0958015,29.6140481138,
,Neonatal abstinence syndrome,20,4.4665987744,33.1,662,147.8444194315,69698.8985840632,1393977.97168126,3.1131701499,
,Opioid-related disorders,1030,230.0298368798,5.5631067961,5730,1279.6805488556,15088.3801764149,15541031.5817073,34.7077763076,
,Sedative-related disorders,95,21.2163441782,7.1789473684,682,152.3110182059,18077.846026418,1717395.37250971,3.835458033,
,Stimulant-related disorders,662,147.8444194315,6.3232628399,4186,934.8591234747,14612.6171841667,9673552.57591836,21.6039390397,
,Miscellaneous substances and addictive disorders,410,91.5652748745,6.0414634146,2477,553.1882582051,13056.6685384651,5353234.10077069,11.9553744367,
Type of mental disorder,Anxiety disorders,3787,845.7504779261,5.2352785846,19826,4427.7393650283,14713.5315851425,55720144.1129348,124.4397637011,
,Bipolar disorders,850,189.8304479105,5.6188235294,4776,1066.6237873184,12253.2980673366,10415303.3572361,23.260490605,
,Depressive disorders,4764,1063.9438280538,5.1213266163,24398,5448.8038448482,14294.2122169481,68097627.0015409,152.0823886511,
,"Disruptive, impulse-control, and conduct disorders",63,14.0697861393,8.3492063492,526,117.4715477658,11741.7768152578,739731.939361246,1.6520428869,
,Eating disorders,45,10.0498472423,6.1333333333,276,61.6390630862,11024.2611892426,496091.753515918,1.1079214091,
,Obsessive-compulsive disorders,52,11.6131568133,4.9038461538,255,56.9491343732,9386.3239851091,488088.847225671,1.0900485234,
,Personality disorders,232,51.8125457826,6.6206896552,1536,343.0347858713,9637.480640897,2235895.5086881,4.9934240694,
,Schizophrenia and related disorders,513,114.5682585625,8.701754386,4464,996.9448464383,12828.8808846792,6581215.89384044,14.6978254226,
,Somatic symptom disorders,58,12.9531364457,4.8103448276,279,62.3090529024,11507.5879111489,667440.098846637,1.4905935637,
,Suicidal ideation or attempt,500,111.6649693591,5.376,2688,600.3108752747,9708.1754333871,4854087.71669353,10.840631123,
,Trauma- and stressor-related disorders,847,189.1604580944,6.0212514758,5100,1138.9826874631,12073.6528560035,10226383.9690349,22.8385770511,
,Miscellaneous mental disorders,465,103.848421504,3.776344086,1756,392.1673723893,6811.9620305382,3167562.34420027,7.0741150422,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Alamosa, Colorado",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,133693.611502955,2441.1304581448,5.3358279838,713366.113508459,13025.4522105968,14556.8449806348,1946157177.54974,355.3515765672,
"Alamosa, Colorado",,361,2223.5910070835,4.891966759,1766,10877.7332922697,13870.2223632662,5007150.2731391,308.4170171321,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,111,1666.9169544977,3.6486486486,405,6081.9942934375,10755.1990455815,1193827.09405955,179.2802363808,
,45-64,144,4134.3669250646,4.4652777778,643,18461.0967556704,15051.1813971172,2167370.12118487,622.2710655139,
,65-84,95,4530.2813543157,5.6631578947,538,25655.698617072,15043.6170276469,1429143.61762645,681.5181772181,
Sex,Male,181,2219.2251103482,5.364640884,971,11905.3457577243,15248.6393341264,2760003.71947688,338.4016330894,
,Female,180,2227.9985146676,4.4166666667,795,9840.3267731155,12484.1475203456,2247146.55366222,278.1466213222,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,131,†,5.465648855,716,†,15468.0859964293,2026319.26553224,†,
,Medicaid,166,†,4.4759036145,743,†,13473.8222163756,2236654.48791835,†,
,Private insurance,43,†,4.6976744186,202,†,13350.0455002221,574051.956509554,†,
,Uninsured,15,†,5.6666666667,85,†,6444.2943787922,96664.4156818826,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,21,98.5915492958,2.0952380952,44,206.5727699531,7452.202812177,156496.259055717,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,337,295.0963222417,4.9554896142,1670,1462.3467600701,14255.5839494317,4804131.79095848,†,
Type of substance use disorder,Alcohol-related disorders,95,585.1555281799,5.0842105263,483,2975.0538959039,13326.1856364254,1265987.63546042,77.9789119471,
,Cannabis-related disorders,36,221.7431475208,4.5833333333,165,1016.3227594703,12239.6986244955,440629.150481838,27.140692977,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,53,326.4551894056,4.7547169811,252,1552.2020326455,13022.2353677543,690178.474490982,42.5117631346,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,18,110.8715737604,6.6111111111,119,732.9842931937,12782.3104734534,230081.588522161,14.1719487849,
,Miscellaneous substances and addictive disorders,29,178.6264243917,3.8275862069,111,683.7080381891,8691.8400081102,252063.360235194,15.5259230203,
Type of mental disorder,Anxiety disorders,119,732.9842931937,4.7058823529,560,3449.3378503234,13388.0056663251,1593172.67429269,98.131978706,
,Bipolar disorders,20,123.1906375115,5.1,102,628.2722513089,13355.4791754995,267109.58350999,16.452699939,
,Depressive disorders,133,819.2177394518,5.5037593985,732,4508.7773329227,15172.4676970158,2017938.20370311,124.2955468865,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,14,86.2334462581,7.4285714286,104,640.5913150601,19292.7155671552,270098.017940173,16.6367735103,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,20,123.1906375115,3.45,69,425.0076994148,8883.9641593147,177679.283186294,10.9442120842,
,Trauma- and stressor-related disorders,25,153.9882968894,8.28,207,1275.0230982445,19887.8631227898,497196.578069747,30.6249817105,
,Miscellaneous mental disorders,14,86.2334462581,2.5714285714,36,221.7431475208,7536.812735349,105515.378294886,6.4992533597,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Arapahoe, Colorado",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,133693.611502955,2441.1304581448,5.3358279838,713366.113508459,13025.4522105968,14556.8449806348,1946157177.54974,355.3515765672,
"Arapahoe, Colorado",,17417,2643.645884719,5.5378469307,96452.6799926757,14640.1062486511,14137.4190983156,246231428.435364,373.7432981981,
Age group,<1,133,1527.5066038819,14.7518796992,1962,22533.5936602733,28689.3170239132,3815679.16418046,438.2312121489,
,1-17,602,394.4540546207,7.1013289037,4275,2801.147979242,14452.4232225992,8700358.78000477,57.0081693925,
,18-44,5263,2146.6387137298,4.9315979479,25955,10586.3590755952,11103.7731394127,58439158.0327293,238.3578928954,
,45-64,6133,3617.7341528733,5.7658046621,35361.6799926757,20859.148444885,15841.3599458546,97155060.5479266,573.0982890408,
,65-84,5285,6382.6960701432,5.4613055818,28863,34857.853675032,14745.1597987722,77928169.5365112,941.1387350126,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,7462,2292.9662292966,6.1783275252,46102.6799926757,14166.6963687047,15398.8237057694,114906022.492451,353.0898272822,
,Female,9937,2980.5485985093,5.0599778605,50281,15081.5099206646,13197.7163311805,131145707.18294,393.3643491442,
,Missing,18,†,3.8333333333,69,†,9983.2644428526,179698.759971346,†,
Payer,Medicare,6480,†,5.6191358025,36412,†,14488.9915999382,93888665.5675996,†,
,Medicaid,4945,†,5.7920485324,28641.6799926757,†,13673.7393278334,67616640.9761364,†,
,Private insurance,4919,†,5.0746086603,24962,†,14559.7609908484,71619464.3139833,†,
,Uninsured,472,†,7.2775423729,3435,†,9590.2668165384,4526605.93740613,†,
,Other,585,†,5.0136752137,2933,†,14371.3234816109,8407224.23674238,†,
,Missing,16,†,4.3125,69,†,10801.7127185085,172827.403496137,†,
Type of stay,Maternal delivery hospitalization,749,88.9443059019,3.0453938585,2281,270.8704429403,5386.7087892435,4034644.88314335,†,
,Neonatal birth hospitalization,117,16.1112641146,10.0598290598,1177,162.0765629303,13983.0621369428,1636018.27002231,†,
,Nonmaternal/nonneonatal hospitalization,16551,377.0245335885,5.6186743999,92994.6799926757,2118.3780950062,14534.5154541839,240560765.282198,†,
Type of substance use disorder,Alcohol-related disorders,3831,581.4897734603,5.8782772103,22519.6799926757,3418.1580833569,14012.875458687,53683325.8822301,81.48343776,
,Cannabis-related disorders,1872,284.1422228968,5.6885683761,10649,1616.3624634766,12116.5549422357,22682190.8518654,34.4282485514,
,Neonatal abstinence syndrome,33,5.0089173908,20.8484848485,688,104.4283383296,34389.3523939067,1134848.62899892,1.7225342526,
,Opioid-related disorders,1618,245.5887375251,5.7540173053,9310,1413.1218457102,14926.4732972691,24151033.7949815,36.6577373278,
,Sedative-related disorders,142,21.553523318,10.1126760563,1436,217.9637991879,20470.9046929118,2906868.46639348,4.4122012164,
,Stimulant-related disorders,909,137.9729063105,6.4532453245,5866,890.3730125602,13001.3052480251,11818186.4704548,17.938278709,
,Miscellaneous substances and addictive disorders,626,95.0176450499,5.9520766773,3726,565.552309035,9963.6180710968,6237224.91250661,9.4671952529,
Type of mental disorder,Anxiety disorders,6441,977.6496034607,5.4637478652,35192,5341.6309338595,14122.535787903,90963253.0098832,138.068915129,
,Bipolar disorders,1439,218.4191553144,6.2578179291,9005,1366.827306189,12441.2031518369,17902891.3354933,27.1739708352,
,Depressive disorders,8297,1259.3632603499,5.3772447873,44615,6771.9045269988,13816.0963979669,114632151.813931,173.9948420505,
,"Disruptive, impulse-control, and conduct disorders",131,19.8838841878,9.3893129771,1230,186.6960118393,11941.9219024711,1564391.76922371,2.3745179209,
,Eating disorders,92,13.9642545441,9.3913043478,864,131.1425644139,12315.4431909108,1133020.77356379,1.7197598354,
,Obsessive-compulsive disorders,69,10.4731909081,7.0434782609,486,73.7676924828,11327.650266301,781607.868374773,1.1863664378,
,Personality disorders,369,56.0088035518,7.2113821138,2661,403.9008841498,8834.8852027599,3260072.63981839,4.9483134972,
,Schizophrenia and related disorders,883,134.026486548,8.7463193658,7723,1172.2384548249,11833.8399869143,10449280.7084453,15.8604799582,
,Somatic symptom disorders,78,11.8392592874,6.7307692308,525,79.6873221265,13634.1647005998,1063464.84664679,1.6141841106,
,Suicidal ideation or attempt,858,130.231852161,5.958041958,5112,775.926839449,9196.1926470326,7890333.29115393,11.9763720125,
,Trauma- and stressor-related disorders,1328,201.5709786362,6.2575301205,8310,1261.3364702311,12696.8680580481,16861440.7810879,25.5932012008,
,Miscellaneous mental disorders,789,119.758661253,4.1774397972,3296,500.284597579,6907.3392246329,5449890.64823532,8.2721369836,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Baca, Colorado",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,133693.611502955,2441.1304581448,5.3358279838,713366.113508459,13025.4522105968,14556.8449806348,1946157177.54974,355.3515765672,
"Baca, Colorado",,86,2382.271468144,6.1511627907,529,14653.7396121883,16246.5659884956,1397204.67501062,387.0373060971,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,15,1557.6323987539,5.2666666667,79,8203.5306334372,11984.9865158398,179774.797737597,186.682032957,
,45-64,26,2780.7486631016,4.9230769231,128,13689.8395721925,16310.2556571956,424066.647087086,453.5472161359,
,65-84,41,4244.3064182195,7.5609756098,310,32091.0973084886,18437.246461784,755927.104933144,782.5332349204,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,35,1950.9476031215,7.3428571429,257,14325.5295429208,17877.022631769,625695.792111916,348.771344544,
,Female,37,2037.4449339207,5.8108108108,215,11839.2070484581,16985.7334333967,628472.137035678,346.074965328,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,49,†,7.0408163265,345,†,17908.8300175159,877532.67085828,†,
,Medicaid,21,†,5.4285714286,114,†,14078.562362805,295649.809618905,†,
,Private insurance,11,†,3.7272727273,41,†,14730.0796160197,162030.875776217,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,84,209.4763092269,6.25,525,1309.2269326683,16495.430268926,1385616.14258978,†,
Type of substance use disorder,Alcohol-related disorders,14,387.811634349,5,70,1939.0581717452,9615.9438886908,134623.214441671,37.2917491528,
,Cannabis-related disorders,*,*,*,*,*,*,*,*,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,*,*,*,*,*,*,*,*,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous substances and addictive disorders,*,*,*,*,*,*,*,*,
Type of mental disorder,Anxiety disorders,26,720.2216066482,5.7307692308,149,4127.4238227147,17072.395256237,443882.276662162,122.9590794078,
,Bipolar disorders,*,*,*,*,*,*,*,*,
,Depressive disorders,47,1301.9390581717,6.5531914894,308,8531.8559556787,16998.7807260174,798942.694122818,221.313765685,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,*,*,*,*,*,*,*,*,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
