,Opioid-related disorders,18743.4811000083,421.7361479557,5.3213875243,99741.3264873611,2244.221476274,10804.935945072,202522112.673258,45.5683206438,
,Sedative-related disorders,3272.307003985,73.6282733941,5.2220008257,17087.989876616,384.4869044559,9362.9546138726,30638461.960969,6.8937818209,
,Stimulant-related disorders,8068.1590250295,181.5369455735,4.8892497535,39447.2445247127,887.5794664051,8916.2068177752,71937374.5058626,16.186209518,
,Miscellaneous substances and addictive disorders,11327.8101766821,254.8804570078,5.0447371042,57145.8243072655,1285.8048985943,8760.7087519707,99239645.7555219,22.3293345041,
Type of mental disorder,Anxiety disorders,86106.173928776,1937.4248526285,5.1668797767,444900.248721196,10010.4412899128,12355.1090235077,1063851166.48714,239.3709527908,
,Bipolar disorders,14121.661725618,317.7432829643,5.4335598278,76730.8938545501,1726.4771378783,9654.2644493296,136334256.763092,30.6757768074,
,Depressive disorders,82247.8997155202,1850.6120724531,5.1504001271,423609.593151209,9531.3926532359,11499.2885973405,945792335.353893,212.8072230286,
,"Disruptive, impulse-control, and conduct disorders",1622.2146034276,36.5005056615,6.7797132646,10998.1498648989,247.4629623982,7634.4262027096,12384677.6748261,2.7866041683,
,Eating disorders,412.7129488561,9.2862136085,6.8233967649,2816.1042000766,63.363519895,9989.4452407356,4122773.40274065,0.9276412234,
,Obsessive-compulsive disorders,826.6899002291,18.6008678013,5.6424174711,4664.5295362074,104.9538614588,9139.2907217279,7555359.33491028,1.6999873851,
,Personality disorders,3062.9094961916,68.9167420699,5.2901680246,16203.3058788992,364.5811452555,5606.3128688706,17171628.924685,3.8636881795,
,Schizophrenia and related disorders,10482.011602639,235.8496360701,7.5379506615,79012.8862940756,1777.8229202319,9513.2472928865,99717968.5028108,22.4369591187,
,Somatic symptom disorders,746.5949056044,16.7986969919,5.2130011837,3892.0001266466,87.5716273032,9664.6989709134,7215615.01588399,1.6235434953,
,Suicidal ideation or attempt,9979.1493205312,224.5350248367,4.6929584354,46831.7329817118,1053.7335388457,5445.0849817039,54337316.0954057,12.226122916,
,Trauma- and stressor-related disorders,8863.9057643356,199.4415793388,5.2113759124,46193.1449900275,1039.3650424971,9620.6039174786,85276126.5205283,19.187484395,
,Miscellaneous mental disorders,4574.6218872753,102.9309018319,4.3864204998,20066.2152250796,451.4982178562,5782.7714830054,26453992.9952684,5.9522588383,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Adair, Kentucky",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,180329.274887181,4057.4839512889,5.3548598639,965637.996373587,21727.2579590408,11947.1367584912,2154418508.63672,484.7531566143,
"Adair, Kentucky",,510,2790.0869850648,5.0254901961,2563,14021.5547896493,12038.7671281603,6139771.23536178,335.8920748051,
Age group,<1,18,9523.8095238095,10.8333333333,195,103174.603174603,22301.748026749,401431.464481483,2123.9760025475,
,1-17,*,*,*,*,*,*,*,*,
,45-64,186,3837.425211471,4.9784946237,926,19104.60078399,13580.0578554478,2525890.7611133,521.1245638773,
,65-84,179,5630.7014784523,5.1284916201,918,28877.0053475935,12296.8487544518,2201135.92704688,692.39884462,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,206,2285.8411007545,5.1262135922,1056,11717.7097203728,13525.3385701754,2786219.74545614,309.1677480533,
,Female,304,3280.4575374986,4.9572368421,1507,16262.0049638502,11031.4193746896,3353551.48990564,361.8810283701,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,250,†,5.02,1255,†,11891.5479037665,2972886.97594164,†,
,Medicaid,183,†,4.9508196721,906,†,10898.7052757442,1994463.0654612,†,
,Private insurance,55,†,5.2727272727,290,†,17243.9933319145,948419.633255301,†,
,Uninsured,17,†,4.5294117647,77,†,6518.2374517929,110810.036680479,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,19,92.6829268293,2.7368421053,52,253.6585365854,4599.708254841,87394.4568419792,†,
,Neonatal birth hospitalization,12,56.8720379147,5.6666666667,68,322.2748815166,7686.7653288274,92241.1839459289,†,
,Nonmaternal/nonneonatal hospitalization,479,299.375,5.1002087683,2443,1526.875,12442.8718049559,5960135.59457387,†,
Type of substance use disorder,Alcohol-related disorders,38,207.8888341813,5.2105263158,198,1083.2102412605,18654.2024167933,708859.691838148,38.7800039301,
,Cannabis-related disorders,21,114.8859346791,3.5238095238,74,404.8361507741,6543.5258749432,137414.043373807,7.5175908624,
,Neonatal abstinence syndrome,11,60.1783467367,15,165,902.6752010504,33389.506647772,367284.573125492,20.0932530842,
,Opioid-related disorders,41,224.301110564,4.3658536585,179,979.2658241698,11238.4655204279,460777.086337547,25.2080029727,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,14,76.5906231194,3.6428571429,51,279.0086985065,6148.7495662146,86082.4939270037,4.7093656068,
,Miscellaneous substances and addictive disorders,27,147.7104874446,3.5185185185,95,519.7220854533,5346.1783973157,144346.816727525,7.8968661703,
Type of mental disorder,Anxiety disorders,265,1449.7510804749,4.8905660377,1296,7090.1033973412,11886.6313795649,3149957.31558472,172.3265668573,
,Bipolar disorders,31,169.5935226216,4.5806451613,142,776.8477487828,10134.3838429503,314165.899131462,17.1872585553,
,Depressive disorders,217,1187.1546583511,4.9262672811,1069,5848.2411510477,11299.3318555279,2451955.01264956,134.1405444855,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,33,180.5350402101,5.6666666667,187,1023.0318945238,7992.890148279,263765.374893207,14.4299674431,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,15,82.0613819137,4.3333333333,65,355.5993216259,8083.6748634938,121255.122952406,6.6335753024,
,Trauma- and stressor-related disorders,14,76.5906231194,5.3571428571,75,410.3069095684,13323.7153428581,186532.014800013,10.2047166038,
,Miscellaneous mental disorders,15,82.0613819137,2.7333333333,41,224.301110564,5447.8948664293,81718.4229964395,4.4706178126,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Allen, Kentucky",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,180329.274887181,4057.4839512889,5.3548598639,965637.996373587,21727.2579590408,11947.1367584912,2154418508.63672,484.7531566143,
"Allen, Kentucky",,696,3564.4781317218,5.7844827586,4026,20618.6622964252,10027.9706239548,6979467.55427259,357.4448199464,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,12,275.040110016,2.75,33,756.3603025441,3920.6960648605,47048.352778326,10.7834867702,
,18-44,144,2270.5771050142,5.4097222222,779,12283.1914222642,11374.6076675456,1637943.50412657,258.2692374845,
,45-64,278,5282.1584647539,6.309352518,1754,33326.9998099943,10237.1092301567,2845916.36598357,540.7403317468,
,65-84,258,7792.2077922078,5.488372093,1416,42766.5357897916,9384.3095364376,2421151.86040089,731.2448989432,
Sex,Male,287,2987.0940882598,6.6236933798,1901,19785.5953372189,11518.2998022761,3305752.04325324,344.0624524618,
,Female,409,4123.8152853398,5.195599022,2125,21425.6906634402,8982.1895134947,3673715.51101935,370.4089041157,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,394,†,6.421319797,2530,†,10328.9890806613,4069621.69778056,†,
,Medicaid,151,†,4.9205298013,743,†,10122.401001934,1528482.55129203,†,
,Private insurance,128,†,4.890625,626,†,9208.5982069693,1178700.57049207,†,
,Uninsured,14,†,5.9285714286,83,†,9007.3998655437,126103.598117612,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,686,335.7807146353,5.7827988338,3967,1941.7523250122,10101.2115609524,6929431.1308134,†,
Type of substance use disorder,Alcohol-related disorders,50,256.0688313019,5.32,266,1362.2861825259,10156.6230165592,507831.150827962,26.0079458582,
,Cannabis-related disorders,27,138.277168903,5.1851851852,140,716.9927276452,15701.9153853023,423951.715403163,21.7121640583,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,28,143.398545529,6.8214285714,191,978.1829355731,10813.9556036517,302790.75690225,15.5070550498,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,21,107.5489091468,5.619047619,118,604.3224418724,5830.1583058949,122433.324423792,6.2702716595,
,Miscellaneous substances and addictive disorders,15,76.8206493906,4.1333333333,62,317.5253508143,4530.1860235784,67952.7903536766,3.4801183219,
Type of mental disorder,Anxiety disorders,341,1746.3894294786,5.3137829912,1812,9279.9344463792,10381.5935293067,3540123.39349361,181.3030520073,
,Bipolar disorders,46,235.5833247977,7.152173913,329,1684.9329099662,8643.3839012733,397595.659458571,20.3623711696,
,Depressive disorders,340,1741.2680528526,5.9647058824,2028,10386.1517976031,9994.4567362332,3398115.2903193,174.0302822042,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,41,209.9764416675,8.5609756098,351,1797.603195739,8354.4577395052,342532.767319714,17.542393082,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,28,143.398545529,4.3214285714,121,619.6865717505,4351.3469697403,121837.715152727,6.2397682655,
,Trauma- and stressor-related disorders,33,169.0054286592,7.7575757576,256,1311.0724162655,15914.3566872326,525173.770678677,26.8961267376,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Anderson, Kentucky",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,180329.274887181,4057.4839512889,5.3548598639,965637.996373587,21727.2579590408,11947.1367584912,2154418508.63672,484.7531566143,
"Anderson, Kentucky",,780,3600.9417847745,5.6,4368,20165.273994737,12886.8320790172,10051729.0216334,464.0473210671,
Age group,<1,13,5158.7301587301,14.7692307692,192,76190.4761904761,18229.6433338642,236985.363340235,940.418108493,
,1-17,15,312.4349093939,3.6,54,1124.765673818,4404.3239140021,66064.8587100309,13.7606454301,
,18-44,227,3174.3812054258,5.0616740088,1149,16067.6828415606,11293.376013025,2563596.35495669,358.4948056155,
,45-64,277,4459.8293350507,5.0036101083,1386,22315.2471421671,12661.5132637342,3507239.17405437,564.6818827974,
,65-84,248,7640.1725200246,6.3991935484,1587,48890.9426987061,14830.0131877906,3677843.27057207,1133.0385922896,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,293,2762.3267653436,6.2764505119,1839,17337.6072405015,15600.0385365105,4570811.29119757,430.924039898,
,Female,487,4405.645015379,5.1930184805,2529,22878.5959833544,11254.45119186,5480917.73043584,495.8311679425,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,303,†,5.9669966997,1808,†,13824.9025527561,4188945.47348512,†,
,Medicaid,226,†,6.0309734513,1363,†,12350.0133269759,2791103.01189655,†,
,Private insurance,220,†,4.7454545455,1044,†,12343.1840843217,2715500.49855077,†,
,Uninsured,18,†,5.2777777778,95,†,8196.5116520106,147537.20973619,†,
,Other,13,†,4.4615384615,58,†,16049.4483049824,208642.827964771,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,22,84.2911877395,2.8636363636,63,241.3793103448,3917.7407059248,86190.2955303468,†,
,Neonatal birth hospitalization,12,44.6096654275,13.25,159,591.0780669145,14140.383964294,169684.607571528,†,
,Nonmaternal/nonneonatal hospitalization,746,356.9377990431,5.5576407507,4146,1983.7320574163,13131.1717406589,9795854.11853154,†,
Type of substance use disorder,Alcohol-related disorders,127,586.3071880338,6.1102362205,776,3582.4754166474,14030.6253690968,1781889.4218753,82.2625650651,
,Cannabis-related disorders,37,170.8139051752,4.027027027,149,687.8722127326,6109.9350926196,226067.598426923,10.4366187354,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,74,341.6278103504,4.2432432432,314,1449.6098979733,7551.7992036876,558833.141072885,25.7990462616,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,27,124.6479848576,4.8518518519,131,604.7735561608,11838.4629220283,319638.498894766,14.7564054704,
,Miscellaneous substances and addictive disorders,41,189.2802733022,6.8780487805,282,1301.8789529569,14228.402256389,583364.492511951,26.9315586774,
Type of mental disorder,Anxiety disorders,343,1583.4910668944,5.556851312,1906,8799.2244125387,13207.5024214002,4530173.33054026,209.1396210027,
,Bipolar disorders,39,180.0470892387,5.1794871795,202,932.551590416,13055.6616741303,509170.805291083,23.5063388251,
,Depressive disorders,407,1878.9529569272,5.2457002457,2135,9856.4239878122,11693.9155240305,4759423.61828044,219.7231715193,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,13,60.0156964129,10.9230769231,142,655.5560685102,18580.5428342745,241547.056845568,11.1512421793,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,42,193.896865334,3.4523809524,145,669.4058446055,6048.0459850741,254017.931373111,11.726971579,
,Trauma- and stressor-related disorders,32,147.7309450164,7.4375,238,1098.7489035594,20584.7110120244,658710.752384783,30.409988107,
,Miscellaneous mental disorders,17,78.48206454,5.5882352941,95,438.5762430174,7819.0764893434,132924.300318837,6.1365726568,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Ballard, Kentucky",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,180329.274887181,4057.4839512889,5.3548598639,965637.996373587,21727.2579590408,11947.1367584912,2154418508.63672,484.7531566143,
"Ballard, Kentucky",,269,4482.5862356274,5.2973977695,1425,23746.0423262789,10305.8800092435,2772281.7224865,461.9699587546,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,69,3701.7167381974,3.6666666667,253,13572.9613733905,5396.265367625,372342.310366126,199.7544583509,
,45-64,106,6362.5450180072,4.5188679245,479,28751.5006002401,11086.9100163496,1175212.46173306,705.4096408962,
,65-84,90,7563.025210084,7.2,648,54453.781512605,13042.4799226903,1173823.19304212,986.4060445732,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,102,3425.1175285426,6.3235294118,645,21658.8314304902,12591.5541973637,1284338.5281310999,431.2755299299,
,Female,167,5524.3135957658,4.6706586826,780,25802.1832616606,8909.8394871581,1487943.1943554,492.20747415,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,138,†,6.1956521739,855,†,12716.6229713509,1754893.97004642,†,
,Medicaid,64,†,4.796875,307,†,6502.4980347775,416159.874225763,†,
,Private insurance,52,†,3.0769230769,160,†,6817.4172619457,354505.697621174,†,
,Other,11,†,7.8181818182,86,†,20456.259783243,225018.857615674,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,262,340.2597402597,5.2404580153,1373,1783.1168831169,10331.3237912542,2706806.8333086,†,
Type of substance use disorder,Alcohol-related disorders,29,483.2527912015,4.8275862069,140,2332.9445092484,10600.7712909814,307422.367438462,51.2285231526,
,Cannabis-related disorders,23,383.2694550908,4.3043478261,99,1649.7250458257,7166.4388864517,164828.09438839,27.4667712695,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,13,216.6305615731,6.5384615385,85,1416.4305949009,7649.5489070352,99444.1357914581,16.5712607551,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,18,299.9500083319,4.2222222222,76,1266.4555907349,7193.0577582733,129475.039648919,21.5755773453,
,Miscellaneous substances and addictive disorders,*,*,*,*,*,*,*,*,
Type of mental disorder,Anxiety disorders,155,2582.9028495251,5.0903225806,789,13147.8086985502,10193.7623209793,1580033.15975179,263.2949774624,
,Bipolar disorders,23,383.2694550908,3.7826086957,87,1449.7583736044,6346.5882776138,145971.530385118,24.3245343085,
,Depressive disorders,143,2382.9361773038,4.7552447552,680,11331.4447592068,9044.9817176009,1293432.38561693,215.5361415792,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,15,249.9583402766,4.4,66,1099.8166972171,3872.5233495643,58087.8502434645,9.6796950914,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,29,483.2527912015,3.7586206897,109,1816.3639393434,2658.4061860795,77093.7793963067,12.8468220957,
,Trauma- and stressor-related disorders,36,599.9000166639,4.75,171,2849.5250791535,6954.1332512973,250348.797046702,41.7178465334,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
