,Opioid-related disorders,37157.6271842799,134.5731386317,6.4317603569,238988.953479649,865.5421781526,15930.0049734174,591921185.845969,21.4375076769,
,Sedative-related disorders,4425.2068737861,16.0266955462,6.4649812136,28608.8793052512,103.6122856217,17131.4279407844,75810112.6813307,2.7456017988,
,Stimulant-related disorders,38770.2290636586,140.4134710941,5.3727472105,208302.640050647,754.406085132,10735.4032592704,416214043.452663,15.0739523523,
,Miscellaneous substances and addictive disorders,22597.0975812246,81.8395192565,5.6254662711,127119.210268046,460.3854552207,9946.4812613786,224761607.653193,8.1401524472,
Type of mental disorder,Anxiety disorders,233646.863158387,846.1948216107,5.4524202177,1273940.88049045,4613.8097534758,13157.9818216382,3074321178.12085,111.3421608032,
,Bipolar disorders,60003.4344445868,217.3134054509,5.4536349485,327236.827119138,1185.1479827522,10143.0914357059,608620322.027834,22.0422974169,
,Depressive disorders,254227.89020876,920.7327729362,5.5276305897,1405277.86266632,5089.4706405979,12605.129103742,3204575377.85339,116.0595547291,
,"Disruptive, impulse-control, and conduct disorders",4612.3908920688,16.7046166824,6.2738301274,28937.3569380981,104.8019274092,8278.9317850981,38185669.5616453,1.3829638201,
,Eating disorders,1747.2153552632,6.3278597704,9.3394330691,16318.0008677093,59.0986227961,15230.2209415965,26610475.8932083,0.9637470239,
,Obsessive-compulsive disorders,1863.4577066924,6.7488526932,6.8623787466,12787.7525616227,46.3131832861,13574.5495314664,25295598.9392886,0.9161263516,
,Personality disorders,6667.8242284451,24.1487442085,6.0061483513,40047.9414967447,145.0409402147,7310.8770206215,48747642.929283,1.7654849911,
,Schizophrenia and related disorders,43781.2649061406,158.56185333,7.1707162645,313943.028343827,1137.0020606065,10095.4674078065,441992332.932485,16.0075602241,
,Somatic symptom disorders,3224.7726916608,11.6791037366,5.8744199201,18943.6689376083,68.6079596388,12183.6042114803,39289354.1471851,1.4229357747,
,Suicidal ideation or attempt,36505.2444475717,132.2104153062,5.4451406981,198776.192235042,719.9043130948,6507.3161584205,237551167.060775,8.6033497183,
,Trauma- and stressor-related disorders,28045.0491474634,101.5702716467,6.906673958,193698.010598043,701.5127500909,14335.5927041141,402042401.9449,14.5607004517,
,Miscellaneous mental disorders,18170.8789025583,65.809159274,4.9390838569,89747.4946540285,325.036956209,6558.3939392893,119171782.066099,4.3160239133,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Anderson, Texas",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,599852.854051097,2172.4767538709,5.6793738278,3406788.59983042,12338.3076174434,13146.9717046194,7886248499.14501,285.6149041208,
"Anderson, Texas",,1571,2872.3968332328,5.3348185869,8381,15323.7160148465,10781.8428630402,16938275.1378361,309.6973129621,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,37,379.3315562846,5.5405405405,205,2101.7018659012,7027.6185451385,260021.886170125,26.657974797,
,45-64,578,3983.4596829772,5.5968858131,3235,22294.9689869055,11851.901745999,6850399.20918747,472.115727718,
,65-84,538,7156.1585528066,5.4591078067,2937,39066.2410215482,11150.3586186433,5998892.93683009,797.9373419567,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,725,2146.4945523449,5.3765517241,3898,11540.7389862624,10832.697590524,7853705.75312995,232.5232636526,
,Female,846,4044.5570588516,5.2990543735,4483,21432.3277716689,10738.2616840499,9084569.38470622,434.3151209402,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,780,†,5.591025641,4361,†,11012.6747745315,8589886.32413464,†,
,Medicaid,201,†,5.3233830846,1070,†,8802.1147945361,1769225.07370176,†,
,Private insurance,336,†,5.2916666667,1778,†,12042.284894485,4046207.72454698,†,
,Uninsured,164,†,5.0243902439,824,†,11661.0706687268,1912415.58967119,†,
,Other,90,†,3.8666666667,348,†,6894.8936197954,620540.425781589,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,21,41.015625,3,63,123.046875,4753.4030673042,99821.464413388,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,1548,325.1417769376,5.3695090439,8312,1745.8517118252,10873.6121276429,16832351.5735912,†,
Type of substance use disorder,Alcohol-related disorders,205,374.8194467299,4.556097561,934,1707.7139670525,9818.805513908,2012855.13035114,36.8027925027,
,Cannabis-related disorders,62,113.3600277915,4.5967741935,285,521.0904503319,7333.9049643483,454702.107789594,8.3137167058,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,63,115.1884153365,4.5714285714,288,526.5756129669,10423.1978996799,656661.467679833,12.006316488,
,Sedative-related disorders,14,25.5974256303,3.8571428571,54,98.7329274313,7652.2387242049,107131.342138868,1.9587761165,
,Stimulant-related disorders,67,122.5019655166,5.1492537313,345,630.7937030333,7627.5166155482,511043.613241728,9.3438577742,
,Miscellaneous substances and addictive disorders,34,62.1651765308,4.2058823529,143,261.4594189384,6218.6988739374,211435.761713871,3.8658651329,
Type of mental disorder,Anxiety disorders,612,1118.9731775547,5.3839869281,3295,6024.5369608542,10482.7204666734,6415424.92560414,117.2988303001,
,Bipolar disorders,256,468.0672115262,5.48046875,1403,2565.2277256687,8902.3415234201,2278999.42999553,41.6689417292,
,Depressive disorders,723,1321.9241950524,5.326417704,3851,7041.1204358876,11427.9589831482,8262414.34481618,151.0689547989,
,"Disruptive, impulse-control, and conduct disorders",14,25.5974256303,3.8571428571,54,98.7329274313,3642.9870258825,51001.8183623548,0.9325108947,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,14,25.5974256303,5.2857142857,74,135.3006783318,6518.4076528379,91257.7071397308,1.6685445512,
,Schizophrenia and related disorders,172,314.4826577441,6.8488372093,1178,2153.8405280383,8514.4353981461,1464482.88848112,26.776422732,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,121,221.2348929479,5.2479338843,635,1161.0260910903,7058.3351602448,854058.554389619,15.6155002357,
,Trauma- and stressor-related disorders,82,149.927778692,5.5243902439,453,828.2595578959,8502.7824592524,697228.161658697,12.7480328682,
,Miscellaneous mental disorders,38,69.4787267109,5.7368421053,218,398.5884848152,6138.8475189781,233276.205721167,4.2651930909,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Andrews, Texas",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,599852.854051097,2172.4767538709,5.6793738278,3406788.59983042,12338.3076174434,13146.9717046194,7886248499.14501,285.6149041208,
"Andrews, Texas",,224,1218.9812799303,5.2946428571,1186,6454.0705267741,17418.71834135,3901792.9084624,212.3309157848,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,54,798.2261640798,3.8518518519,208,3074.6489283075,14872.2315581752,803100.504141465,118.7140434799,
,45-64,86,2058.4011488751,5.6627906977,487,11656.294877932,17208.3786618469,1479920.56491883,354.2174640782,
,65-84,78,4006.1633281972,5.6025641026,437,22444.7868515665,19001.8788171053,1482146.54773421,761.2463008394,
Sex,Male,91,978.7050978705,5.3516483516,487,5237.6855237686,16005.9520414844,1456541.63577508,156.6510685927,
,Female,133,1465.0804141881,5.2556390977,699,7699.9339061467,18385.3479149422,2445251.27268732,269.3601313822,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,89,†,6.1460674157,547,†,20827.6770922687,1853663.26121192,†,
,Medicaid,12,†,7.25,87,†,20239.3836265477,242872.603518572,†,
,Private insurance,86,†,4.4534883721,383,†,14960.8431374078,1286632.50981707,†,
,Uninsured,27,†,4.0740740741,110,†,13427.6722059877,362547.149561669,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,*,*,*,*,*,*,*,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,223,194.2508710801,5.3094170404,1184,1031.3588850174,17429.9719275957,3886883.73985385,†,
Type of substance use disorder,Alcohol-related disorders,37,201.3495864171,5.9189189189,219,1191.7718763605,19922.0466320959,737115.725387548,40.1129584995,
,Cannabis-related disorders,*,*,*,*,*,*,*,*,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,13,70.7444492817,5.0769230769,66,359.1641271223,19121.5118542917,248579.654105792,13.5274082556,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,16,87.0700914236,3.625,58,315.6290814105,11549.894446574,184798.311145184,10.056503654,
,Miscellaneous substances and addictive disorders,*,*,*,*,*,*,*,*,
Type of mental disorder,Anxiety disorders,83,451.6760992599,5.3855421687,447,2432.5206791467,18983.9002320962,1575663.71926399,85.7457400557,
,Bipolar disorders,*,*,*,*,*,*,*,*,
,Depressive disorders,97,527.8624292555,5.2577319588,510,2775.3591641271,16423.440766584,1593073.75435865,86.6931733978,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,*,*,*,*,*,*,*,*,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,*,*,*,*,*,*,*,*,
,Trauma- and stressor-related disorders,*,*,*,*,*,*,*,*,
,Miscellaneous mental disorders,*,*,*,*,*,*,*,*,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Angelina, Texas",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,599852.854051097,2172.4767538709,5.6793738278,3406788.59983042,12338.3076174434,13146.9717046194,7886248499.14501,285.6149041208,
"Angelina, Texas",,2174,2438.9423022987,5.7631094756,12529,14055.8914928705,14237.9305881409,30953261.0986183,347.2549120861,
Age group,<1,13,1040,5.7692307692,75,6000,12640.5941288916,164327.723675591,131.4621789405,
,1-17,29,132.9665291151,9.1724137931,266,1219.6240256763,56021.9015588457,1624635.14520652,74.4903780471,
,18-44,428,1403.5087719298,4.7406542056,2029,6653.5497622561,10968.2502233758,4694411.09560486,153.9403540123,
,45-64,777,3529.2514534884,6.045045045,4697,21334.4840116279,15034.3103974213,11681659.1787963,530.5986182229,
,65-84,927,6833.2596196373,5.8921251348,5462,40262.4207577768,13795.283662713,12788227.9553349,942.6675479386,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,881,2021.2912403065,6.1407491487,5410,12412.2424631762,16332.3972287354,14388841.9585159,330.1253145165,
,Female,1286,2823.2091501833,5.5093312597,7085,15553.9944238326,12829.7642353823,16499076.8067016,362.2110778403,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,1263,†,5.7980997625,7323,†,13506.9036532519,17059219.3140572,†,
,Medicaid,191,†,6.5706806283,1255,†,14635.6392302038,2795407.09296893,†,
,Private insurance,606,†,5.4785478548,3320,†,14051.5890853156,8515262.98570127,†,
,Uninsured,82,†,4.9634146341,407,†,13565.8698426605,1112401.32709816,†,
,Other,32,†,7,224,†,45967.8243372738,1470970.37879276,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,40,34.1296928328,1.975,79,67.4061433447,4305.9516621886,172238.066487545,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,2124,280.5071315372,5.8427495292,12410,1638.9329107237,14462.9630423697,30719333.5019934,†,
Type of substance use disorder,Alcohol-related disorders,292,327.5856266197,6.5787671233,1921,2155.1095504672,15622.0500373253,4561638.61089899,51.1755905056,
,Cannabis-related disorders,131,146.9647845451,4.1526717557,544,610.2965098668,11627.8434413177,1523247.49081262,17.0888350608,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,103,115.5524641843,5.4854368932,565,633.8557501374,15060.4851448395,1551229.96991847,17.402761703,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,110,123.4055442745,4.8181818182,530,594.5903496864,10937.1221220538,1203083.43342591,13.4970150827,
,Miscellaneous substances and addictive disorders,60,67.3121150588,3.4333333333,206,231.1049283687,7945.9602997639,476757.617985832,5.3485939395,
Type of mental disorder,Anxiety disorders,884,991.7318285336,5.6504524887,4995,5603.7335786486,15346.3227906495,13566149.3469342,152.1943676244,
,Bipolar disorders,205,229.9830597844,4.9756097561,1020,1144.3059560003,12260.6749623477,2513438.36728128,28.1974754286,
,Depressive disorders,865,970.4163254316,5.9676300578,5162,5791.085632229,14183.4330819243,12268669.6158645,137.6383501337,
,"Disruptive, impulse-control, and conduct disorders",18,20.1936345177,8.8333333333,159,178.3771049059,13687.3373295436,246372.071931785,2.7639708755,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,123,137.9898358706,6.6585365854,819,918.8103705532,10525.4462717577,1294629.8914262,14.524046035,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,48,53.8496920471,4.5833333333,220,246.8110885491,6859.205024211,329241.84116213,3.6936607824,
,Trauma- and stressor-related disorders,60,67.3121150588,6.0333333333,362,406.1164275217,14035.863041724,842151.782503443,9.4478362801,
,Miscellaneous mental disorders,53,59.4590349686,4.0188679245,213,238.9580084589,6944.8401910261,368076.530124383,4.1293349577,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Aransas, Texas",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,599852.854051097,2172.4767538709,5.6793738278,3406788.59983042,12338.3076174434,13146.9717046194,7886248499.14501,285.6149041208,
"Aransas, Texas",,808,3568.7469634733,5.7945544554,4682,20679.2986175522,12222.2176333049,9875551.84771039,436.1800206577,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,18,461.3018964634,5.5555555556,100,2562.7883136853,2461.7414838958,44311.346710124,11.3560601512,
,18-44,147,2524.0384615385,5.2176870748,767,13169.6428571428,9699.7193898018,1425858.75030086,244.8246480599,
,45-64,309,4955.8941459503,5.8802588997,1817,29141.9406575781,13967.1765485153,4315857.55349124,692.1984849224,
,65-84,328,5068.7683511049,5.7804878049,1896,29299.9536393138,11997.0927914932,3935046.43560977,608.1048424679,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,345,3109.5087877422,6.4956521739,2241,20198.2875168995,13621.675133289,4699477.92098471,423.5671853073,
,Female,463,4010.046769444,5.2721382289,2441,21141.5208730296,11179.4253277012,5176073.92672566,448.3001841959,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,370,†,5.6324324324,2084,†,11888.7818365084,4398849.27950812,†,
,Medicaid,129,†,6.3178294574,815,†,12699.6140064276,1638250.20682916,†,
,Private insurance,176,†,5.4034090909,951,†,12604.6734921631,2218422.5346207,†,
,Other,43,†,5.2325581395,225,†,6853.1055569252,294683.538947783,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,18,90.4522613065,2.5555555556,46,231.1557788945,3281.7024237002,59070.6436266037,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,785,345.3585569732,5.8089171975,4560,2006.1592608887,12379.1457885784,9717629.44403406,†,
Type of substance use disorder,Alcohol-related disorders,165,728.7663972439,6.2121212121,1025,4527.1851950002,13531.6348360961,2232719.74795586,98.6140076832,
,Cannabis-related disorders,41,181.0874078,5.2926829268,217,958.4382315269,10083.1990374402,413411.160535048,18.2594037602,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,55,242.9221324146,5.5454545455,305,1347.1136433903,11232.0856667065,617764.711668858,27.2852220162,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,32,141.3365134049,5.5625,178,786.1843558147,12282.5671010546,393042.14723375,17.3597520972,
,Miscellaneous substances and addictive disorders,46,203.1712380195,6.1956521739,285,1258.7783225123,8968.2427401814,412539.166048343,18.2208898038,
Type of mental disorder,Anxiety disorders,329,1453.116028444,5.5197568389,1816,8020.8471357272,13075.0962846417,4301706.67764713,189.9963198466,
,Bipolar disorders,80,353.3412835122,6.15,492,2173.0488936001,9625.8165662547,770065.325300373,34.0119838037,
,Depressive disorders,352,1554.7016474537,5.5568181818,1956,8639.1943818736,11232.3186930059,3953776.17993808,174.6290437674,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,*,*,*,*,*,*,*,*,
,Schizophrenia and related disorders,31,136.919747361,5.6451612903,175,772.934057683,7736.0631935943,239817.959001424,10.5921981804,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,33,145.7532794488,6.0606060606,200,883.3532087805,5973.7385540695,197133.372284294,8.7069198483,
,Trauma- and stressor-related disorders,48,212.0047701073,7.875,378,1669.5375645952,14197.5606820077,681482.912736373,30.0995058847,
,Miscellaneous mental disorders,20,88.3353208781,5.35,107,472.5939666976,5177.139058508,103542.78117016,4.5732423996,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
